Serial_no.;time1;time2;(time1+time2)/2;mean(HR1);mean(HR2);mean(HR3);mean(HR4);RMSSD1;RMSSD2;RMSSD3;RMSSD4;stress/non-stress
1;10:30:23:007;10:30:27:375;10:30:25:191;70.0;89.5198357143;90.1194071429;89.9122214286;0.0;16.6417305862;1.86567814266;2.56443619961;0
2;10:30:23:164;10:30:27:531;10:30:25:347;71.3343;91.3256785714;89.5366928571;90.5754;16.6251554013;0.742566351644;1.86567814266;2.88524978093;0
3;10:30:23:320;10:30:27:687;10:30:25:503;74.2997285714;91.5003928571;88.9539785714;91.4805428571;16.6251554013;0.742566351644;1.86567814266;2.88524978093;0
4;10:30:23:476;10:30:27:843;10:30:25:659;77.2651571429;91.36605;88.6803214286;92.3856857143;16.6251554013;1.74305477433;0.996955250884;2.88524978093;0
5;10:30:23:632;10:30:28:000;10:30:25:316;80.2305857143;91.1773357143;88.7231142857;93.02875;16.6251554013;1.74305477433;2.75140923785;1.32224554318;1
6;10:30:23:789;10:30:28:156;10:30:25:472;83.23955;90.9450857143;89.0865428571;93.4357142857;16.6417305862;1.57697024694;2.75140923785;1.87020939636;1
7;10:30:23:945;10:30:28:312;10:30:25:628;86.3796928571;90.5816571429;89.4499714286;94.0968571429;16.6417305862;1.57697024694;2.75140923785;1.87020939636;1
8;10:30:24:101;10:30:28:468;10:30:26:284;89.5198357143;90.1194071429;89.9122214286;94.758;16.6417305862;1.86567814266;2.56443619961;1.87020939636;1
9;10:30:24:257;10:30:28:625;10:30:26:441;91.3256785714;89.5366928571;90.5754;95.3386785714;0.742566351644;1.86567814266;2.88524978093;1.3226299217;0
10;10:30:24:414;10:30:28:781;10:30:26:597;91.5003928571;88.9539785714;91.4805428571;95.8375142857;0.742566351644;1.86567814266;2.88524978093;1.87043513881;0
11;10:30:24:570;10:30:28:937;10:30:26:753;91.36605;88.6803214286;92.3856857143;96.5323714286;1.74305477433;0.996955250884;2.88524978093;1.87043513881;1
12;10:30:24:726;10:30:29:093;10:30:26:409;91.1773357143;88.7231142857;93.02875;97.2272285714;1.74305477433;2.75140923785;1.32224554318;1.87043513881;0
13;10:30:24:882;10:30:29:250;10:30:26:566;90.9450857143;89.0865428571;93.4357142857;97.83755;1.57697024694;2.75140923785;1.87020939636;1.32256481834;1
14;10:30:25:039;10:30:29:406;10:30:27:222;90.5816571429;89.4499714286;94.0968571429;98.5802071429;1.57697024694;2.75140923785;1.87020939636;2.4550067199;0
15;10:30:25:195;10:30:29:562;10:30:27:378;90.1194071429;89.9122214286;94.758;99.5312071429;1.86567814266;2.56443619961;1.87020939636;2.4550067199;0
16;10:30:25:351;10:30:29:718;10:30:27:534;89.5366928571;90.5754;95.3386785714;100.482207143;1.86567814266;2.88524978093;1.3226299217;2.4550067199;0
17;10:30:25:507;10:30:29:875;10:30:27:691;88.9539785714;91.4805428571;95.8375142857;101.292121429;1.86567814266;2.88524978093;1.87043513881;2.41144107891;0
18;10:30:25:664;10:30:30:031;10:30:27:347;88.6803214286;92.3856857143;96.5323714286;102.2683;0.996955250884;2.88524978093;1.87043513881;2.41144214498;0
19;10:30:25:820;10:30:30:187;10:30:27:503;88.7231142857;93.02875;97.2272285714;103.244585714;2.75140923785;1.32224554318;1.87043513881;2.41144214498;0
20;10:30:25:976;10:30:30:343;10:30:27:659;89.0865428571;93.4357142857;97.83755;104.220871429;2.75140923785;1.87020939636;1.32256481834;2.41144214498;0
21;10:30:26:132;10:30:30:500;10:30:28:316;89.4499714286;94.0968571429;98.5802071429;104.775464286;2.75140923785;1.87020939636;2.4550067199;1.26492533552;1
22;10:30:26:289;10:30:30:656;10:30:28:472;89.9122214286;94.758;99.5312071429;105.079035714;2.56443619961;1.87020939636;2.4550067199;1.26492533552;1
23;10:30:26:445;10:30:30:812;10:30:28:628;90.5754;95.3386785714;100.482207143;105.382607143;2.88524978093;1.3226299217;2.4550067199;1.26492533552;1
24;10:30:26:601;10:30:30:968;10:30:28:784;91.4805428571;95.8375142857;101.292121429;105.667142857;2.88524978093;1.87043513881;2.41144107891;0.250735564752;1
25;10:30:26:757;10:30:31:125;10:30:28:441;92.3856857143;96.5323714286;102.2683;105.375771429;2.88524978093;1.87043513881;2.41144214498;1.10798580029;1
26;10:30:26:914;10:30:31:281;10:30:28:597;93.02875;97.2272285714;103.244585714;104.969485714;1.32224554318;1.87043513881;2.41144214498;1.10798580029;1
27;10:30:27:070;10:30:31:437;10:30:29:253;93.4357142857;97.83755;104.220871429;104.5632;1.87020939636;1.32256481834;2.41144214498;1.10798580029;1
28;10:30:27:226;10:30:31:593;10:30:29:409;94.0968571429;98.5802071429;104.775464286;104.192092857;1.87020939636;2.4550067199;1.26492533552;1.07924480622;1
29;10:30:27:382;10:30:31:750;10:30:29:566;94.758;99.5312071429;105.079035714;103.39845;1.87020939636;2.4550067199;1.26492533552;2.19149218531;0
30;10:30:27:539;10:30:31:906;10:30:29:722;95.3386785714;100.482207143;105.382607143;102.522878571;1.3226299217;2.4550067199;1.26492533552;2.19149218531;0
31;10:30:27:695;10:30:32:062;10:30:29:378;95.8375142857;101.292121429;105.667142857;101.647307143;1.87043513881;2.41144107891;0.250735564752;2.19149218531;0
32;10:30:27:851;10:30:32:218;10:30:29:534;96.5323714286;102.2683;105.375771429;100.985357143;1.87043513881;2.41144214498;1.10798580029;1.90731975466;0
33;10:30:28:007;10:30:32:375;10:30:30:191;97.2272285714;103.244585714;104.969485714;100.32235;1.87043513881;2.41144214498;1.10798580029;1.97167780085;0
34;10:30:28:164;10:30:32:531;10:30:30:347;97.83755;104.220871429;104.5632;99.6390642857;1.32256481834;2.41144214498;1.10798580029;1.97167780085;0
