Time_Biotrace;Time_Accel;AccelX;AccelY;AccelZ
10:30:23:007;10:30:22:916;0.11492168;10.132261;0.019153614
10:30:23:015;10:30:22:916;0.11492168;10.132261;0.019153614
10:30:23:023;10:30:23:019;0.2873042;9.749189;-0.30645782
10:30:23:031;10:30:23:019;0.2873042;9.749189;-0.30645782
10:30:23:039;10:30:23:019;0.2873042;9.749189;-0.30645782
10:30:23:046;10:30:23:019;0.2873042;9.749189;-0.30645782
10:30:23:054;10:30:23:019;0.2873042;9.749189;-0.30645782
10:30:23:062;10:30:23:019;0.2873042;9.749189;-0.30645782
10:30:23:070;10:30:23:019;0.2873042;9.749189;-0.30645782
10:30:23:078;10:30:23:019;0.2873042;9.749189;-0.30645782
10:30:23:085;10:30:23:019;0.2873042;9.749189;-0.30645782
10:30:23:093;10:30:23:019;0.2873042;9.749189;-0.30645782
10:30:23:101;10:30:23:019;0.2873042;9.749189;-0.30645782
10:30:23:109;10:30:23:019;0.2873042;9.749189;-0.30645782
10:30:23:117;10:30:23:019;0.2873042;9.749189;-0.30645782
10:30:23:125;10:30:23:019;0.2873042;9.749189;-0.30645782
10:30:23:132;10:30:23:019;0.2873042;9.749189;-0.30645782
10:30:23:140;10:30:23:019;0.2873042;9.749189;-0.30645782
10:30:23:148;10:30:23:142;0.24899697;9.902418;-0.17238252
10:30:23:156;10:30:23:142;0.24899697;9.902418;-0.17238252
10:30:23:164;10:30:23:142;0.24899697;9.902418;-0.17238252
10:30:23:171;10:30:23:142;0.24899697;9.902418;-0.17238252
10:30:23:179;10:30:23:142;0.24899697;9.902418;-0.17238252
10:30:23:187;10:30:23:142;0.24899697;9.902418;-0.17238252
10:30:23:195;10:30:23:142;0.24899697;9.902418;-0.17238252
10:30:23:203;10:30:23:142;0.24899697;9.902418;-0.17238252
10:30:23:210;10:30:23:142;0.24899697;9.902418;-0.17238252
10:30:23:218;10:30:23:142;0.24899697;9.902418;-0.17238252
10:30:23:226;10:30:23:142;0.24899697;9.902418;-0.17238252
10:30:23:234;10:30:23:142;0.24899697;9.902418;-0.17238252
10:30:23:242;10:30:23:142;0.24899697;9.902418;-0.17238252
10:30:23:250;10:30:23:142;0.24899697;9.902418;-0.17238252
10:30:23:257;10:30:23:256;0.21068975;9.940725;-0.36391866
10:30:23:265;10:30:23:256;0.21068975;9.940725;-0.36391866
10:30:23:273;10:30:23:256;0.21068975;9.940725;-0.36391866
10:30:23:281;10:30:23:256;0.21068975;9.940725;-0.36391866
10:30:23:289;10:30:23:256;0.21068975;9.940725;-0.36391866
10:30:23:296;10:30:23:256;0.21068975;9.940725;-0.36391866
10:30:23:304;10:30:23:256;0.21068975;9.940725;-0.36391866
10:30:23:312;10:30:23:256;0.21068975;9.940725;-0.36391866
10:30:23:320;10:30:23:256;0.21068975;9.940725;-0.36391866
10:30:23:328;10:30:23:256;0.21068975;9.940725;-0.36391866
10:30:23:335;10:30:23:256;0.21068975;9.940725;-0.36391866
10:30:23:343;10:30:23:256;0.21068975;9.940725;-0.36391866
10:30:23:351;10:30:23:256;0.21068975;9.940725;-0.36391866
10:30:23:359;10:30:23:256;0.21068975;9.940725;-0.36391866
10:30:23:367;10:30:23:256;0.21068975;9.940725;-0.36391866
10:30:23:375;10:30:23:256;0.21068975;9.940725;-0.36391866
10:30:23:382;10:30:23:377;0.36391866;9.844957;-0.22984336
10:30:23:390;10:30:23:377;0.36391866;9.844957;-0.22984336
10:30:23:398;10:30:23:377;0.36391866;9.844957;-0.22984336
10:30:23:406;10:30:23:377;0.36391866;9.844957;-0.22984336
10:30:23:414;10:30:23:377;0.36391866;9.844957;-0.22984336
10:30:23:421;10:30:23:377;0.36391866;9.844957;-0.22984336
