ECG;SCR;Temp;HR;HRV_LF
-3992.631;13.807;35.278;77.975;88.74
-3990.811;13.805;35.279;77.975;88.74
-3999.851;13.803;35.28;77.975;88.74
-4001.817;13.801;35.279;77.975;88.74
-4009.366;13.804;35.279;77.975;88.74
-4014.838;13.802;35.281;77.975;88.74
-3992.082;13.8;35.276;77.975;88.74
-4021.996;13.802;35.277;77.975;88.74
-4002.758;13.803;35.282;77.975;88.74
-4019.798;13.804;35.282;77.975;88.74
-4026.357;13.804;35.28;77.975;88.74
-4021.434;13.802;35.278;77.975;88.74
-4009.464;13.803;35.28;77.975;88.74
-4017.941;13.8;35.28;77.975;88.74
-4008.792;13.806;35.28;77.975;88.74
-4007.864;13.803;35.281;77.975;88.74
-4011.785;13.803;35.277;77.975;88.74
-4017.709;13.805;35.278;77.975;88.74
-4014.728;13.804;35.278;77.975;88.74
-4005.885;13.804;35.279;77.975;88.74
-4018.82;13.804;35.279;77.975;88.74
-3982.627;13.804;35.279;77.975;88.74
-4016.39;13.805;35.277;77.975;88.74
-3967.42;13.805;35.28;77.975;88.74
-3972.684;13.805;35.278;77.975;88.74
-4001.524;13.801;35.276;77.975;88.74
-3984.704;13.801;35.277;77.975;88.74
-3998.201;13.797;35.281;77.975;88.74
-3964.134;13.797;35.281;77.975;88.377
-3970.168;13.797;35.28;77.975;88.377
-3955.595;13.792;35.28;77.975;88.377
-3960.103;13.787;35.279;77.975;88.377
-3939.325;13.783;35.279;77.975;88.377
-3950.905;13.78;35.276;77.975;88.377
-3945.714;13.779;35.276;77.975;88.377
-3952.383;13.782;35.278;77.975;88.377
-3955.742;13.779;35.28;77.975;88.377
-3968.604;13.783;35.28;77.975;88.377
-3953.58;13.782;35.276;77.975;88.377
-4001.304;13.782;35.278;77.975;88.377
-3987.599;13.788;35.278;77.975;88.377
-4023.499;13.787;35.277;77.975;88.377
-4041.528;13.786;35.276;77.975;88.377
-4055.038;13.788;35.275;77.975;88.377
-4044.069;13.789;35.275;77.975;88.377
-4035.995;13.788;35.277;77.975;88.377
-4057.591;13.791;35.275;77.975;88.377
-4097.876;13.79;35.274;77.975;88.377
-3945.885;13.788;35.276;77.975;88.377
-3803.213;13.789;35.275;77.975;88.377
-3513.522;13.793;35.276;77.975;88.377
-3385.986;13.791;35.278;77.975;88.377
-3786.076;13.792;35.276;75.387;88.377
-4177.725;13.794;35.279;75.387;88.377
-4223.067;13.796;35.276;75.387;88.377
-4166.109;13.798;35.275;75.387;88.377
-4061.365;13.797;35.275;75.392;88.377
-4079.651;13.796;35.274;75.392;88.377
-4088.58;13.796;35.276;75.392;88.377
-4084.122;13.795;35.275;75.392;88.377
-4070.185;13.797;35.277;75.392;87.99
-4081.08;13.8;35.275;75.392;87.99
-4070.343;13.8;35.274;75.392;87.99
-4062.77;13.8;35.275;75.392;87.99
-4064.749;13.798;35.276;75.392;87.99
-4054.048;13.801;35.277;75.392;87.99
-4052.619;13.806;35.277;75.392;87.99
-4019.956;13.805;35.274;75.392;87.99
-4025.392;13.804;35.272;75.392;87.99
-4010.942;13.806;35.274;75.392;87.99
-3986.561;13.802;35.274;75.392;87.99
-3958.857;13.805;35.272;75.392;87.99
-3957.611;13.804;35.273;75.392;87.99
-3926.731;13.804;35.275;75.392;87.99
