Time_Biotrace;Time_Light;Lightning
09:00:52:281;10:00:52:271;475.03232
09:00:52:289;10:00:52:271;475.03232
09:00:52:296;10:00:52:271;475.03232
09:00:52:304;10:00:52:271;475.03232
09:00:52:312;10:00:52:271;475.03232
09:00:52:320;10:00:52:271;475.03232
09:00:52:328;10:00:52:271;475.03232
09:00:52:335;10:00:52:271;475.03232
09:00:52:343;10:00:52:271;475.03232
09:00:52:351;10:00:52:271;475.03232
09:00:52:359;10:00:52:271;475.03232
09:00:52:367;10:00:52:271;475.03232
09:00:52:375;10:00:52:271;475.03232
09:00:52:382;10:00:52:376;1279.6377
09:00:52:390;10:00:52:376;1279.6377
09:00:52:398;10:00:52:376;1279.6377
09:00:52:406;10:00:52:376;1279.6377
09:00:52:414;10:00:52:376;1279.6377
09:00:52:421;10:00:52:376;1279.6377
09:00:52:429;10:00:52:376;1279.6377
09:00:52:437;10:00:52:376;1279.6377
09:00:52:445;10:00:52:376;1279.6377
09:00:52:453;10:00:52:376;1279.6377
09:00:52:460;10:00:52:376;1279.6377
09:00:52:468;10:00:52:376;1279.6377
09:00:52:476;10:00:52:376;1279.6377
09:00:52:484;10:00:52:479;893.4264
09:00:52:492;10:00:52:479;893.4264
09:00:52:500;10:00:52:479;893.4264
09:00:52:507;10:00:52:479;893.4264
09:00:52:515;10:00:52:479;893.4264
09:00:52:523;10:00:52:479;893.4264
09:00:52:531;10:00:52:479;893.4264
09:00:52:539;10:00:52:479;893.4264
09:00:52:546;10:00:52:479;893.4264
09:00:52:554;10:00:52:479;893.4264
09:00:52:562;10:00:52:479;893.4264
09:00:52:570;10:00:52:479;893.4264
09:00:52:578;10:00:52:479;893.4264
09:00:52:585;10:00:52:581;1429.209
09:00:52:593;10:00:52:581;1429.209
09:00:52:601;10:00:52:581;1429.209
09:00:52:609;10:00:52:581;1429.209
09:00:52:617;10:00:52:581;1429.209
09:00:52:625;10:00:52:581;1429.209
09:00:52:632;10:00:52:581;1429.209
09:00:52:640;10:00:52:581;1429.209
09:00:52:648;10:00:52:581;1429.209
09:00:52:656;10:00:52:581;1429.209
09:00:52:664;10:00:52:581;1429.209
09:00:52:671;10:00:52:581;1429.209
09:00:52:679;10:00:52:581;1429.209
09:00:52:687;10:00:52:687;1201.3054
09:00:52:695;10:00:52:687;1201.3054
09:00:52:703;10:00:52:687;1201.3054
09:00:52:710;10:00:52:687;1201.3054
09:00:52:718;10:00:52:687;1201.3054
09:00:52:726;10:00:52:687;1201.3054
09:00:52:734;10:00:52:687;1201.3054
09:00:52:742;10:00:52:687;1201.3054
09:00:52:750;10:00:52:687;1201.3054
09:00:52:757;10:00:52:687;1201.3054
09:00:52:765;10:00:52:687;1201.3054
09:00:52:773;10:00:52:687;1201.3054
09:00:52:781;10:00:52:687;1201.3054
09:00:52:789;10:00:52:687;1201.3054
09:00:52:796;10:00:52:687;1201.3054
09:00:52:804;10:00:52:687;1201.3054
09:00:52:812;10:00:52:809;1693.6497
09:00:52:820;10:00:52:809;1693.6497
09:00:52:828;10:00:52:809;1693.6497
09:00:52:835;10:00:52:809;1693.6497
09:00:52:843;10:00:52:809;1693.6497
09:00:52:851;10:00:52:809;1693.6497
09:00:52:859;10:00:52:809;1693.6497
09:00:52:867;10:00:52:809;1693.6497
09:00:52:875;10:00:52:809;1693.6497
09:00:52:882;10:00:52:809;1693.6497
09:00:52:890;10:00:52:809;1693.6497
09:00:52:898;10:00:52:809;1693.6497
09:00:52:906;10:00:52:809;1693.6497
09:00:52:914;10:00:52:912;1522.4021
09:00:52:921;10:00:52:912;1522.4021
09:00:52:929;10:00:52:912;1522.4021
09:00:52:937;10:00:52:912;1522.4021
09:00:52:945;10:00:52:912;1522.4021
09:00:52:953;10:00:52:912;1522.4021
09:00:52:960;10:00:52:912;1522.4021
09:00:52:968;10:00:52:912;1522.4021
09:00:52:976;10:00:52:912;1522.4021
09:00:52:984;10:00:52:912;1522.4021
09:00:52:992;10:00:52:912;1522.4021
09:00:53:000;10:00:52:912;1522.4021
09:00:53:007;10:00:52:912;1522.4021
09:00:53:015;10:00:52:912;1522.4021
09:00:53:023;10:00:53:021;1693.6497
09:00:53:031;10:00:53:021;1693.6497
09:00:53:039;10:00:53:021;1693.6497
09:00:53:046;10:00:53:021;1693.6497
09:00:53:054;10:00:53:021;1693.6497
09:00:53:062;10:00:53:021;1693.6497
09:00:53:070;10:00:53:021;1693.6497
09:00:53:078;10:00:53:021;1693.6497
09:00:53:085;10:00:53:021;1693.6497
09:00:53:093;10:00:53:021;1693.6497
09:00:53:101;10:00:53:021;1693.6497
09:00:53:109;10:00:53:021;1693.6497
09:00:53:117;10:00:53:021;1693.6497
09:00:53:125;10:00:53:021;1693.6497
09:00:53:132;10:00:53:021;1693.6497
09:00:53:140;10:00:53:138;882.90686
09:00:53:148;10:00:53:138;882.90686
09:00:53:156;10:00:53:138;882.90686
09:00:53:164;10:00:53:138;882.90686
09:00:53:171;10:00:53:138;882.90686
09:00:53:179;10:00:53:138;882.90686
09:00:53:187;10:00:53:138;882.90686
09:00:53:195;10:00:53:138;882.90686
09:00:53:203;10:00:53:138;882.90686
09:00:53:210;10:00:53:138;882.90686
09:00:53:218;10:00:53:138;882.90686
09:00:53:226;10:00:53:138;882.90686
09:00:53:234;10:00:53:138;882.90686
09:00:53:242;10:00:53:138;882.90686
09:00:53:250;10:00:53:246;2055.1272
09:00:53:257;10:00:53:246;2055.1272
09:00:53:265;10:00:53:246;2055.1272
09:00:53:273;10:00:53:246;2055.1272
09:00:53:281;10:00:53:246;2055.1272
09:00:53:289;10:00:53:246;2055.1272
09:00:53:296;10:00:53:246;2055.1272
09:00:53:304;10:00:53:246;2055.1272
09:00:53:312;10:00:53:246;2055.1272
09:00:53:320;10:00:53:246;2055.1272
09:00:53:328;10:00:53:246;2055.1272
09:00:53:335;10:00:53:246;2055.1272
09:00:53:343;10:00:53:246;2055.1272
09:00:53:351;10:00:53:348;2232.7773
09:00:53:359;10:00:53:348;2232.7773
09:00:53:367;10:00:53:348;2232.7773
09:00:53:375;10:00:53:348;2232.7773
09:00:53:382;10:00:53:348;2232.7773
09:00:53:390;10:00:53:348;2232.7773
09:00:53:398;10:00:53:348;2232.7773
09:00:53:406;10:00:53:348;2232.7773
09:00:53:414;10:00:53:348;2232.7773
09:00:53:421;10:00:53:348;2232.7773
09:00:53:429;10:00:53:348;2232.7773
09:00:53:437;10:00:53:348;2232.7773
09:00:53:445;10:00:53:348;2232.7773
09:00:53:453;10:00:53:348;2232.7773
09:00:53:460;10:00:53:348;2232.7773
09:00:53:468;10:00:53:348;2232.7773
09:00:53:476;10:00:53:348;2232.7773
09:00:53:484;10:00:53:348;2232.7773
09:00:53:492;10:00:53:488;2378.3665
09:00:53:500;10:00:53:488;2378.3665
09:00:53:507;10:00:53:488;2378.3665
09:00:53:515;10:00:53:488;2378.3665
09:00:53:523;10:00:53:488;2378.3665
09:00:53:531;10:00:53:488;2378.3665
09:00:53:539;10:00:53:488;2378.3665
09:00:53:546;10:00:53:488;2378.3665
09:00:53:554;10:00:53:488;2378.3665
09:00:53:562;10:00:53:488;2378.3665
09:00:53:570;10:00:53:488;2378.3665
09:00:53:578;10:00:53:488;2378.3665
09:00:53:585;10:00:53:488;2378.3665
09:00:53:593;10:00:53:592;2341.1025
09:00:53:601;10:00:53:592;2341.1025
09:00:53:609;10:00:53:592;2341.1025
09:00:53:617;10:00:53:592;2341.1025
09:00:53:625;10:00:53:592;2341.1025
09:00:53:632;10:00:53:592;2341.1025
09:00:53:640;10:00:53:592;2341.1025
09:00:53:648;10:00:53:592;2341.1025
09:00:53:656;10:00:53:592;2341.1025
09:00:53:664;10:00:53:592;2341.1025
09:00:53:671;10:00:53:592;2341.1025
09:00:53:679;10:00:53:592;2341.1025
09:00:53:687;10:00:53:592;2341.1025
09:00:53:695;10:00:53:592;2341.1025
09:00:53:703;10:00:53:702;2513.5251
09:00:53:710;10:00:53:702;2513.5251
09:00:53:718;10:00:53:702;2513.5251
09:00:53:726;10:00:53:702;2513.5251
09:00:53:734;10:00:53:702;2513.5251
09:00:53:742;10:00:53:702;2513.5251
09:00:53:750;10:00:53:702;2513.5251
09:00:53:757;10:00:53:702;2513.5251
09:00:53:765;10:00:53:702;2513.5251
09:00:53:773;10:00:53:702;2513.5251
09:00:53:781;10:00:53:702;2513.5251
09:00:53:789;10:00:53:702;2513.5251
09:00:53:796;10:00:53:702;2513.5251
09:00:53:804;10:00:53:702;2513.5251
09:00:53:812;10:00:53:808;2583.9583
09:00:53:820;10:00:53:808;2583.9583
09:00:53:828;10:00:53:808;2583.9583
09:00:53:835;10:00:53:808;2583.9583
09:00:53:843;10:00:53:808;2583.9583
09:00:53:851;10:00:53:808;2583.9583
09:00:53:859;10:00:53:808;2583.9583
09:00:53:867;10:00:53:808;2583.9583
09:00:53:875;10:00:53:808;2583.9583
09:00:53:882;10:00:53:808;2583.9583
09:00:53:890;10:00:53:808;2583.9583
09:00:53:898;10:00:53:808;2583.9583
09:00:53:906;10:00:53:808;2583.9583
09:00:53:914;10:00:53:808;2583.9583
09:00:53:921;10:00:53:808;2583.9583
09:00:53:929;10:00:53:808;2583.9583
09:00:53:937;10:00:53:808;2583.9583
09:00:53:945;10:00:53:808;2583.9583
09:00:53:953;10:00:53:808;2583.9583
09:00:53:960;10:00:53:808;2583.9583
09:00:53:968;10:00:53:808;2583.9583
09:00:53:976;10:00:53:970;2425.7825
09:00:53:984;10:00:53:970;2425.7825
09:00:53:992;10:00:53:970;2425.7825
09:00:54:000;10:00:53:970;2425.7825
09:00:54:007;10:00:53:970;2425.7825
09:00:54:015;10:00:53:970;2425.7825
09:00:54:023;10:00:53:970;2425.7825
09:00:54:031;10:00:53:970;2425.7825
09:00:54:039;10:00:53:970;2425.7825
09:00:54:046;10:00:53:970;2425.7825
09:00:54:054;10:00:53:970;2425.7825
09:00:54:062;10:00:53:970;2425.7825
09:00:54:070;10:00:53:970;2425.7825
09:00:54:078;10:00:54:071;2268.317
09:00:54:085;10:00:54:071;2268.317
09:00:54:093;10:00:54:071;2268.317
09:00:54:101;10:00:54:071;2268.317
09:00:54:109;10:00:54:071;2268.317
09:00:54:117;10:00:54:071;2268.317
09:00:54:125;10:00:54:071;2268.317
09:00:54:132;10:00:54:071;2268.317
09:00:54:140;10:00:54:071;2268.317
09:00:54:148;10:00:54:071;2268.317
09:00:54:156;10:00:54:071;2268.317
09:00:54:164;10:00:54:071;2268.317
09:00:54:171;10:00:54:071;2268.317
09:00:54:179;10:00:54:176;889.9059
09:00:54:187;10:00:54:176;889.9059
09:00:54:195;10:00:54:176;889.9059
09:00:54:203;10:00:54:176;889.9059
09:00:54:210;10:00:54:176;889.9059
09:00:54:218;10:00:54:176;889.9059
09:00:54:226;10:00:54:176;889.9059
09:00:54:234;10:00:54:176;889.9059
09:00:54:242;10:00:54:176;889.9059
09:00:54:250;10:00:54:176;889.9059
09:00:54:257;10:00:54:176;889.9059
09:00:54:265;10:00:54:176;889.9059
09:00:54:273;10:00:54:176;889.9059
09:00:54:281;10:00:54:176;889.9059
09:00:54:289;10:00:54:286;2331.879
09:00:54:296;10:00:54:286;2331.879
09:00:54:304;10:00:54:286;2331.879
09:00:54:312;10:00:54:286;2331.879
09:00:54:320;10:00:54:286;2331.879
09:00:54:328;10:00:54:286;2331.879
09:00:54:335;10:00:54:286;2331.879
09:00:54:343;10:00:54:286;2331.879
09:00:54:351;10:00:54:286;2331.879
09:00:54:359;10:00:54:286;2331.879
09:00:54:367;10:00:54:286;2331.879
09:00:54:375;10:00:54:286;2331.879
09:00:54:382;10:00:54:286;2331.879
09:00:54:390;10:00:54:389;970.65576
09:00:54:398;10:00:54:389;970.65576
09:00:54:406;10:00:54:389;970.65576
09:00:54:414;10:00:54:389;970.65576
09:00:54:421;10:00:54:389;970.65576
09:00:54:429;10:00:54:389;970.65576
09:00:54:437;10:00:54:389;970.65576
09:00:54:445;10:00:54:389;970.65576
09:00:54:453;10:00:54:389;970.65576
09:00:54:460;10:00:54:389;970.65576
09:00:54:468;10:00:54:389;970.65576
09:00:54:476;10:00:54:389;970.65576
09:00:54:484;10:00:54:389;970.65576
09:00:54:492;10:00:54:491;611.5856
09:00:54:500;10:00:54:491;611.5856
09:00:54:507;10:00:54:491;611.5856
09:00:54:515;10:00:54:491;611.5856
