Serial_no.;time1;time2;(time1+time2)/2;mean(HR1);mean(HR2);mean(HR3);mean(HR4);RMSSD1;RMSSD2;RMSSD3;RMSSD4;stress/non-stress
1;09:38:01:242;09:38:05:609;9:38:3:425;98.4121071429;100.173342857;102.955942857;98.7415;1.57293451128;0.42443656364;3.75578265857;0.664963698111;0
2;09:38:01:398;09:38:05:765;9:38:3:581;98.8688214286;100.079628571;102.863371429;98.2978571429;1.57293451128;0.42443656364;3.75578265857;1.48511039353;0
3;09:38:01:554;09:38:05:921;9:38:3:737;99.3135;99.9859142857;102.7708;97.767;1.57088984354;0.42443656364;3.75578265857;1.48511039353;0
4;09:38:01:710;09:38:06:078;9:38:3:394;99.6367785714;100.407207143;102.274514286;97.2361428571;1.6252278958;2.48354652093;2.81857688214;1.48511039353;0
5;09:38:01:867;09:38:06:234;9:38:3:550;99.95435;101.164778571;101.311442857;96.8415;1.6252278958;2.48354652093;2.89595448175;1.32792174512;0
6;09:38:02:023;09:38:06:390;9:38:4:206;100.271921429;101.92235;100.303157143;96.5886785714;1.6252278958;2.48354652093;2.89595448175;1.41693711875;0
7;09:38:02:179;09:38:06:546;9:38:4:362;100.267092857;102.676535714;99.2948714286;96.36825;0.424428956584;2.48224378239;2.89595448175;1.41693711875;0
8;09:38:02:335;09:38:06:703;9:38:4:519;100.173342857;102.955942857;98.7415;96.1478214286;0.42443656364;3.75578265857;0.664963698111;1.41693711875;0
9;09:38:02:492;09:38:06:859;9:38:4:675;100.079628571;102.863371429;98.2978571429;96.1896071429;0.42443656364;3.75578265857;1.48511039353;0.494302172081;0
10;09:38:02:648;09:38:07:015;9:38:4:331;99.9859142857;102.7708;97.767;96.5684285714;0.42443656364;3.75578265857;1.48511039353;1.33443985999;0
11;09:38:02:804;09:38:07:171;9:38:4:487;100.407207143;102.274514286;97.2361428571;97.0307142857;2.48354652093;2.81857688214;1.48511039353;1.33443985999;0
12;09:38:02:960;09:38:07:328;9:38:4:644;101.164778571;101.311442857;96.8415;97.493;2.48354652093;2.89595448175;1.32792174512;1.33443985999;0
13;09:38:03:117;09:38:07:484;9:38:5:300;101.92235;100.303157143;96.5886785714;97.8586785714;2.48354652093;2.89595448175;1.41693711875;1.23951405906;0
14;09:38:03:273;09:38:07:640;9:38:5:456;102.676535714;99.2948714286;96.36825;98.2569642857;2.48224378239;2.89595448175;1.41693711875;1.26364374494;0
15;09:38:03:429;09:38:07:796;9:38:5:612;102.955942857;98.7415;96.1478214286;98.6588214286;3.75578265857;0.664963698111;1.41693711875;1.26364374494;0
16;09:38:03:585;09:38:07:953;9:38:5:769;102.863371429;98.2978571429;96.1896071429;99.0606785714;3.75578265857;1.48511039353;0.494302172081;1.26364374494;0
17;09:38:03:742;09:38:08:109;9:38:5:425;102.7708;97.767;96.5684285714;99.2801928571;3.75578265857;1.48511039353;1.33443985999;1.59058362227;0
18;09:38:03:898;09:38:08:265;9:38:5:581;102.274514286;97.2361428571;97.0307142857;99.7993;2.81857688214;1.48511039353;1.33443985999;1.59058546093;0
19;09:38:04:054;09:38:08:421;9:38:6:237;101.311442857;96.8415;97.493;100.318442857;2.89595448175;1.32792174512;1.33443985999;1.59058546093;0
20;09:38:04:210;09:38:08:578;9:38:6:394;100.303157143;96.5886785714;97.8586785714;100.837585714;2.89595448175;1.41693711875;1.23951405906;1.59058546093;0
21;09:38:04:367;09:38:08:734;9:38:6:550;99.2948714286;96.36825;98.2569642857;101.141985714;2.89595448175;1.41693711875;1.26364374494;2.16776502314;0
22;09:38:04:523;09:38:08:890;9:38:6:706;98.7415;96.1478214286;98.6588214286;101.165128571;0.664963698111;1.41693711875;1.26364374494;2.16776502314;0
23;09:38:04:679;09:38:09:046;9:38:6:362;98.2978571429;96.1896071429;99.0606785714;101.188271429;1.48511039353;0.494302172081;1.26364374494;2.16776502314;0
24;09:38:04:835;09:38:09:203;9:38:6:519;97.767;96.5684285714;99.2801928571;101.143935714;1.48511039353;1.33443985999;1.59058362227;1.4932010406;0
25;09:38:04:992;09:38:09:359;9:38:6:675;97.2361428571;97.0307142857;99.7993;100.793164286;1.48511039353;1.33443985999;1.59058546093;1.57279040555;0
26;09:38:05:148;09:38:09:515;9:38:7:331;96.8415;97.493;100.318442857;100.505307143;1.32792174512;1.33443985999;1.59058546093;1.57279040555;0
27;09:38:05:304;09:38:09:671;9:38:7:487;96.5886785714;97.8586785714;100.837585714;100.21745;1.41693711875;1.23951405906;1.59058546093;1.57279040555;0
28;09:38:05:460;09:38:09:828;9:38:7:644;96.36825;98.2569642857;101.141985714;100.079335714;1.41693711875;1.26364374494;2.16776502314;0.493990041598;0
29;09:38:05:617;09:38:09:984;9:38:7:800;96.1478214286;98.6588214286;101.165128571;100.471514286;1.41693711875;1.26364374494;2.16776502314;1.25855792525;0
30;09:38:05:773;09:38:10:140;9:38:7:456;96.1896071429;99.0606785714;101.188271429;100.948085714;0.494302172081;1.26364374494;2.16776502314;1.25855792525;0
31;09:38:05:929;09:38:10:296;9:38:7:612;96.5684285714;99.2801928571;101.143935714;101.424657143;1.33443985999;1.59058362227;1.4932010406;1.25855792525;1
32;09:38:06:085;09:38:10:453;9:38:8:269;97.0307142857;99.7993;100.793164286;101.908864286;1.33443985999;1.59058546093;1.57279040555;2.15658776215;0
33;09:38:06:242;09:38:10:609;9:38:8:425;97.493;100.318442857;100.505307143;102.808257143;1.33443985999;1.59058546093;1.57279040555;2.15658891363;0
34;09:38:06:398;09:38:10:765;9:38:8:581;97.8586785714;100.837585714;100.21745;103.707685714;1.23951405906;1.59058546093;1.57279040555;2.15658891363;0
35;09:38:06:554;09:38:10:921;9:38:8:737;98.2569642857;101.141985714;100.079335714;104.607114286;1.26364374494;2.16776502314;0.493990041598;2.15658891363;0
36;09:38:06:710;09:38:11:078;9:38:8:394;98.6588214286;101.165128571;100.471514286;105.012735714;1.26364374494;2.16776502314;1.25855792525;2.30207148452;0
37;09:38:06:867;09:38:11:234;9:38:8:550;99.0606785714;101.188271429;100.948085714;105.136878571;1.26364374494;2.16776502314;1.25855792525;2.30207148452;0
38;09:38:07:023;09:38:11:390;9:38:9:206;99.2801928571;101.143935714;101.424657143;105.261021429;1.59058362227;1.4932010406;1.25855792525;2.30207148452;0
39;09:38:07:179;09:38:11:546;9:38:9:362;99.7993;100.793164286;101.908864286;105.300907143;1.59058546093;1.57279040555;2.15658776215;1.41017879505;1
40;09:38:07:335;09:38:11:703;9:38:9:519;100.318442857;100.505307143;102.808257143;104.334914286;1.59058546093;1.57279040555;2.15658891363;5.72852077714;0
