Time_Biotrace;Time_GPS;Latitude_GPS;Longitude_GPS;Accuracy_GPS;Altitude_GPS;Speed_GPS;Bearing_GPS
17:46:37:359;17:46:37:358;48.73697255;9.116204887;20;502;11.78249;314.23914
17:46:37:367;17:46:37:358;48.73697255;9.116204887;20;502;11.78249;314.23914
17:46:37:375;17:46:37:358;48.73697255;9.116204887;20;502;11.78249;314.23914
17:46:37:382;17:46:37:358;48.73697255;9.116204887;20;502;11.78249;314.23914
17:46:37:390;17:46:37:358;48.73697255;9.116204887;20;502;11.78249;314.23914
17:46:37:398;17:46:37:358;48.73697255;9.116204887;20;502;11.78249;314.23914
17:46:37:406;17:46:37:358;48.73697255;9.116204887;20;502;11.78249;314.23914
17:46:37:414;17:46:37:358;48.73697255;9.116204887;20;502;11.78249;314.23914
17:46:37:421;17:46:37:358;48.73697255;9.116204887;20;502;11.78249;314.23914
17:46:37:429;17:46:37:358;48.73697255;9.116204887;20;502;11.78249;314.23914
17:46:37:437;17:46:37:358;48.73697255;9.116204887;20;502;11.78249;314.23914
17:46:37:445;17:46:37:358;48.73697255;9.116204887;20;502;11.78249;314.23914
17:46:37:453;17:46:37:358;48.73697255;9.116204887;20;502;11.78249;314.23914
17:46:37:460;17:46:37:358;48.73697255;9.116204887;20;502;11.78249;314.23914
17:46:37:468;17:46:37:358;48.73697255;9.116204887;20;502;11.78249;314.23914
17:46:37:476;17:46:37:358;48.73697255;9.116204887;20;502;11.78249;314.23914
17:46:37:484;17:46:37:358;48.73697255;9.116204887;20;502;11.78249;314.23914
17:46:37:492;17:46:37:358;48.73697255;9.116204887;20;502;11.78249;314.23914
17:46:37:500;17:46:37:358;48.73697255;9.116204887;20;502;11.78249;314.23914
17:46:37:507;17:46:37:358;48.73697255;9.116204887;20;502;11.78249;314.23914
17:46:37:515;17:46:37:358;48.73697255;9.116204887;20;502;11.78249;314.23914
17:46:37:523;17:46:37:358;48.73697255;9.116204887;20;502;11.78249;314.23914
17:46:37:531;17:46:37:358;48.73697255;9.116204887;20;502;11.78249;314.23914
17:46:37:539;17:46:37:358;48.73697255;9.116204887;20;502;11.78249;314.23914
17:46:37:546;17:46:37:358;48.73697255;9.116204887;20;502;11.78249;314.23914
17:46:37:554;17:46:37:358;48.73697255;9.116204887;20;502;11.78249;314.23914
17:46:37:562;17:46:37:358;48.73697255;9.116204887;20;502;11.78249;314.23914
17:46:37:570;17:46:37:358;48.73697255;9.116204887;20;502;11.78249;314.23914
17:46:37:578;17:46:37:358;48.73697255;9.116204887;20;502;11.78249;314.23914
17:46:37:585;17:46:37:358;48.73697255;9.116204887;20;502;11.78249;314.23914
17:46:37:593;17:46:37:358;48.73697255;9.116204887;20;502;11.78249;314.23914
17:46:37:601;17:46:37:358;48.73697255;9.116204887;20;502;11.78249;314.23914
17:46:37:609;17:46:37:358;48.73697255;9.116204887;20;502;11.78249;314.23914
17:46:37:617;17:46:37:358;48.73697255;9.116204887;20;502;11.78249;314.23914
17:46:37:625;17:46:37:358;48.73697255;9.116204887;20;502;11.78249;314.23914
17:46:37:632;17:46:37:358;48.73697255;9.116204887;20;502;11.78249;314.23914
17:46:37:640;17:46:37:358;48.73697255;9.116204887;20;502;11.78249;314.23914
17:46:37:648;17:46:37:358;48.73697255;9.116204887;20;502;11.78249;314.23914
17:46:37:656;17:46:37:358;48.73697255;9.116204887;20;502;11.78249;314.23914
17:46:37:664;17:46:37:358;48.73697255;9.116204887;20;502;11.78249;314.23914
17:46:37:671;17:46:37:358;48.73697255;9.116204887;20;502;11.78249;314.23914
17:46:37:679;17:46:37:358;48.73697255;9.116204887;20;502;11.78249;314.23914
17:46:37:687;17:46:37:358;48.73697255;9.116204887;20;502;11.78249;314.23914
17:46:37:695;17:46:37:358;48.73697255;9.116204887;20;502;11.78249;314.23914
17:46:37:703;17:46:37:358;48.73697255;9.116204887;20;502;11.78249;314.23914
17:46:37:710;17:46:37:358;48.73697255;9.116204887;20;502;11.78249;314.23914
17:46:37:718;17:46:37:358;48.73697255;9.116204887;20;502;11.78249;314.23914
17:46:37:726;17:46:37:358;48.73697255;9.116204887;20;502;11.78249;314.23914
17:46:37:734;17:46:37:358;48.73697255;9.116204887;20;502;11.78249;314.23914
17:46:37:742;17:46:37:358;48.73697255;9.116204887;20;502;11.78249;314.23914
17:46:37:750;17:46:37:358;48.73697255;9.116204887;20;502;11.78249;314.23914
17:46:37:757;17:46:37:358;48.73697255;9.116204887;20;502;11.78249;314.23914
17:46:37:765;17:46:37:358;48.73697255;9.116204887;20;502;11.78249;314.23914
17:46:37:773;17:46:37:358;48.73697255;9.116204887;20;502;11.78249;314.23914
17:46:37:781;17:46:37:358;48.73697255;9.116204887;20;502;11.78249;314.23914
17:46:37:789;17:46:37:358;48.73697255;9.116204887;20;502;11.78249;314.23914
17:46:37:796;17:46:37:358;48.73697255;9.116204887;20;502;11.78249;314.23914
17:46:37:804;17:46:37:358;48.73697255;9.116204887;20;502;11.78249;314.23914
17:46:37:812;17:46:37:358;48.73697255;9.116204887;20;502;11.78249;314.23914
17:46:37:820;17:46:37:358;48.73697255;9.116204887;20;502;11.78249;314.23914
17:46:37:828;17:46:37:358;48.73697255;9.116204887;20;502;11.78249;314.23914
17:46:37:835;17:46:37:358;48.73697255;9.116204887;20;502;11.78249;314.23914
17:46:37:843;17:46:37:358;48.73697255;9.116204887;20;502;11.78249;314.23914
17:46:37:851;17:46:37:358;48.73697255;9.116204887;20;502;11.78249;314.23914
17:46:37:859;17:46:37:358;48.73697255;9.116204887;20;502;11.78249;314.23914
17:46:37:867;17:46:37:358;48.73697255;9.116204887;20;502;11.78249;314.23914
17:46:37:875;17:46:37:358;48.73697255;9.116204887;20;502;11.78249;314.23914
17:46:37:882;17:46:37:358;48.73697255;9.116204887;20;502;11.78249;314.23914
17:46:37:890;17:46:37:358;48.73697255;9.116204887;20;502;11.78249;314.23914
17:46:37:898;17:46:37:358;48.73697255;9.116204887;20;502;11.78249;314.23914
