Time_Biotrace;ECG;SCR;Temp;HR;RR;HRV_LF
10:32:51:421;-304.141;6.425;25.84;90.624;662.0763;79.252
10:32:51:429;-299.781;6.425;25.839;90.624;662.0763;79.252
10:32:51:437;-298.669;6.427;25.837;90.624;662.0763;79.252
10:32:51:445;-266.03;6.428;25.839;90.624;662.0763;79.252
10:32:51:453;-283.486;6.429;25.837;90.624;662.0763;79.252
10:32:51:460;-275.876;6.43;25.839;90.624;662.0763;79.252
10:32:51:468;-247.488;6.431;25.838;90.624;662.0763;79.252
10:32:51:476;-191.385;6.432;25.837;90.624;662.0763;79.252
10:32:51:484;-193.718;6.434;25.835;90.624;662.0763;79.252
10:32:51:492;-184.642;6.435;25.836;90.624;662.0763;79.252
10:32:51:500;-139.874;6.436;25.839;90.624;662.0763;78.231
10:32:51:507;-148.388;6.437;25.837;90.624;662.0763;78.231
10:32:51:515;-92.846;6.438;25.837;90.624;662.0763;78.231
10:32:51:523;-27.447;6.44;25.836;90.624;662.0763;78.231
10:32:51:531;-22.109;6.441;25.837;90.624;662.0763;78.231
10:32:51:539;-12.215;6.442;25.837;90.624;662.0763;78.231
10:32:51:546;31.832;6.443;25.837;90.624;662.0763;78.231
10:32:51:554;-6.242;6.445;25.838;90.624;662.0763;78.231
10:32:51:562;11.262;6.446;25.838;90.624;662.0763;78.231
10:32:51:570;21.547;6.447;25.84;90.624;662.0763;78.231
10:32:51:578;17.797;6.448;25.838;90.624;662.0763;78.231
10:32:51:585;7.341;6.449;25.839;90.624;662.0763;78.231
10:32:51:593;19.202;6.45;25.839;90.624;662.0763;78.231
10:32:51:601;-2.687;6.451;25.84;90.624;662.0763;78.231
10:32:51:609;-1.478;6.452;25.841;90.624;662.0763;78.231
10:32:51:617;-32.504;6.453;25.84;90.624;662.0763;78.231
10:32:51:625;-73.449;6.454;25.842;90.624;662.0763;78.231
10:32:51:632;-105.354;6.455;25.842;90.624;662.0763;78.231
10:32:51:640;-90.794;6.457;25.839;90.624;662.0763;78.231
10:32:51:648;-129.943;6.457;25.838;90.624;662.0763;78.231
10:32:51:656;-113.074;6.459;25.841;90.624;662.0763;78.231
10:32:51:664;-91.112;6.459;25.841;90.624;662.0763;78.231
10:32:51:671;-96.841;6.461;25.842;90.624;662.0763;78.231
10:32:51:679;-94.703;6.462;25.844;90.624;662.0763;78.231
10:32:51:687;-66.682;6.463;25.842;90.624;662.0763;78.231
10:32:51:695;-122.7;6.464;25.84;90.624;662.0763;78.231
10:32:51:703;-97.329;6.465;25.84;90.624;662.0763;78.231
10:32:51:710;-116.323;6.466;25.842;90.624;662.0763;78.231
10:32:51:718;-114.638;6.467;25.842;90.624;662.0763;78.231
10:32:51:726;-106.857;6.468;25.842;90.624;662.0763;78.231
10:32:51:734;-76.441;6.47;25.84;90.624;662.0763;78.231
10:32:51:742;-115.212;6.47;25.841;90.624;662.0763;78.231
10:32:51:750;-109.483;6.471;25.844;90.624;662.0763;77.122
10:32:51:757;-115.603;6.472;25.84;90.624;662.0763;77.122
10:32:51:765;-99.955;6.473;25.842;90.624;662.0763;77.122
10:32:51:773;-110.497;6.474;25.843;90.624;662.0763;77.122
10:32:51:781;-118.742;6.476;25.844;90.624;662.0763;77.122
10:32:51:789;-142.806;6.477;25.842;90.624;662.0763;77.122
10:32:51:796;-111.193;6.479;25.843;90.624;662.0763;77.122
10:32:51:804;-128.49;6.481;25.843;90.624;662.0763;77.122
10:32:51:812;-121.869;6.481;25.843;90.624;662.0763;77.122
10:32:51:820;-85.273;6.482;25.845;90.624;662.0763;77.122
10:32:51:828;-106.014;6.483;25.844;90.624;662.0763;77.122
10:32:51:835;-81.047;6.484;25.845;90.624;662.0763;77.122
10:32:51:843;3.322;6.486;25.843;90.624;662.0763;77.122
10:32:51:851;85.859;6.487;25.845;90.624;662.0763;77.122
10:32:51:859;68.355;6.488;25.843;90.624;662.0763;77.122
10:32:51:867;103.913;6.489;25.846;90.624;662.0763;77.122
10:32:51:875;68.257;6.49;25.846;90.624;662.0763;77.122
10:32:51:882;-6.437;6.491;25.844;90.624;662.0763;77.122
10:32:51:890;-59.255;6.492;25.844;90.624;662.0763;77.122
10:32:51:898;-123.677;6.494;25.845;90.624;662.0763;77.122
10:32:51:906;-153.933;6.496;25.845;90.624;662.0763;77.122
10:32:51:914;-160.029;6.497;25.845;90.624;662.0763;77.122
10:32:51:921;-175.359;6.497;25.845;90.624;662.0763;77.122
10:32:51:929;-171.584;6.499;25.846;90.624;662.0763;77.122
10:32:51:937;-179.499;6.5;25.847;90.624;662.0763;77.122
10:32:51:945;-213.53;6.502;25.847;90.624;662.0763;77.122
10:32:51:953;-252.716;6.503;25.848;90.624;662.0763;77.122
10:32:51:960;-184.715;6.504;25.849;90.624;662.0763;77.122
10:32:51:968;-140.448;6.504;25.848;90.624;662.0763;77.122
10:32:51:976;210.77;6.507;25.847;90.624;662.0763;77.122
10:32:51:984;762.668;6.507;25.845;90.624;662.0763;77.122
10:32:51:992;1266.622;6.508;25.847;90.624;662.0763;77.122
10:32:52:000;811.491;6.509;25.85;93.232;643.5559;75.916
10:32:52:007;140.13;6.51;25.845;93.232;643.5559;75.916
10:32:52:015;-249.894;6.512;25.847;93.232;643.5559;75.916
10:32:52:023;-553.596;6.512;25.848;93.232;643.5559;75.916
10:32:52:031;-339.333;6.515;25.848;93.237;643.5213;75.916
10:32:52:039;-270.318;6.515;25.847;93.237;643.5213;75.916
10:32:52:046;-186.694;6.516;25.847;93.237;643.5213;75.916
10:32:52:054;-194.475;6.518;25.845;93.237;643.5213;75.916
10:32:52:062;-190.102;6.519;25.847;93.237;643.5213;75.916
10:32:52:070;-175.542;6.52;25.848;93.237;643.5213;75.916
10:32:52:078;-181.246;6.52;25.847;93.237;643.5213;75.916
10:32:52:085;-155.509;6.522;25.852;93.237;643.5213;75.916
10:32:52:093;-159.418;6.523;25.849;93.237;643.5213;75.916
10:32:52:101;-148.437;6.525;25.85;93.237;643.5213;75.916
10:32:52:109;-117.13;6.527;25.849;93.237;643.5213;75.916
10:32:52:117;-85.053;6.527;25.85;93.237;643.5213;75.916
10:32:52:125;-67.61;6.528;25.85;93.237;643.5213;75.916
10:32:52:132;-35.802;6.529;25.847;93.237;643.5213;75.916
10:32:52:140;-17.272;6.53;25.847;93.237;643.5213;75.916
10:32:52:148;-9.357;6.531;25.85;93.237;643.5213;75.916
10:32:52:156;34.691;6.532;25.851;93.237;643.5213;75.916
10:32:52:164;55.163;6.533;25.849;93.237;643.5213;75.916
10:32:52:171;75.489;6.534;25.85;93.237;643.5213;75.916
10:32:52:179;116.507;6.535;25.851;93.237;643.5213;75.916
10:32:52:187;142.879;6.535;25.85;93.237;643.5213;75.916
10:32:52:195;98.025;6.537;25.85;93.237;643.5213;75.916
10:32:52:203;117.435;6.538;25.85;93.237;643.5213;75.916
10:32:52:210;102.435;6.538;25.849;93.237;643.5213;75.916
10:32:52:218;76.503;6.541;25.849;93.237;643.5213;75.916
10:32:52:226;101.189;6.541;25.851;93.237;643.5213;75.916
10:32:52:234;113.062;6.542;25.851;93.237;643.5213;75.916
10:32:52:242;80.069;6.543;25.853;93.237;643.5213;75.916
10:32:52:250;74.78;6.544;25.851;93.237;643.5213;74.608
