Time_Biotrace;Time_GPS;Latitude_GPS;Longitude_GPS;Accuracy_GPS;Altitude_GPS;Speed_GPS;Bearing_GPS
09:35:34:007;09:35:21:225;48.74713931;9.109723816;15;513;1.7044033;123.84068
09:35:34:015;09:35:21:225;48.74713931;9.109723816;15;513;1.7044033;123.84068
09:35:34:023;09:35:21:225;48.74713931;9.109723816;15;513;1.7044033;123.84068
09:35:34:031;09:35:21:225;48.74713931;9.109723816;15;513;1.7044033;123.84068
09:35:34:039;09:35:21:225;48.74713931;9.109723816;15;513;1.7044033;123.84068
09:35:34:046;09:35:21:225;48.74713931;9.109723816;15;513;1.7044033;123.84068
09:35:34:054;09:35:21:225;48.74713931;9.109723816;15;513;1.7044033;123.84068
09:35:34:062;09:35:21:225;48.74713931;9.109723816;15;513;1.7044033;123.84068
09:35:34:070;09:35:21:225;48.74713931;9.109723816;15;513;1.7044033;123.84068
09:35:34:078;09:35:21:225;48.74713931;9.109723816;15;513;1.7044033;123.84068
09:35:34:085;09:35:21:225;48.74713931;9.109723816;15;513;1.7044033;123.84068
09:35:34:093;09:35:21:225;48.74713931;9.109723816;15;513;1.7044033;123.84068
09:35:34:101;09:35:21:225;48.74713931;9.109723816;15;513;1.7044033;123.84068
09:35:34:109;09:35:21:225;48.74713931;9.109723816;15;513;1.7044033;123.84068
09:35:34:117;09:35:21:225;48.74713931;9.109723816;15;513;1.7044033;123.84068
09:35:34:125;09:35:21:225;48.74713931;9.109723816;15;513;1.7044033;123.84068
09:35:34:132;09:35:21:225;48.74713931;9.109723816;15;513;1.7044033;123.84068
09:35:34:140;09:35:21:225;48.74713931;9.109723816;15;513;1.7044033;123.84068
09:35:34:148;09:35:21:225;48.74713931;9.109723816;15;513;1.7044033;123.84068
09:35:34:156;09:35:21:225;48.74713931;9.109723816;15;513;1.7044033;123.84068
09:35:34:164;09:35:21:225;48.74713931;9.109723816;15;513;1.7044033;123.84068
09:35:34:171;09:35:21:225;48.74713931;9.109723816;15;513;1.7044033;123.84068
09:35:34:179;09:35:21:225;48.74713931;9.109723816;15;513;1.7044033;123.84068
09:35:34:187;09:35:21:225;48.74713931;9.109723816;15;513;1.7044033;123.84068
09:35:34:195;09:35:21:225;48.74713931;9.109723816;15;513;1.7044033;123.84068
09:35:34:203;09:35:21:225;48.74713931;9.109723816;15;513;1.7044033;123.84068
09:35:34:210;09:35:21:225;48.74713931;9.109723816;15;513;1.7044033;123.84068
09:35:34:218;09:35:21:225;48.74713931;9.109723816;15;513;1.7044033;123.84068
09:35:34:226;09:35:21:225;48.74713931;9.109723816;15;513;1.7044033;123.84068
09:35:34:234;09:35:21:225;48.74713931;9.109723816;15;513;1.7044033;123.84068
09:35:34:242;09:35:21:225;48.74713931;9.109723816;15;513;1.7044033;123.84068
09:35:34:250;09:35:21:225;48.74713931;9.109723816;15;513;1.7044033;123.84068
09:35:34:257;09:35:21:225;48.74713931;9.109723816;15;513;1.7044033;123.84068
09:35:34:265;09:35:21:225;48.74713931;9.109723816;15;513;1.7044033;123.84068
09:35:34:273;09:35:21:225;48.74713931;9.109723816;15;513;1.7044033;123.84068
09:35:34:281;09:35:21:225;48.74713931;9.109723816;15;513;1.7044033;123.84068
09:35:34:289;09:35:21:225;48.74713931;9.109723816;15;513;1.7044033;123.84068
09:35:34:296;09:35:21:225;48.74713931;9.109723816;15;513;1.7044033;123.84068
09:35:34:304;09:35:21:225;48.74713931;9.109723816;15;513;1.7044033;123.84068
09:35:34:312;09:35:21:225;48.74713931;9.109723816;15;513;1.7044033;123.84068
09:35:34:320;09:35:21:225;48.74713931;9.109723816;15;513;1.7044033;123.84068
09:35:34:328;09:35:21:225;48.74713931;9.109723816;15;513;1.7044033;123.84068
09:35:34:335;09:35:21:225;48.74713931;9.109723816;15;513;1.7044033;123.84068
09:35:34:343;09:35:21:225;48.74713931;9.109723816;15;513;1.7044033;123.84068
09:35:34:351;09:35:21:225;48.74713931;9.109723816;15;513;1.7044033;123.84068
09:35:34:359;09:35:21:225;48.74713931;9.109723816;15;513;1.7044033;123.84068
09:35:34:367;09:35:21:225;48.74713931;9.109723816;15;513;1.7044033;123.84068
09:35:34:375;09:35:21:225;48.74713931;9.109723816;15;513;1.7044033;123.84068
