TripNo.;Intertrip_Time;Trip_Time;Trip_Distance
1;00:00:00:0000;0:2:27:227;1.13207777934
2;0:0:0:8;-1:22:22:23;18.9916285747
3;0:0:0:8;0:0:29:0;0.143534667481
4;0:0:0:8;0:3:11:711;1.74008306901
