median(time1,time1+559);mean(AccX);var(AccX);kurtosis(AccX);EightythPercentile(AccX);mean(AccY);var(AccY);kurtosis(AccY);EightythPercentile(AccY);mean(AccZ);var(AccZ);kurtosis(AccZ);EightythPercentile(AccZ);mean(light);var(light);kurtosis(light);EightythPercentile(light);mean(speed);var(speed);kurtosis(speed);EightythPercentile(speed);mean(bearing);var(bearing);kurtosis(bearing);EightythPercentile(bearing);stressOrNonStress
14:55:47:578;-0.127713561489;0.208087583918;-0.7725078597595609;0.34476504;-0.484483815904;0.275867870165;-0.2530291829366855;0.05746084;9.93515038393;0.169689756884;1.4950482095797346;10.247183;802.039765964;9736.9697141;-0.8982745970392156;879.4278;18.3402361018;0.0400795947793;-1.3253865712194484;18.474665;247.55261375;0.327175244765;-0.8432267707242431;248.35371;0
14:55:47:734;-0.129970952168;0.210438156924;-0.7880549120027482;0.34476504;-0.478122079796;0.274892955919;-0.23870512787036713;0.05746084;9.9282072125;0.175948159758;1.3370455148915;10.247183;808.647112714;8394.557764;-0.681610438803228;879.4278;18.3474409232;0.0434135392574;-1.3490757996951999;18.474665;247.512005893;0.36360859969;-1.0005617155645328;248.35371;0
14:55:47:890;-0.157264850829;0.196655226107;-0.8094430626094877;0.30645782;-0.468750490975;0.272543333866;-0.1990444737257686;0.05746084;9.94513762768;0.169536279058;1.4478989160093896;10.247183;812.637556732;7553.42182001;-0.44481420797719107;879.4278;18.3546457446;0.0466436648318;-1.3953043896474233;18.474665;247.471398036;0.396743958493;-1.1355014750426988;248.35371;0
14:55:48:046;-0.172724552989;0.194594703268;-0.8551282597220822;0.30645782;-0.460678609439;0.264811672965;-0.08535421201219728;0.05746084;9.93686051875;0.154716996335;1.8502424932823436;10.139923;814.852101661;6907.15611297;-0.48350467877031233;879.4278;18.3618505661;0.0497699715026;-1.4517452203733825;18.676075;247.430790179;0.426581321171;-1.2401657991674273;248.35371;0
14:55:48:203;-0.200873524364;0.192604542113;-0.788881290361005;0.30645782;-0.4576687556;0.266620615267;-0.12355148453409681;0.05746084;9.95211501786;0.163226078383;1.2954636546634815;10.266336;813.66821475;7400.20326893;-0.07517998147396332;879.4278;18.3698165875;0.0532887845249;-1.5021463383011642;18.676075;247.401349482;0.439802488375;-1.2770146986253463;248.35371;0
14:55:48:359;-0.24054886615;0.229805641786;-0.3294243736712903;0.30645782;-0.447065861618;0.269236511221;-0.1716746600781347;0.05746084;9.95724545536;0.166194658652;1.1161989510874646;10.28549;811.282510857;8343.57419008;0.300409144256117;879.4278;18.3784054089;0.0570759824204;-1.5532891407247513;18.676075;247.381045554;0.440745911141;-1.2647591287180604;248.35371;0
14:55:48:515;-0.295205070614;0.248821913069;-0.22333348601335512;0.24899697;-0.411426457396;0.249874066538;0.0077590719986311285;0.05746084;9.96521470179;0.159413081929;1.3057530815088665;10.28549;806.540543;10032.7216223;0.3800616731409576;879.4278;18.3877115089;0.0605523190305;-1.6053681119948826;18.676075;247.359488964;0.439254289734;-1.2300936263965327;248.35371;0
14:55:48:671;-0.338334905657;0.264764100583;-0.311054546063537;0.24899697;-0.384782413718;0.21256022002;-0.021020200526719712;0.05746084;9.95515908036;0.160210645044;1.3644218700824373;10.28549;802.581083;11516.691935;0.2815587839242468;879.4278;18.4106459018;0.0603031044983;-1.5899458542853842;18.676075;247.314131821;0.404610539658;-1.043322027986117;247.66429;0
14:55:48:828;-0.400242121454;0.331433936596;-0.03479902063488671;0.24899697;-0.372058943914;0.198510310915;0.05160625089731319;0.05746084;9.96812197679;0.161055296762;1.2050409967318858;10.2931516;795.689574571;13531.4111469;-0.16682274222661508;879.4278;18.4335802946;0.0590019172145;-1.5398128979991297;18.676075;247.268774679;0.365852248765;-0.8004425467865768;247.66429;0
14:55:48:984;-0.4608838276;0.348257662164;-0.21670586086338783;-0.076614454;-0.368536047307;0.195548960798;0.09765547375912309;0.05746084;9.96083677857;0.158858927664;1.3861954082873948;10.2931516;786.575707304;15946.6604679;-0.5743856586792893;879.4278;18.4565146875;0.0566487571794;-1.4556998971091586;18.676075;247.223417536;0.322979417056;-0.4993247781392367;247.66429;0
14:55:49:140;-0.516634524207;0.347603723649;-0.28520817824468203;-0.11492168;-0.359643296414;0.185450223298;0.21365330702638552;0.05746084;9.94749767143;0.168500402459;1.1482749863043837;10.2931516;777.996233518;18104.7733237;-0.9233101766711047;879.4278;18.4890198946;0.0662069193203;1.9567221588274446;18.714827;247.175275643;0.277233558583;-0.16682936271334325;247.66429;0
14:55:49:296;-0.577652466207;0.3402430931;-0.29914006064932064;-0.149398188;-0.363952858914;0.191486329242;0.18949351304131223;0.05746084;9.95249127857;0.168257158946;1.1130385185033687;10.2931516;768.969139589;20219.2086824;-1.1942881799660023;879.4278;18.5438570018;0.101735338347;3.311105122949252;18.714827;247.120636;0.229063339205;0.08242654392075455;247.66429;0
14:55:49:453;-0.640962001564;0.310420205939;-0.3072708006210769;-0.21068975;-0.380849083414;0.20965541788;0.119298280848402;0.05746084;9.94653998036;0.17441497751;0.9776901363147217;10.2931516;756.634325839;22321.2759955;-1.3955897124006513;879.4278;18.5986941089;0.131249540733;2.340970672706108;18.714827;247.065996357;0.174922138685;-0.2484097095619071;247.66429;0
14:55:49:609;-0.681287198796;0.282789026369;-0.2077935455301394;-0.22984336;-0.422302975521;0.253642200059;-0.00761530582389458;0.05746084;9.93969940714;0.1763750618;0.9552023381529104;10.2931516;744.4191185;24056.2604163;-1.5569117376732093;879.4278;18.64419905;0.161752395716;1.2301671229188607;18.714827;247.027361107;0.146487166582;-0.7214217787415658;247.66429;0
