TripNo.;Intertrip_Time;Trip_Time;Trip_Distance
1;00:00:00:0000;-1:3:30:0;1.27091974531
2;0:0:0:8;0:23:20:992;18.9776210813
3;0:0:0:8;0:0:37:961;0.172200141561
4;0:0:0:8;0:3:9:8;1.6653600008
