TripNo.;Intertrip_Time;Trip_Time;Trip_Distance
1;00:00:00:0000;0:4:58:383;1.22576120545
2;0:0:0:8;-1:8:50:922;12.0183198649
3;0:0:0:8;0:14:34:7;6.86778741508
4;0:0:0:8;0:0:33:24;0.0610738701329
