((time1+time2)*0.5);mean(AccX);var(AccX);kurtosis(AccX);EightythPercentile(AccX);mean(AccY);var(AccY);kurtosis(AccY);EightythPercentile(AccY);mean(AccZ);var(AccZ);kurtosis(AccZ);EightythPercentile(AccZ);mean(light);var(light);kurtosis(light);EightythPercentile(light);mean(speed);var(speed);kurtosis(speed);EightythPercentile(speed);mean(bearing);var(bearing);kurtosis(bearing);EightythPercentile(bearing)
10.0:55.0:4.0:675.5;-0.493992219639;0.181084225718;-0.19053935659549026;-0.22984336;-0.375889661614;0.197091598643;4.154123612479554;-0.095768064;10.1666696687;0.559880222449;1.9618408991177327;10.802638;510.593064911;1055.98425162;-0.2844809041534284;539.0018;12.8903289196;0.0263490591288;-0.6255207817511539;12.995463;38.8585184411;1.44988800112;-0.7223855466619797;40.403454
10.0:55.0:4.5:331.5;-0.484894253889;0.179238457532;-0.15213624096533795;-0.22984336;-0.357830539989;0.206478109394;3.5408523288670617;-0.076614454;10.1669774777;0.559342059372;1.9701108980864328;10.802638;508.204353089;1076.69582542;-0.4565132231826028;539.0018;12.9102204196;0.0285749311214;-0.6722531603639674;12.995463;38.7140472268;1.56703272619;-0.8013115609164116;39.621315
10.0:55.0:4.5:487.5;-0.475180634925;0.185667367662;-0.22685591616209377;-0.17238252;-0.347809095654;0.206413537838;3.5054374158422545;-0.076614454;10.1521676384;0.562175929407;1.96776012110944;10.802638;506.639325446;1061.6336206;-0.43942518515088613;534.7626;12.9301119196;0.0300094595695;-0.7547977231340983;12.995463;38.5695760125;1.64243358773;-0.9013116375252812;39.621315
10.0:55.0:4.5:644.0;-0.472786433139;0.189273413959;-0.17891276257236965;-0.22984336;-0.340455476154;0.211772848012;3.1858900403561154;-0.076614454;10.1395126116;0.569522700536;1.888509076879573;10.802638;503.962887732;1007.20226669;-0.5599018116419905;534.7626;12.9500034196;0.0306526444731;-0.8364505743810917;12.995463;38.4251047982;1.67609058576;-0.9953765335937952;39.621315
10.0:55.0:5.0:300.5;-0.443645578032;0.206938524953;-0.37477655879786775;-0.095768064;-0.337240404875;0.209629280586;3.2748247936322494;-0.076614454;10.1297305866;0.559925649085;2.0414339842453932;10.802638;502.150426143;1019.63586623;-0.6553311417253163;532.65533;12.9715337304;0.0321217467591;-0.1972434514410768;13.234706;38.2734616196;1.70992905267;-0.9055238448520244;39.621315
10.0:55.0:5.0:456.5;-0.410571392943;0.238201279666;-0.5682913091052622;-0.038307227;-0.334059536679;0.204868267025;3.5051699070277254;-0.076614454;10.1059595795;0.545859651005;2.3382812377356146;10.764331;499.065088607;982.478341205;-0.6710750668017873;532.65533;13.0078133375;0.0463422619091;1.8217678657155147;13.234706;38.0572707625;2.05089843706;-0.18326342735748025;39.621315
10.0:55.0:5.0:612.5;-0.387860679711;0.262510607112;-0.7355723761487005;0.17238252;-0.314632299821;0.222009150585;2.794128339831021;-0.05746084;10.1252157937;0.524861589603;2.622919270339855;10.764331;496.336006821;912.53911266;-0.6696741418500234;526.384;13.0440929446;0.0579303572702;1.417445443289778;13.234706;37.8410799054;2.29839084803;-0.20517652015031018;39.621315
10.0:55.0:5.0:769.0;-0.393811980396;0.254431109508;-0.7084471838305206;0.1340753;-0.324482728786;0.236574875491;2.318912522371466;-0.076614454;10.1161178134;0.526909419352;2.625408463972513;10.764331;494.010597643;799.929739404;-0.6191011382568417;522.244;13.0770796125;0.0691895003937;0.6989740437103653;13.234706;37.6500292304;2.57181839786;-0.4363044173508195;38.646416
10.0:55.0:5.5:425.5;-0.379549378304;0.27730234683;-0.48341591675650797;0.1340753;-0.321438672529;0.239592546163;2.206389253922545;-0.076614454;10.0826331938;0.592664785798;2.2094066374290273;10.764331;492.903609304;770.166148464;-0.5002941532150187;516.095;13.1097003982;0.0785511436116;0.09751780437453972;13.234706;37.4617719089;2.78650255527;-0.6770402878612085;38.646416
10.0:55.0:5.5:581.5;-0.338642731911;0.311933840618;-0.632072441254067;0.36391866;-0.318326210529;0.244983149625;1.9995380592884144;-0.076614454;10.1076354795;0.625675034859;1.9939750218185859;10.802638;491.668128518;776.465227083;-0.5168086508274135;516.095;13.1423211839;0.0857845555083;-0.3739484357714975;13.234706;37.2735145875;2.93030507453;-0.888354196686445;38.646416
