Serial_no.;time1;time2;median(time1,time2);mean(HR1);mean(HR2);mean(HR3);mean(HR4);RMSSD1;RMSSD2;RMSSD3;RMSSD4;stress/non-stress
1;11:33:32:296;11:33:36:664;11:33:34:476;101.6686571428573;102.52764285714248;117.53228571428541;115.1862285714285;0.9941355490114304;0.9963155950487822;11.155762071168594;2.0747262699510243;1
2;11:33:32:453;11:33:36:820;11:33:34:632;102.08122857142858;102.72661428571406;118.56145714285691;115.78022857142855;0.9941355490114304;2.0746026382413434;11.006347988631981;2.0747262699510243;1
3;11:33:32:609;11:33:36:976;11:33:34:789;102.49379999999987;102.9804714285713;119.53574285714261;116.37422857142867;0.9941355490114304;2.0746026382413434;11.006347988631981;2.0747262699510243;1
4;11:33:32:765;11:33:37:132;11:33:34:945;102.88488571428547;103.2343285714285;120.58524285714255;116.85537142857162;0.660144869958088;2.0746026382413434;11.19246477147876;0.5328842818921171;1
5;11:33:32:921;11:33:37:289;11:33:35:101;102.87631428571402;106.14462857142843;119.86151428571408;116.57158571428589;1.1951694803526218;9.290457954638795;6.501537771549029;0.5328810923192184;1
6;11:33:33:078;11:33:37:445;11:33:35:257;102.77974285714251;110.19319999999975;118.08751428571414;116.28772857142874;1.1951694803526218;9.290457954638795;6.501537771549029;0.5328810923192184;1
7;11:33:33:234;11:33:37:601;11:33:35:414;102.68317142857104;114.24177142857108;116.31351428571419;116.02261428571448;1.1951694803526218;9.290457954638795;6.501537771549029;0.7272747005227724;1
8;11:33:33:390;11:33:37:757;11:33:35:570;102.52764285714248;117.53228571428541;115.1862285714285;116.03817142857154;0.9963155950487822;11.155762071168594;2.0747262699510243;0.5966723439749175;1
9;11:33:33:546;11:33:37:914;11:33:35:726;102.72661428571406;118.56145714285691;115.78022857142855;116.10131428571427;2.0746026382413434;11.006347988631981;2.0747262699510243;0.5966723439749175;1
10;11:33:33:703;11:33:38:070;11:33:35:882;102.9804714285713;119.53574285714261;116.37422857142867;116.16445714285699;2.0746026382413434;11.006347988631981;2.0747262699510243;0.5966723439749175;1
11;11:33:33:859;11:33:38:226;11:33:36:039;103.2343285714285;120.58524285714255;116.85537142857162;116.2650999999998;2.0746026382413434;11.19246477147876;0.5328842818921171;0.49495117484195467;0
12;11:33:34:015;11:33:38:382;11:33:36:195;106.14462857142843;119.86151428571408;116.57158571428589;116.45324285714265;9.290457954638795;6.501537771549029;0.5328810923192184;0.49495117484195467;0
