Serial_no.;time1;time2;median(time1,time2);mean(HR1);mean(HR2);mean(HR3);mean(HR4);RMSSD1;RMSSD2;RMSSD3;RMSSD4;stress/non-stress
1;11:26:02:773;11:26:07:140;11:26:04:953;73.96407142857127;74.99306428571433;68.62705714285725;61.11565714285706;0.9982945016583114;7.159552840930761;1.4178112238203207;18.642283154830228;0
2;11:26:02:929;11:26:07:296;11:26:05:109;73.81121428571406;74.30092142857148;68.46534285714289;59.20365714285703;0.9982945016583114;7.159552840930761;1.4178112238203207;18.642283154830228;0
3;11:26:03:085;11:26:07:453;11:26:05:265;73.95298571428557;73.31415000000011;68.30362857142853;57.291657142857034;2.2201514615489164;6.879441567591308;1.4178112238203207;18.642283154830228;0
4;11:26:03:242;11:26:07:609;11:26:05:421;74.11041428571419;72.31172142857157;68.14191428571424;56.91026428571421;2.2201514615489164;6.879441567591308;1.4178112238203207;27.06641447240153;0
5;11:26:03:398;11:26:07:765;11:26:05:578;74.41319999999996;71.30929285714302;67.31085714285706;57.70860714285711;1.9830483100964973;6.879441567591308;18.69612018284162;19.622845643967132;0
6;11:26:03:554;11:26:07:921;11:26:05:734;74.72348571428574;70.30686428571441;65.23714285714284;59.749607142857165;1.9830483100964973;6.879441567591308;18.69612018284162;19.622845643967132;0
7;11:26:03:710;11:26:08:078;11:26:05:890;75.03377142857148;69.32079285714298;63.14707142857138;61.79060714285719;1.9830483100964973;6.881316490009065;18.695430177920226;19.622845643967132;0
8;11:26:03:867;11:26:08:234;11:26:06:046;74.99306428571433;68.62705714285725;61.11565714285706;63.83160714285719;7.159552840930761;1.4178112238203207;18.642283154830228;19.622845643967132;0
9;11:26:04:023;11:26:08:390;11:26:06:203;74.30092142857148;68.46534285714289;59.20365714285703;65.86116428571434;7.159552840930761;1.4178112238203207;18.642283154830228;19.631564373887443;0
10;11:26:04:179;11:26:08:546;11:26:06:359;73.31415000000011;68.30362857142853;57.291657142857034;67.8265571428572;6.879441567591308;1.4178112238203207;18.642283154830228;19.631565150055195;0
11;11:26:04:335;11:26:08:703;11:26:06:515;72.31172142857157;68.14191428571424;56.91026428571421;68.2613785714287;6.879441567591308;1.4178112238203207;27.06641447240153;0.5850462151845653;0
12;11:26:04:492;11:26:08:859;11:26:06:671;71.30929285714302;67.31085714285706;57.70860714285711;68.18580714285733;6.879441567591308;18.69612018284162;19.622845643967132;0.5850462151845653;0
13;11:26:04:648;11:26:09:015;11:26:06:828;70.30686428571441;65.23714285714284;59.749607142857165;68.11023571428595;6.879441567591308;18.69612018284162;19.622845643967132;0.5850462151845653;0
14;11:26:04:804;11:26:09:171;11:26:06:984;69.32079285714298;63.14707142857138;61.79060714285719;68.03466428571453;6.881316490009065;18.695430177920226;19.622845643967132;0.5850462151845653;0
15;11:26:04:960;11:26:09:328;11:26:07:140;68.62705714285725;61.11565714285706;63.83160714285719;68.09802142857167;1.4178112238203207;18.642283154830228;19.622845643967132;1.98726210109727;0
16;11:26:05:117;11:26:09:484;11:26:07:296;68.46534285714289;59.20365714285703;65.86116428571434;68.28675000000027;1.4178112238203207;18.642283154830228;19.631564373887443;1.8992003736653644;0
17;11:26:05:273;11:26:09:640;11:26:07:453;68.30362857142853;57.291657142857034;67.8265571428572;68.53964285714306;1.4178112238203207;18.642283154830228;19.631565150055195;1.8991923505942603;0
18;11:26:05:429;11:26:09:796;11:26:07:609;68.14191428571424;56.91026428571421;68.2613785714287;68.79250000000013;1.4178112238203207;27.06641447240153;0.5850462151845653;1.8991923505942603;0
19;11:26:05:585;11:26:09:953;11:26:07:765;67.31085714285706;57.70860714285711;68.18580714285733;69.04535714285726;18.69612018284162;19.622845643967132;0.5850462151845653;1.8991923505942603;0
20;11:26:05:742;11:26:10:109;11:26:07:921;65.23714285714284;59.749607142857165;68.11023571428595;69.5342214285715;18.69612018284162;19.622845643967132;0.5850462151845653;5.007664017910053;0
21;11:26:05:898;11:26:10:265;11:26:08:078;63.14707142857138;61.79060714285719;68.03466428571453;70.46179285714295;18.695430177920226;19.622845643967132;0.5850462151845653;5.007664017910053;0
