Serial_no.;time1;time2;median(time1,time2);mean(HR1);mean(HR2);mean(HR3);mean(HR4);RMSSD1;RMSSD2;RMSSD3;RMSSD4;stress/non-stress
1;09:57:57:007;09:58:01:375;09:57:59:187;70.0;74.52220714285721;79.87280000000018;79.82053571428565;0.0;8.01062978318325;1.1556098634715695;0.5003532121171319;1
2;09:57:57:164;09:58:01:531;09:57:59:343;70.0;75.7612071428572;80.07794285714307;79.73182142857135;0.0;8.01062978318325;1.1556098634715695;0.5003532121171319;1
3;09:57:57:320;09:58:01:687;09:57:59:500;70.0;77.17443571428569;80.10885714285736;79.59246428571421;0.0;8.093552510006676;0.005607810620479174;1.2667279873331525;0
4;09:57:57:476;09:58:01:843;09:57:59:656;70.0;78.61857857142854;80.10885714285736;79.30175000000008;0.0;8.093552510006676;0.005607810620479174;1.2667279873331525;0
5;09:57:57:632;09:58:02:000;09:57:59:812;70.80520714285717;79.25751428571435;80.08653571428592;79.03335714285734;8.01062978318325;1.1555962569222973;0.5003846364706722;1.1637209532431596;0
6;09:57:57:789;09:58:02:156;09:57:59:968;72.04420714285725;79.4626571428573;79.9978214285715;78.83135714285724;8.01062978318325;1.1555962569222973;0.5003846364706722;1.1637209532431596;0
7;09:57:57:945;09:58:02:312;09:58:00:125;73.28320714285724;79.66776428571448;79.9091428571428;78.62935714285715;8.01062978318325;1.1556030602169596;0.5003689245405926;1.1637209532431596;0
8;09:57:58:101;09:58:02:468;09:58:00:281;74.52220714285721;79.87280000000018;79.82053571428565;78.74441428571423;8.01062978318325;1.1556098634715695;0.5003532121171319;2.966407554101715;0
9;09:57:58:257;09:58:02:625;09:58:00:437;75.7612071428572;80.07794285714307;79.73182142857135;79.03041428571414;8.01062978318325;1.1556098634715695;0.5003532121171319;2.966407554101715;0
10;09:57:58:414;09:58:02:781;09:58:00:593;77.17443571428569;80.10885714285736;79.59246428571421;79.36705714285698;8.093552510006676;0.005607810620479174;1.2667279873331525;2.728612709787622;0
