median(time1,time1+559);mean(AccX);var(AccX);kurtosis(AccX);EightythPercentile(AccX);mean(AccY);var(AccY);kurtosis(AccY);EightythPercentile(AccY);mean(AccZ);var(AccZ);kurtosis(AccZ);EightythPercentile(AccZ);mean(light);var(light);kurtosis(light);EightythPercentile(light);mean(speed);var(speed);kurtosis(speed);EightythPercentile(speed);mean(bearing);var(bearing);kurtosis(bearing);EightythPercentile(bearing);stressOrNonStress
09:57:59:187;-0.0436428771411;0.0820343877527;-0.26852014869126517;0.15322891;0.0199744822161;0.0139544530058;-0.2797840651605452;0.095768064;10.0091652714;0.0171789129946;4.039016566546742;10.0748005;988.919185071;1245.21163556;-1.2292912505032234;1025.8165;0.3971122;0.0;-3.0;0.3971122;0.0;0.0;-3.0;0.0;1
09:57:59:343;-0.0663535908911;0.0872875369697;-0.6999136562053105;0.15322891;0.0150834702339;0.0145196422687;-0.3267555987235484;0.095768064;10.0001357009;0.0143948292437;2.139839051180764;10.0748005;988.380786411;1268.03635526;-1.2265855696661756;1025.8165;0.3971122;0.0;-3.0;0.3971122;0.0;0.0;-3.0;0.0;1
09:57:59:500;-0.0839338721929;0.0944864853596;-1.0249413626707709;0.15322891;0.0171014403946;0.0141946158531;-0.2096165725742205;0.095768064;10.007797117;0.0129383991342;2.8956730468810807;10.0748005;986.219303643;1375.29259908;-1.0071551778225258;1025.8165;0.3971122;0.0;-3.0;0.3971122;0.0;0.0;-3.0;0.0;0
09:57:59:656;-0.0968283588964;0.0926764606738;-1.0944606431274668;0.15322891;0.0101240527875;0.0169788093194;-0.016248844595299072;0.095768064;10.0071130563;0.0123654160367;3.3433588933052674;10.0748005;985.211193393;1437.56607522;-0.9305456515943544;1021.7743;0.3971122;0.0;-3.0;0.3971122;0.0;0.0;-3.0;0.0;0
09:57:59:812;-0.111432989325;0.0925298062909;-1.1981783039841856;0.15322891;-0.00318086778929;0.0221685889638;0.482617319456768;0.095768064;10.0049240714;0.0123774333635;3.360217691994017;10.0748005;982.701455464;1596.11685978;-1.022394340705731;1021.7743;0.3971122;0.0;-3.0;0.3971122;0.0;0.0;-3.0;0.0;0
09:57:59:968;-0.1313048634;0.094248721639;-1.3386037801166994;0.15322891;-0.0146730358946;0.0248393363801;0.29227871629845037;0.095768064;10.0081391277;0.0128413035355;2.921428486077092;10.0748005;979.703126107;1625.74218544;-1.0134913959037293;1021.7743;0.3971122;0.0;-3.0;0.3971122;0.0;0.0;-3.0;0.0;0
09:58:00:125;-0.158017314257;0.098927322651;-1.4514166272656612;0.15322891;-0.0334846206339;0.0351803217792;1.5682638103701763;0.095768064;10.0081733312;0.0131832442851;2.6958831328909323;10.0748005;979.306803696;1632.87209109;-1.009211002292349;1021.7743;0.3971122;0.0;-3.0;0.3971122;0.0;0.0;-3.0;0.0;0
09:58:00:281;-0.182574983654;0.101663333088;-1.5208603400181817;0.15322891;-0.0427536013804;0.0419687703449;1.8823947881090275;0.095768064;10.010635942;0.0132026729667;2.6548260253899825;10.0748005;978.62793075;1626.73238669;-0.9771332427519281;1021.7743;0.3971122;0.0;-3.0;0.3971122;0.0;0.0;-3.0;0.0;0
09:58:00:437;-0.175152958193;0.10745571506;-1.5590028770941153;0.15322891;-0.0419327323982;0.0418443746091;1.931337866244192;0.095768064;10.0088916009;0.0133734297439;2.58924138164922;10.0748005;975.053333607;1837.91114362;-0.8063060695326816;1017.74805;0.3971122;0.0;-3.0;0.3971122;0.0;0.0;-3.0;0.0;0
09:58:00:593;-0.165507745604;0.114438893996;-1.5056888042214374;0.19153613;-0.0502440327232;0.0433311849742;1.4748127501745385;0.095768064;10.0150139045;0.014517041266;1.921726902289345;10.0748005;974.789887857;1871.40114639;-0.7982661639671562;1017.74805;0.3971122;0.0;-3.0;0.3971122;0.0;0.0;-3.0;0.0;0
