TripNo.;Intertrip_Time;Trip_Time;Trip_Distance
1;00:00:00:0000;0:3:13:649;1.29492568439
2;0:0:0:8;-1:25:46:62;19.0296488421
3;0:0:0:8;0:0:36:0;0.123748208517
4;0:0:0:8;0:3:43:250;1.71810110299
