ECG;SCR;Temp;HR;HRV_LF
1931.766;3.836;34.466;79.385;87.788
1962.963;3.836;34.464;79.385;87.788
1985.634;3.836;34.464;79.385;87.788
2011.786;3.836;34.467;79.385;87.788
1991.521;3.836;34.467;79.385;87.788
1946.057;3.836;34.466;79.385;87.788
1896.195;3.836;34.464;79.385;87.704
1832.482;3.835;34.466;79.385;87.704
1773.691;3.836;34.46;79.385;87.704
1724.746;3.835;34.462;79.385;87.704
1690.776;3.835;34.458;79.385;87.704
1673.907;3.835;34.461;79.385;87.704
1671.354;3.835;34.461;79.385;87.704
1663.561;3.835;34.463;79.385;87.704
1659.457;3.835;34.46;79.385;87.704
1667.14;3.835;34.465;79.385;87.704
1659.567;3.835;34.462;79.385;87.704
1677.168;3.835;34.466;79.385;87.704
1675.092;3.835;34.461;79.385;87.704
1665.931;3.835;34.466;79.385;87.704
1669.302;3.835;34.462;79.385;87.704
1657.636;3.834;34.466;79.385;87.704
1656.012;3.834;34.465;79.385;87.704
1641.183;3.834;34.469;79.385;87.704
1634.281;3.834;34.463;79.385;87.704
1622.005;3.834;34.468;79.385;87.704
1623.215;3.834;34.46;79.385;87.704
1609.07;3.834;34.461;79.385;87.704
1611.769;3.834;34.463;79.385;87.704
1606.578;3.834;34.469;79.385;87.704
1603.231;3.834;34.464;79.385;87.704
1596.879;3.834;34.463;79.385;87.704
1593.569;3.834;34.463;79.385;87.704
1591.761;3.833;34.464;79.385;87.704
1601.704;3.834;34.462;79.385;87.704
1592.946;3.834;34.468;79.385;87.704
1583.504;3.833;34.464;79.385;87.704
1584.359;3.833;34.468;79.385;87.704
1580.242;3.833;34.462;79.385;87.588
1585.947;3.833;34.468;79.385;87.588
1584.139;3.833;34.464;79.385;87.588
1582.759;3.833;34.466;79.385;87.588
1603.585;3.833;34.463;79.385;87.588
1639.558;3.833;34.468;79.385;87.588
1684.998;3.833;34.465;79.385;87.588
1707.327;3.833;34.469;79.385;87.588
1711.712;3.833;34.463;79.385;87.588
1722.608;3.833;34.468;79.385;87.588
1740.039;3.833;34.459;79.385;87.588
1738.17;3.832;34.467;79.385;87.588
1735.043;3.832;34.462;79.385;87.588
1727.445;3.832;34.466;79.385;87.588
1678.488;3.832;34.465;79.385;87.588
1650.479;3.832;34.467;79.385;87.588
1575.21;3.832;34.461;79.385;87.588
1552.893;3.832;34.468;79.385;87.588
1512.18;3.832;34.464;79.385;87.588
1489.851;3.832;34.467;79.385;87.588
1494.224;3.832;34.467;79.385;87.588
1488.899;3.831;34.467;79.385;87.588
1486.431;3.832;34.463;79.385;87.588
1492.16;3.832;34.466;79.385;87.588
1486.065;3.832;34.467;79.385;87.588
1427.188;3.832;34.47;79.385;87.588
1519.302;3.832;34.47;79.385;87.588
1774.192;3.831;34.467;79.385;87.588
2278.305;3.831;34.466;78.668;87.588
2620.997;3.831;34.467;78.668;87.588
2539.449;3.831;34.467;78.668;87.588
1294.216;3.831;34.469;78.668;87.588
909.859;3.831;34.47;78.673;87.441
1038.519;3.831;34.466;78.673;87.441
1299.847;3.831;34.467;78.673;87.441
1459.68;3.831;34.467;78.673;87.441
1539.09;3.831;34.465;78.673;87.441
1553.101;3.831;34.467;78.673;87.441
1575.307;3.831;34.466;78.673;87.441
1586.154;3.831;34.463;78.673;87.441
1589.257;3.831;34.469;78.673;87.441
1599.188;3.83;34.466;78.673;87.441
1608.544;3.83;34.467;78.673;87.441
1621.847;3.83;34.466;78.673;87.441
1626.268;3.83;34.466;78.673;87.441
1632.669;3.83;34.469;78.673;87.441
1642.27;3.83;34.466;78.673;87.441
