((time1+time2)*0.5);mean(AccX);var(AccX);kurtosis(AccX);EightythPercentile(AccX);mean(AccY);var(AccY);kurtosis(AccY);EightythPercentile(AccY);mean(AccZ);var(AccZ);kurtosis(AccZ);EightythPercentile(AccZ);mean(light);var(light);kurtosis(light);EightythPercentile(light);mean(speed);var(speed);kurtosis(speed);EightythPercentile(speed);mean(bearing);var(bearing);kurtosis(bearing);EightythPercentile(bearing)
11.0:34.0:46.0:370.5;-0.0429246154554;0.164099802733;-0.6834120889114197;0.36391866;-0.794532932411;0.0475424389031;-0.1897106031960929;-0.628238512;9.97554389464;0.135500918513;0.6583844711315914;10.228029;908.046988232;3122.7863841;0.23621018164974794;955.44763;21.4351995286;1.71412982854;-0.3446663149693898;22.26364;250.2293165;2.86036229837;-0.4960229748570617;252.5984
11.0:34.0:46.0:526.5;-0.0397095445446;0.168890968939;-0.7319466982437346;0.36391866;-0.804622781446;0.044938469435;0.06143547895224799;-0.6512229;9.983718375;0.136424663179;0.561453067606017;10.228029;904.826342357;2558.28809232;0.12677917199955857;951.6827;21.5452776357;1.51294181528;0.3967081888366275;22.26364;250.020284714;3.0496805502;-0.5336721920068577;250.95164
11.0:34.0:46.0:683.5;-0.0434718616696;0.174255186935;-0.7786754334191146;0.36391866;-0.798534669214;0.0437583567171;0.16235643608709172;-0.6512229;9.98296590536;0.135979110626;0.5749637881680352;10.247183;904.457338536;2572.26617731;0.11649221439866864;951.6827;21.6553557429;1.28751942267;1.502585159106328;22.26364;249.811252929;3.15161022715;-0.5981793620942031;250.95164
11.0:34.0:46.5:339.5;-0.0373495461875;0.171023087582;-0.7522941455997767;0.36391866;-0.80072365475;0.0443677577863;0.09319198226242831;-0.6512229;9.97615954821;0.142807966691;0.6977937232467992;10.247183;901.688637464;2557.69636975;0.22335653363360297;944.1978;21.76543385;1.03786265072;3.2854652347766793;22.26364;249.602221143;3.16615132922;-0.6655488816807376;250.95164
11.0:34.0:46.5:495.5;-0.0186063677732;0.157628042048;-0.6906101589977958;0.36391866;-0.797987424036;0.0425972790939;0.17615529874337765;-0.6512229;9.9355949625;0.17107355859;0.5823737321183322;10.247183;899.517942804;2510.08355819;0.41082275735313933;936.77185;21.8761756714;0.764353939814;6.56940173232031;22.26364;249.393485071;3.09175009832;-0.7428165548571486;250.95164
11.0:34.0:46.5:651.5;-0.0115947767554;0.155026107731;-0.6466658834638213;0.36391866;-0.793814671857;0.0399251365286;0.2939445731036501;-0.6512229;9.90877991786;0.187302198829;0.3989121696050417;10.228029;898.805581018;2515.84055456;0.42087784120969385;936.77185;21.98957235;0.467250670644;14.452868623427605;22.26364;249.185931857;2.92448440097;-0.8683459394572299;250.95164
11.0:34.0:47.0:308.5;-0.0137153557554;0.156553868455;-0.6676704517731791;0.36391866;-0.800450031857;0.0407415797403;0.24824178557992793;-0.6512229;9.91876716071;0.200866728009;0.3126237514120054;10.228029;899.196193518;2522.94224261;0.38130840596578697;936.77185;22.1029690286;0.144429788051;57.65759165309982;22.26364;248.978378643;2.67106203011;-1.1482351610835004;250.95164
11.0:34.0:47.0:464.5;-0.0308509992375;0.177292829945;-0.4326018969812093;0.36391866;-0.793506846857;0.0417337991534;0.08587429140536962;-0.63206923;9.93422688214;0.208181381518;0.07480132556313412;10.28549;901.361794054;2573.38888627;0.19147826427470305;936.77185;22.1526534214;0.00774567245274;-0.9478363255378648;22.26364;248.806113143;2.54226008233;-1.4033825560559123;249.995
11.0:34.0:47.0:620.5;-0.0246944802732;0.177681964384;-0.4661222171967254;0.36391866;-0.800142205536;0.0395696520208;0.37122644113102954;-0.6895301;9.93484252143;0.20904982421;0.05770564014651258;10.28549;905.737626286;2908.62680474;-0.17724533215378724;951.6827;22.1598629571;0.00707112393338;-0.7048805707312047;22.26364;248.657372786;2.50134695411;-1.4518530445970395;249.75584
11.0:34.0:47.0:776.5;-0.00783246025536;0.170507357511;-0.370275109298555;0.36391866;-0.805683071893;0.0386878990806;0.5677376737683173;-0.6895301;9.9303961375;0.210946999923;0.029063698727145315;10.28549;910.235769232;3006.4316662;-0.024951709017398294;951.6827;22.1670724929;0.00629262060359;-0.3890458113643471;22.26364;248.508632429;2.4161864382;-1.4714791309498316;249.75584
