Time_Biotrace;Time_Accel;AccelX;AccelY;AccelZ
10:12:32:742;11:12:32:642;0.32561144;9.883265;-0.93852705
10:12:32:750;11:12:32:745;-0.22984336;10.247183;-0.78529817
10:12:32:757;11:12:32:745;-0.22984336;10.247183;-0.78529817
10:12:32:765;11:12:32:745;-0.22984336;10.247183;-0.78529817
10:12:32:773;11:12:32:745;-0.22984336;10.247183;-0.78529817
10:12:32:781;11:12:32:745;-0.22984336;10.247183;-0.78529817
10:12:32:789;11:12:32:745;-0.22984336;10.247183;-0.78529817
10:12:32:796;11:12:32:745;-0.22984336;10.247183;-0.78529817
10:12:32:804;11:12:32:745;-0.22984336;10.247183;-0.78529817
10:12:32:812;11:12:32:745;-0.22984336;10.247183;-0.78529817
10:12:32:820;11:12:32:745;-0.22984336;10.247183;-0.78529817
10:12:32:828;11:12:32:745;-0.22984336;10.247183;-0.78529817
10:12:32:835;11:12:32:745;-0.22984336;10.247183;-0.78529817
10:12:32:843;11:12:32:745;-0.22984336;10.247183;-0.78529817
10:12:32:851;11:12:32:745;-0.22984336;10.247183;-0.78529817
10:12:32:859;11:12:32:745;-0.22984336;10.247183;-0.78529817
10:12:32:867;11:12:32:862;0.095768064;10.0748005;-0.47884035
10:12:32:875;11:12:32:862;0.095768064;10.0748005;-0.47884035
10:12:32:882;11:12:32:862;0.095768064;10.0748005;-0.47884035
10:12:32:890;11:12:32:862;0.095768064;10.0748005;-0.47884035
10:12:32:898;11:12:32:862;0.095768064;10.0748005;-0.47884035
10:12:32:906;11:12:32:862;0.095768064;10.0748005;-0.47884035
10:12:32:914;11:12:32:862;0.095768064;10.0748005;-0.47884035
10:12:32:921;11:12:32:862;0.095768064;10.0748005;-0.47884035
10:12:32:929;11:12:32:862;0.095768064;10.0748005;-0.47884035
10:12:32:937;11:12:32:862;0.095768064;10.0748005;-0.47884035
10:12:32:945;11:12:32:862;0.095768064;10.0748005;-0.47884035
10:12:32:953;11:12:32:862;0.095768064;10.0748005;-0.47884035
10:12:32:960;11:12:32:862;0.095768064;10.0748005;-0.47884035
10:12:32:968;11:12:32:862;0.095768064;10.0748005;-0.47884035
10:12:32:976;11:12:32:862;0.095768064;10.0748005;-0.47884035
10:12:32:984;11:12:32:980;-0.095768064;9.768343;-0.9768343
10:12:32:992;11:12:32:980;-0.095768064;9.768343;-0.9768343
10:12:33:000;11:12:32:980;-0.095768064;9.768343;-0.9768343
10:12:33:007;11:12:32:980;-0.095768064;9.768343;-0.9768343
10:12:33:015;11:12:32:980;-0.095768064;9.768343;-0.9768343
10:12:33:023;11:12:32:980;-0.095768064;9.768343;-0.9768343
10:12:33:031;11:12:32:980;-0.095768064;9.768343;-0.9768343
10:12:33:039;11:12:32:980;-0.095768064;9.768343;-0.9768343
10:12:33:046;11:12:32:980;-0.095768064;9.768343;-0.9768343
10:12:33:054;11:12:32:980;-0.095768064;9.768343;-0.9768343
10:12:33:062;11:12:32:980;-0.095768064;9.768343;-0.9768343
10:12:33:070;11:12:32:980;-0.095768064;9.768343;-0.9768343
10:12:33:078;11:12:32:980;-0.095768064;9.768343;-0.9768343
10:12:33:085;11:12:32:980;-0.095768064;9.768343;-0.9768343
10:12:33:093;11:12:32:980;-0.095768064;9.768343;-0.9768343
10:12:33:101;11:12:33:098;0.019153614;9.710882;-0.78529817
10:12:33:109;11:12:33:098;0.019153614;9.710882;-0.78529817
10:12:33:117;11:12:33:098;0.019153614;9.710882;-0.78529817
10:12:33:125;11:12:33:098;0.019153614;9.710882;-0.78529817
10:12:33:132;11:12:33:098;0.019153614;9.710882;-0.78529817
10:12:33:140;11:12:33:098;0.019153614;9.710882;-0.78529817
10:12:33:148;11:12:33:098;0.019153614;9.710882;-0.78529817
10:12:33:156;11:12:33:098;0.019153614;9.710882;-0.78529817
10:12:33:164;11:12:33:098;0.019153614;9.710882;-0.78529817
10:12:33:171;11:12:33:098;0.019153614;9.710882;-0.78529817
10:12:33:179;11:12:33:098;0.019153614;9.710882;-0.78529817
10:12:33:187;11:12:33:098;0.019153614;9.710882;-0.78529817
10:12:33:195;11:12:33:098;0.019153614;9.710882;-0.78529817
10:12:33:203;11:12:33:098;0.019153614;9.710882;-0.78529817
10:12:33:210;11:12:33:098;0.019153614;9.710882;-0.78529817
10:12:33:218;11:12:33:217;0.038307227;10.266336;-1.3790601
10:12:33:226;11:12:33:217;0.038307227;10.266336;-1.3790601
10:12:33:234;11:12:33:217;0.038307227;10.266336;-1.3790601
10:12:33:242;11:12:33:217;0.038307227;10.266336;-1.3790601
10:12:33:250;11:12:33:217;0.038307227;10.266336;-1.3790601
10:12:33:257;11:12:33:217;0.038307227;10.266336;-1.3790601
10:12:33:265;11:12:33:217;0.038307227;10.266336;-1.3790601
10:12:33:273;11:12:33:217;0.038307227;10.266336;-1.3790601
10:12:33:281;11:12:33:217;0.038307227;10.266336;-1.3790601
10:12:33:289;11:12:33:217;0.038307227;10.266336;-1.3790601
10:12:33:296;11:12:33:217;0.038307227;10.266336;-1.3790601
10:12:33:304;11:12:33:217;0.038307227;10.266336;-1.3790601
10:12:33:312;11:12:33:217;0.038307227;10.266336;-1.3790601
10:12:33:320;11:12:33:319;-0.19153613;9.787497;-0.22984336
10:12:33:328;11:12:33:319;-0.19153613;9.787497;-0.22984336
10:12:33:335;11:12:33:319;-0.19153613;9.787497;-0.22984336
10:12:33:343;11:12:33:319;-0.19153613;9.787497;-0.22984336
10:12:33:351;11:12:33:319;-0.19153613;9.787497;-0.22984336
10:12:33:359;11:12:33:319;-0.19153613;9.787497;-0.22984336
10:12:33:367;11:12:33:319;-0.19153613;9.787497;-0.22984336
10:12:33:375;11:12:33:319;-0.19153613;9.787497;-0.22984336
10:12:33:382;11:12:33:319;-0.19153613;9.787497;-0.22984336
10:12:33:390;11:12:33:319;-0.19153613;9.787497;-0.22984336
10:12:33:398;11:12:33:319;-0.19153613;9.787497;-0.22984336
10:12:33:406;11:12:33:319;-0.19153613;9.787497;-0.22984336
10:12:33:414;11:12:33:319;-0.19153613;9.787497;-0.22984336
10:12:33:421;11:12:33:319;-0.19153613;9.787497;-0.22984336
10:12:33:429;11:12:33:319;-0.19153613;9.787497;-0.22984336
10:12:33:437;11:12:33:435;0.095768064;9.80665;-0.7661445
10:12:33:445;11:12:33:435;0.095768064;9.80665;-0.7661445
10:12:33:453;11:12:33:435;0.095768064;9.80665;-0.7661445
10:12:33:460;11:12:33:435;0.095768064;9.80665;-0.7661445
10:12:33:468;11:12:33:435;0.095768064;9.80665;-0.7661445
10:12:33:476;11:12:33:435;0.095768064;9.80665;-0.7661445
10:12:33:484;11:12:33:435;0.095768064;9.80665;-0.7661445
10:12:33:492;11:12:33:435;0.095768064;9.80665;-0.7661445
10:12:33:500;11:12:33:435;0.095768064;9.80665;-0.7661445
10:12:33:507;11:12:33:435;0.095768064;9.80665;-0.7661445
10:12:33:515;11:12:33:435;0.095768064;9.80665;-0.7661445
10:12:33:523;11:12:33:435;0.095768064;9.80665;-0.7661445
10:12:33:531;11:12:33:435;0.095768064;9.80665;-0.7661445
10:12:33:539;11:12:33:538;-0.2873042;10.247183;-1.1300632
10:12:33:546;11:12:33:538;-0.2873042;10.247183;-1.1300632
10:12:33:554;11:12:33:538;-0.2873042;10.247183;-1.1300632
10:12:33:562;11:12:33:538;-0.2873042;10.247183;-1.1300632
10:12:33:570;11:12:33:538;-0.2873042;10.247183;-1.1300632
10:12:33:578;11:12:33:538;-0.2873042;10.247183;-1.1300632
10:12:33:585;11:12:33:538;-0.2873042;10.247183;-1.1300632
10:12:33:593;11:12:33:538;-0.2873042;10.247183;-1.1300632
10:12:33:601;11:12:33:538;-0.2873042;10.247183;-1.1300632
10:12:33:609;11:12:33:538;-0.2873042;10.247183;-1.1300632
10:12:33:617;11:12:33:538;-0.2873042;10.247183;-1.1300632
10:12:33:625;11:12:33:538;-0.2873042;10.247183;-1.1300632
10:12:33:632;11:12:33:538;-0.2873042;10.247183;-1.1300632
10:12:33:640;11:12:33:640;0.22984336;10.649409;-0.842759
10:12:33:648;11:12:33:640;0.22984336;10.649409;-0.842759
10:12:33:656;11:12:33:640;0.22984336;10.649409;-0.842759
10:12:33:664;11:12:33:640;0.22984336;10.649409;-0.842759
10:12:33:671;11:12:33:640;0.22984336;10.649409;-0.842759
10:12:33:679;11:12:33:640;0.22984336;10.649409;-0.842759
10:12:33:687;11:12:33:640;0.22984336;10.649409;-0.842759
10:12:33:695;11:12:33:640;0.22984336;10.649409;-0.842759
10:12:33:703;11:12:33:640;0.22984336;10.649409;-0.842759
10:12:33:710;11:12:33:640;0.22984336;10.649409;-0.842759
10:12:33:718;11:12:33:640;0.22984336;10.649409;-0.842759
10:12:33:726;11:12:33:640;0.22984336;10.649409;-0.842759
10:12:33:734;11:12:33:640;0.22984336;10.649409;-0.842759
10:12:33:742;11:12:33:640;0.22984336;10.649409;-0.842759
10:12:33:750;11:12:33:743;-0.05746084;10.477027;-1.8004397
10:12:33:757;11:12:33:743;-0.05746084;10.477027;-1.8004397
10:12:33:765;11:12:33:743;-0.05746084;10.477027;-1.8004397
10:12:33:773;11:12:33:743;-0.05746084;10.477027;-1.8004397
10:12:33:781;11:12:33:743;-0.05746084;10.477027;-1.8004397
10:12:33:789;11:12:33:743;-0.05746084;10.477027;-1.8004397
10:12:33:796;11:12:33:743;-0.05746084;10.477027;-1.8004397
10:12:33:804;11:12:33:743;-0.05746084;10.477027;-1.8004397
