Time_Biotrace;Time_GPS;Latitude_GPS;Longitude_GPS;Accuracy_GPS;Altitude_GPS;Speed_GPS;Bearing_GPS
10:12:32:742;11:12:32:740;48.73705279;9.11652549;35;479;9.261795;332.54294
10:12:32:750;11:12:32:740;48.73705279;9.11652549;35;479;9.261795;332.54294
10:12:32:757;11:12:32:740;48.73705279;9.11652549;35;479;9.261795;332.54294
10:12:32:765;11:12:32:740;48.73705279;9.11652549;35;479;9.261795;332.54294
10:12:32:773;11:12:32:740;48.73705279;9.11652549;35;479;9.261795;332.54294
10:12:32:781;11:12:32:740;48.73705279;9.11652549;35;479;9.261795;332.54294
10:12:32:789;11:12:32:740;48.73705279;9.11652549;35;479;9.261795;332.54294
10:12:32:796;11:12:32:740;48.73705279;9.11652549;35;479;9.261795;332.54294
10:12:32:804;11:12:32:740;48.73705279;9.11652549;35;479;9.261795;332.54294
10:12:32:812;11:12:32:740;48.73705279;9.11652549;35;479;9.261795;332.54294
10:12:32:820;11:12:32:740;48.73705279;9.11652549;35;479;9.261795;332.54294
10:12:32:828;11:12:32:740;48.73705279;9.11652549;35;479;9.261795;332.54294
10:12:32:835;11:12:32:740;48.73705279;9.11652549;35;479;9.261795;332.54294
10:12:32:843;11:12:32:740;48.73705279;9.11652549;35;479;9.261795;332.54294
10:12:32:851;11:12:32:740;48.73705279;9.11652549;35;479;9.261795;332.54294
10:12:32:859;11:12:32:740;48.73705279;9.11652549;35;479;9.261795;332.54294
10:12:32:867;11:12:32:740;48.73705279;9.11652549;35;479;9.261795;332.54294
10:12:32:875;11:12:32:740;48.73705279;9.11652549;35;479;9.261795;332.54294
10:12:32:882;11:12:32:740;48.73705279;9.11652549;35;479;9.261795;332.54294
10:12:32:890;11:12:32:740;48.73705279;9.11652549;35;479;9.261795;332.54294
10:12:32:898;11:12:32:740;48.73705279;9.11652549;35;479;9.261795;332.54294
10:12:32:906;11:12:32:740;48.73705279;9.11652549;35;479;9.261795;332.54294
