Serial_no.;time1;time2;(time1+time2)/2;mean(HR1);mean(HR2);mean(HR3);mean(HR4);RMSSD1;RMSSD2;RMSSD3;RMSSD4;stress/non-stress
1;11:29:19:007;11:29:23:375;11:29:21:191;70.0;79.6131285714;84.8334285714;78.48;0.0;9.29829196249;0.907490765457;19.8802044788;0
2;11:29:19:164;11:29:23:531;11:29:21:347;70.3350357143;81.2858071429;85.0168571429;75.432;8.59087899715;3.55739110532;0.907490765457;19.8802044788;0
3;11:29:19:320;11:29:23:687;11:29:21:503;71.67575;81.9528071429;85.2002857143;73.5108214286;8.59087899715;3.55739110532;0.907490765457;32.9323667897;0
4;11:29:19:476;11:29:23:843;11:29:21:659;73.0164642857;82.6655214286;85.338;74.9706785714;8.59087899715;3.67131733382;0.0;32.9323667897;0
5;11:29:19:632;11:29:24:000;11:29:21:316;74.3571785714;83.51595;85.338;80.5929714286;8.59087899715;3.67131733382;0.0;39.335384751;0
6;11:29:19:789;11:29:24:156;11:29:21:472;75.6978928571;84.3663785714;84.576;92.0646857143;8.59087899715;3.67131733382;19.8802044788;33.9418615192;0
7;11:29:19:945;11:29:24:312;11:29:21:628;77.6054142857;84.65;81.528;105.8224;9.29829196249;0.907490765457;19.8802044788;33.9418615192;0
8;11:29:20:101;11:29:24:468;11:29:22:284;79.6131285714;84.8334285714;78.48;117.435464286;9.29829196249;0.907490765457;19.8802044788;34.9523949729;0
9;11:29:20:257;11:29:24:625;11:29:22:441;81.2858071429;85.0168571429;75.432;126.427607143;3.55739110532;0.907490765457;19.8802044788;34.9523949729;0
10;11:29:20:414;11:29:24:781;11:29:22:597;81.9528071429;85.2002857143;73.5108214286;134.292928571;3.55739110532;0.907490765457;32.9323667897;23.0727471726;1
11;11:29:20:570;11:29:24:937;11:29:22:753;82.6655214286;85.338;74.9706785714;138.777214286;3.67131733382;0.0;32.9323667897;23.0727471726;1
12;11:29:20:726;11:29:25:093;11:29:22:409;83.51595;85.338;80.5929714286;138.438528571;3.67131733382;0.0;39.335384751;10.7869653608;1
