Serial_no.;time1;time2;median(time1,time2);mean(HR1);mean(HR2);mean(HR3);mean(HR4);RMSSD1;RMSSD2;RMSSD3;RMSSD4;stress/non-stress
1;17:19:06:007;17:19:10:375;17:19:08:187;70.0;75.76442142857157;75.28682142857156;73.60708571428562;0.0;5.706725201451224;2.0755750258218315;0.6669525396664767;1
2;17:19:06:164;17:19:10:531;17:19:08:343;70.55244999999994;76.129542857143;74.95753571428591;73.45285714285704;5.692013750944522;0.40950211713369483;2.0755750258218315;0.7876478601968978;0
3;17:19:06:320;17:19:10:687;17:19:08:500;71.40259285714271;76.19697142857153;74.62315714285737;73.29452142857139;5.692013750944522;0.40950211713369483;2.18009519975151;0.4190295449111796;0
4;17:19:06:476;17:19:10:843;17:19:08:656;72.25273571428556;76.26440000000008;74.19262142857158;73.23234285714287;5.692013750944522;0.40950211713369483;2.180100313743122;0.41900293734673116;0
5;17:19:06:632;17:19:11:000;17:19:08:812;73.1028785714284;76.18350714285714;73.91051428571434;73.1700571428572;5.692013750944522;2.115585893258006;0.6669525396664767;0.41900293734673116;0
6;17:19:06:789;17:19:11:156;17:19:08:968;73.95302142857125;75.92164999999994;73.80937142857141;73.10777142857152;5.692013750944522;2.115585893258006;0.6669525396664767;0.41900293734673116;0
7;17:19:06:945;17:19:11:312;17:19:09:125;74.84684999999993;75.61610714285717;73.70822857142848;73.15157142857156;5.706725201451224;2.0755750258218315;0.6669525396664767;1.1507797393916757;0
8;17:19:07:101;17:19:11:468;17:19:09:281;75.76442142857157;75.28682142857156;73.60708571428562;73.25271428571446;5.706725201451224;2.0755750258218315;0.6669525396664767;1.1507797393916757;0
9;17:19:07:257;17:19:11:625;17:19:09:437;76.129542857143;74.95753571428591;73.45285714285704;73.40694285714306;0.40950211713369483;2.0755750258218315;0.7876478601968978;1.0717884805730953;0
10;17:19:07:414;17:19:11:781;17:19:09:593;76.19697142857153;74.62315714285737;73.29452142857139;73.57037142857166;0.40950211713369483;2.18009519975151;0.4190295449111796;1.0717884805730953;0
11;17:19:07:570;17:19:11:937;17:19:09:750;76.26440000000008;74.19262142857158;73.23234285714287;73.73380000000024;0.40950211713369483;2.180100313743122;0.41900293734673116;1.0717884805730953;0
12;17:19:07:726;17:19:12:093;17:19:09:906;76.18350714285714;73.91051428571434;73.1700571428572;74.12876428571442;2.115585893258006;0.6669525396664767;0.41900293734673116;2.4757733506121347;0
13;17:19:07:882;17:19:12:250;17:19:10:062;75.92164999999994;73.80937142857141;73.10777142857152;74.64862142857143;2.115585893258006;0.6669525396664767;0.41900293734673116;2.4757733506121347;0
14;17:19:08:039;17:19:12:406;17:19:10:218;75.61610714285717;73.70822857142848;73.15157142857156;75.06239285714284;2.0755750258218315;0.6669525396664767;1.1507797393916757;2.231753377170527;0
15;17:19:08:195;17:19:12:562;17:19:10:375;75.28682142857156;73.60708571428562;73.25271428571446;75.41882142857139;2.0755750258218315;0.6669525396664767;1.1507797393916757;2.231753377170527;0
16;17:19:08:351;17:19:12:718;17:19:10:531;74.95753571428591;73.45285714285704;73.40694285714306;75.80774285714281;2.0755750258218315;0.7876478601968978;1.0717884805730953;4.3407590209188855;0
17;17:19:08:507;17:19:12:875;17:19:10:687;74.62315714285737;73.29452142857139;73.57037142857166;76.81463571428569;2.18009519975151;0.4190295449111796;1.0717884805730953;4.3407607394898955;0
18;17:19:08:664;17:19:13:031;17:19:10:843;74.19262142857158;73.23234285714287;73.73380000000024;77.82163571428566;2.180100313743122;0.41900293734673116;1.0717884805730953;4.3407607394898955;0
19;17:19:08:820;17:19:13:187;17:19:11:000;73.91051428571434;73.1700571428572;74.12876428571442;78.59709999999995;0.6669525396664767;0.41900293734673116;2.4757733506121347;3.723100946923788;0
20;17:19:08:976;17:19:13:343;17:19:11:156;73.80937142857141;73.10777142857152;74.64862142857143;79.2476714285714;0.6669525396664767;0.41900293734673116;2.4757733506121347;3.723100946923788;0
21;17:19:09:132;17:19:13:500;17:19:11:312;73.70822857142848;73.15157142857156;75.06239285714284;79.87469999999998;0.6669525396664767;1.1507797393916757;2.231753377170527;4.572131029934673;0
22;17:19:09:289;17:19:13:656;17:19:11:468;73.60708571428562;73.25271428571446;75.41882142857139;80.0550214285715;0.6669525396664767;1.1507797393916757;2.231753377170527;4.5721329553311705;0
23;17:19:09:445;17:19:13:812;17:19:11:625;73.45285714285704;73.40694285714306;75.80774285714281;80.2029571428573;0.7876478601968978;1.0717884805730953;4.3407590209188855;2.6538526748952584;1
24;17:19:09:601;17:19:13:968;17:19:11:781;73.29452142857139;73.57037142857166;76.81463571428569;79.73292142857156;0.4190295449111796;1.0717884805730953;4.3407607394898955;2.6538498639223236;1
25;17:19:09:757;17:19:14:125;17:19:11:937;73.23234285714287;73.73380000000024;77.82163571428566;79.26277857142868;0.41900293734673116;1.0717884805730953;4.3407607394898955;2.6538498639223236;1
26;17:19:09:914;17:19:14:281;17:19:12:093;73.1700571428572;74.12876428571442;78.59709999999995;78.7842642857144;0.41900293734673116;2.4757733506121347;3.723100946923788;2.835476918844547;1
27;17:19:10:070;17:19:14:437;17:19:12:250;73.10777142857152;74.64862142857143;79.2476714285714;78.14730000000021;0.41900293734673116;2.4757733506121347;3.723100946923788;2.8354802167839943;1
28;17:19:10:226;17:19:14:593;17:19:12:406;73.15157142857156;75.06239285714284;79.87469999999998;77.53398571428599;1.1507797393916757;2.231753377170527;4.572131029934673;0.9985221909736012;1
29;17:19:10:382;17:19:14:750;17:19:12:562;73.25271428571446;75.41882142857139;80.0550214285715;77.36737857142879;1.1507797393916757;2.231753377170527;4.5721329553311705;0.998513374739103;1
30;17:19:10:539;17:19:14:906;17:19:12:718;73.40694285714306;75.80774285714281;80.2029571428573;77.20066428571445;1.0717884805730953;4.3407590209188855;2.6538526748952584;0.998513374739103;1
31;17:19:10:695;17:19:15:062;17:19:12:875;73.57037142857166;76.81463571428569;79.73292142857156;77.03395000000012;1.0717884805730953;4.3407607394898955;2.6538498639223236;0.998513374739103;0
32;17:19:10:851;17:19:15:218;17:19:13:031;73.73380000000024;77.82163571428566;79.26277857142868;76.70717142857143;1.0717884805730953;4.3407607394898955;2.6538498639223236;1.5331569238707337;0
33;17:19:11:007;17:19:15:375;17:19:13:187;74.12876428571442;78.59709999999995;78.7842642857144;76.3606857142856;2.4757733506121347;3.723100946923788;2.835476918844547;1.163425930669048;0
34;17:19:11:164;17:19:15:531;17:19:13:343;74.64862142857143;79.2476714285714;78.14730000000021;76.17264999999988;2.4757733506121347;3.723100946923788;2.8354802167839943;1.1634178929687722;0
35;17:19:11:320;17:19:15:687;17:19:13:500;75.06239285714284;79.87469999999998;77.53398571428599;75.98450714285701;2.231753377170527;4.572131029934673;0.9985221909736012;1.1634178929687722;0
36;17:19:11:476;17:19:15:843;17:19:13:656;75.41882142857139;80.0550214285715;77.36737857142879;75.79636428571416;2.231753377170527;4.5721329553311705;0.998513374739103;1.1634178929687722;0
37;17:19:11:632;17:19:16:000;17:19:13:812;75.80774285714281;80.2029571428573;77.20066428571445;75.5190714285713;4.3407590209188855;2.6538526748952584;0.998513374739103;1.3412131988604783;0
38;17:19:11:789;17:19:16:156;17:19:13:968;76.81463571428569;79.73292142857156;77.03395000000012;75.22621428571414;4.3407607394898955;2.6538498639223236;0.998513374739103;1.3412131988604783;0
39;17:19:11:945;17:19:16:312;17:19:14:125;77.82163571428566;79.26277857142868;76.70717142857143;75.09342142857125;4.3407607394898955;2.6538498639223236;1.5331569238707337;0.6673167547107292;0
40;17:19:12:101;17:19:16:468;17:19:14:281;78.59709999999995;78.7842642857144;76.3606857142856;74.98870714285694;3.723100946923788;2.835476918844547;1.163425930669048;0.6673167547107292;0
41;17:19:12:257;17:19:16:625;17:19:14:437;79.2476714285714;78.14730000000021;76.17264999999988;74.88399285714263;3.723100946923788;2.8354802167839943;1.1634178929687722;0.6673167547107292;0
42;17:19:12:414;17:19:16:781;17:19:14:593;79.87469999999998;77.53398571428599;75.98450714285701;75.0397214285713;4.572131029934673;0.9985221909736012;1.1634178929687722;2.0140473048280434;0
