Serial_no.;time1;time2;median(time1,time2);mean(HR1);mean(HR2);mean(HR3);mean(HR4);RMSSD1;RMSSD2;RMSSD3;RMSSD4;stress/non-stress
1;10:42:57:007;10:43:01:375;10:42:59:187;70.0;71.10020714285722;76.4789714285715;74.19802142857145;0.0;5.07790258872504;1.3204489449914054;4.560131826426518;0
2;10:42:57:164;10:43:01:531;10:42:59:343;70.0;71.93692142857147;76.69725714285725;73.47346428571427;0.0;5.07790258872504;1.3204489449914054;4.706228775614794;0
3;10:42:57:320;10:43:01:687;10:42:59:500;70.06603571428575;72.70760000000001;76.915542857143;72.58964285714296;0.5565733971726715;5.047308268190099;1.3204489449914054;4.706231452871275;0
4;10:42:57:476;10:43:01:843;10:42:59:656;70.14389285714287;73.46645714285714;76.81142142857158;72.02833571428586;0.5565733971726715;5.047308268190099;4.747461183697763;1.1635343628818313;0
5;10:42:57:632;10:43:02:000;10:42:59:812;70.22175000000003;74.22531428571429;76.3135642857143;71.86076428571434;0.5565733971726715;5.047308268190099;4.747461183697763;1.1635343628818313;0
6;10:42:57:789;10:43:02:156;10:42:59:968;70.29960714285718;75.16957142857142;75.63030714285712;71.69319285714279;0.5565733971726715;5.217174155658315;4.560131826426518;1.1635343628818313;0
7;10:42:57:945;10:43:02:312;10:43:00:125;70.37746428571434;76.14671428571432;74.91416428571429;71.52562142857136;0.5565733971726715;5.217174155658315;4.560131826426518;1.1635343628818313;0
8;10:42:58:101;10:43:02:468;10:43:00:281;71.10020714285722;76.4789714285715;74.19802142857145;71.75607142857123;5.07790258872504;1.3204489449914054;4.560131826426518;3.350817769737414;0
9;10:42:58:257;10:43:02:625;10:43:00:437;71.93692142857147;76.69725714285725;73.47346428571427;72.06534285714261;5.07790258872504;1.3204489449914054;4.706228775614794;3.1423228210913248;0
10;10:42:58:414;10:43:02:781;10:43:00:593;72.70760000000001;76.915542857143;72.58964285714296;72.53387857142836;5.047308268190099;1.3204489449914054;4.706231452871275;3.142318811384546;0
11;10:42:58:570;10:43:02:937;10:43:00:750;73.46645714285714;76.81142142857158;72.02833571428586;73.002307142857;5.047308268190099;4.747461183697763;1.1635343628818313;3.142318811384546;0
12;10:42:58:726;10:43:03:093;10:43:00:906;74.22531428571429;76.3135642857143;71.86076428571434;73.67544999999993;5.047308268190099;4.747461183697763;1.1635343628818313;5.806108212085923;0
13;10:42:58:882;10:43:03:250;10:43:01:062;75.16957142857142;75.63030714285712;71.69319285714279;74.96330714285718;5.217174155658315;4.560131826426518;1.1635343628818313;5.806108212085923;0
14;10:42:59:039;10:43:03:406;10:43:01:218;76.14671428571432;74.91416428571429;71.52562142857136;76.2511642857143;5.217174155658315;4.560131826426518;1.1635343628818313;5.806108212085923;0
15;10:42:59:195;10:43:03:562;10:43:01:375;76.4789714285715;74.19802142857145;71.75607142857123;77.141;1.3204489449914054;4.560131826426518;3.350817769737414;4.882286867654379;0
16;10:42:59:351;10:43:03:718;10:43:01:531;76.69725714285725;73.47346428571427;72.06534285714261;77.96042857142855;1.3204489449914054;4.706228775614794;3.1423228210913248;4.882286867654379;0
