TripNo.;Intertrip_Time;Trip_Time;Trip_Distance
1;00:00:00:0000;0:2:28:407;1.190097025
2;0:0:0:7;0:2:15:0;3.22619705051
3;0:0:0:8;0:19:56:55;15.7648658931
4;0:0:0:8;0:1:25:500;0.643130605594
