TripNo.;Intertrip_Time;Trip_Time;Trip_Distance
1;00:00:00:0000;0:2:46:750;1.14864072941
2;0:0:0:8;0:21:10:24;18.966036374
3;0:0:0:7;0:0:31:969;0.2130502231
4;0:0:0:8;0:4:5:219;1.7382695201
