Serial_no.;time1;time2;(time1+time2)/2;mean(HR1);mean(HR2);mean(HR3);mean(HR4);RMSSD1;RMSSD2;RMSSD3;RMSSD4;stress/non-stress
1;14:19:10:343;14:19:14:710;14:19:12:526;88.6138857143;87.7312571429;86.0546;86.2811142857;0.58312764437;0.914774493091;0.789880408383;1.15620802999;0
2;14:19:10:500;14:19:14:867;14:19:12:683;88.4857428571;87.5349714286;85.8474571429;86.5235428571;0.583136785732;0.914774493091;0.789880408383;1.15620802999;0
3;14:19:10:656;14:19:15:023;14:19:12:339;88.3576;87.3073428571;85.6716571429;87.0734;0.583136785732;1.18204693884;0.251969178951;1.81920833614;0
4;14:19:10:812;14:19:15:179;14:19:12:495;88.2808571429;86.9550571429;85.6205142857;87.6234;0.00461762820833;1.18205198963;0.251945483309;1.81920833614;0
5;14:19:10:968;14:19:15:335;14:19:12:651;88.2808571429;86.6027714286;85.6662;88.0765714286;0.00461762820833;1.18205198963;1.18333999137;1.40452908894;0
6;14:19:11:125;14:19:15:492;14:19:13:308;88.1236857143;86.4076571429;85.8574857143;88.3841428571;0.914786147523;0.74862175562;1.18333999137;1.40452908894;0
7;14:19:11:281;14:19:15:648;14:19:13:464;87.9274;86.2516571429;86.0487714286;88.5176571429;0.914786147523;0.74862175562;1.18333999137;1.93301616445;0
8;14:19:11:437;14:19:15:804;14:19:13:620;87.7312571429;86.0546;86.2811142857;88.5353714286;0.914774493091;0.789880408383;1.15620802999;1.93301616445;0
9;14:19:11:593;14:19:15:960;14:19:13:776;87.5349714286;85.8474571429;86.5235428571;88.5530857143;0.914774493091;0.789880408383;1.15620802999;1.93301616445;0
10;14:19:11:750;14:19:16:117;14:19:13:433;87.3073428571;85.6716571429;87.0734;88.2633714286;1.18204693884;0.251969178951;1.81920833614;1.32809997001;0
11;14:19:11:906;14:19:16:273;14:19:13:589;86.9550571429;85.6205142857;87.6234;87.9840285714;1.18205198963;0.251945483309;1.81920833614;1.35047715283;0
12;14:19:12:062;14:19:16:429;14:19:14:245;86.6027714286;85.6662;88.0765714286;87.7474571429;1.18205198963;1.18333999137;1.40452908894;1.35048121476;0
13;14:19:12:218;14:19:16:585;14:19:14:401;86.4076571429;85.8574857143;88.3841428571;87.5108857143;0.74862175562;1.18333999137;1.40452908894;1.35048121476;0
14;14:19:12:375;14:19:16:742;14:19:14:558;86.2516571429;86.0487714286;88.5176571429;87.4483714286;0.74862175562;1.18333999137;1.93301616445;0.244846852297;0
15;14:19:12:531;14:19:16:898;14:19:14:714;86.0546;86.2811142857;88.5353714286;87.5016571429;0.789880408383;1.15620802999;1.93301616445;0.244846852297;0
16;14:19:12:687;14:19:17:054;14:19:14:370;85.8474571429;86.5235428571;88.5530857143;87.6629428571;0.789880408383;1.15620802999;1.93301616445;0.551268017931;0
17;14:19:12:843;14:19:17:210;14:19:14:526;85.6716571429;87.0734;88.2633714286;87.8243714286;0.251969178951;1.81920833614;1.32809997001;0.551268017931;0
18;14:19:13:000;14:19:17:367;14:19:15:183;85.6205142857;87.6234;87.9840285714;87.9752857143;0.251945483309;1.81920833614;1.35047715283;0.493920456757;0
19;14:19:13:156;14:19:17:523;14:19:15:339;85.6662;88.0765714286;87.7474571429;88.0834285714;1.18333999137;1.40452908894;1.35048121476;0.493909350502;0
20;14:19:13:312;14:19:17:679;14:19:15:495;85.8574857143;88.3841428571;87.5108857143;88.2574285714;1.18333999137;1.40452908894;1.35048121476;0.698446833937;0
21;14:19:13:468;14:19:17:835;14:19:15:651;86.0487714286;88.5176571429;87.4483714286;88.4755714286;1.18333999137;1.93301616445;0.244846852297;0.698446833937;0
22;14:19:13:625;14:19:17:992;14:19:15:808;86.2811142857;88.5353714286;87.5016571429;88.6937142857;1.15620802999;1.93301616445;0.244846852297;0.698446833937;0
23;14:19:13:781;14:19:18:148;14:19:15:464;86.5235428571;88.5530857143;87.6629428571;88.8038571429;1.15620802999;1.93301616445;0.551268017931;0.493843632462;0
24;14:19:13:937;14:19:18:304;14:19:15:620;87.0734;88.2633714286;87.8243714286;88.8844571429;1.81920833614;1.32809997001;0.551268017931;0.829253900905;0
25;14:19:14:093;14:19:18:460;14:19:16:276;87.6234;87.9840285714;87.9752857143;88.8481714286;1.81920833614;1.35047715283;0.493920456757;0.82926036622;0
26;14:19:14:250;14:19:18:617;14:19:16:433;88.0765714286;87.7474571429;88.0834285714;88.8118857143;1.40452908894;1.35048121476;0.493909350502;0.82926036622;0
27;14:19:14:406;14:19:18:773;14:19:16:589;88.3841428571;87.5108857143;88.2574285714;88.7097428571;1.40452908894;1.35048121476;0.698446833937;0.666176569431;0
28;14:19:14:562;14:19:18:929;14:19:16:745;88.5176571429;87.4483714286;88.4755714286;88.5634571429;1.93301616445;0.244846852297;0.698446833937;0.666176569431;0
29;14:19:14:718;14:19:19:085;14:19:16:401;88.5353714286;87.5016571429;88.6937142857;88.1244857143;1.93301616445;0.244846852297;0.698446833937;2.10800103743;0
30;14:19:14:875;14:19:19:242;14:19:16:558;88.5530857143;87.6629428571;88.8038571429;87.5086285714;1.93301616445;0.551268017931;0.493843632462;2.10800103743;0
31;14:19:15:031;14:19:19:398;14:19:17:214;88.2633714286;87.8243714286;88.8844571429;86.9221714286;1.32809997001;0.551268017931;0.829253900905;1.99997196855;0
32;14:19:15:187;14:19:19:554;14:19:17:370;87.9840285714;87.9752857143;88.8481714286;86.4526;1.35047715283;0.493920456757;0.82926036622;1.9999692878;0
33;14:19:15:343;14:19:19:710;14:19:17:526;87.7474571429;88.0834285714;88.8118857143;85.8908857143;1.35048121476;0.493909350502;0.82926036622;2.31367720264;0
34;14:19:15:500;14:19:19:867;14:19:17:683;87.5108857143;88.2574285714;88.7097428571;85.1913142857;1.35048121476;0.698446833937;0.666176569431;2.31367720264;0
35;14:19:15:656;14:19:20:023;14:19:17:339;87.4483714286;88.4755714286;88.5634571429;84.4917428571;0.244846852297;0.698446833937;0.666176569431;2.31367720264;0
36;14:19:15:812;14:19:20:179;14:19:17:495;87.5016571429;88.6937142857;88.1244857143;84.0848571429;0.244846852297;0.698446833937;2.10800103743;1.16328201477;0
37;14:19:15:968;14:19:20:335;14:19:17:651;87.6629428571;88.8038571429;87.5086285714;83.8548571429;0.551268017931;0.493843632462;2.10800103743;1.16328201477;0
38;14:19:16:125;14:19:20:492;14:19:18:308;87.8243714286;88.8844571429;86.9221714286;84.1287142857;0.551268017931;0.829253900905;1.99997196855;2.7406440932;0
39;14:19:16:281;14:19:20:648;14:19:18:464;87.9752857143;88.8481714286;86.4526;84.4027142857;0.493920456757;0.82926036622;1.9999692878;2.7406440932;0
40;14:19:16:437;14:19:20:804;14:19:18:620;88.0834285714;88.8118857143;85.8908857143;84.7688571429;0.493909350502;0.82926036622;2.31367720264;2.48151264347;0
41;14:19:16:593;14:19:20:960;14:19:18:776;88.2574285714;88.7097428571;85.1913142857;85.2728571429;0.698446833937;0.666176569431;2.31367720264;2.48151264347;0
42;14:19:16:750;14:19:21:117;14:19:18:433;88.4755714286;88.5634571429;84.4917428571;85.7245142857;0.698446833937;0.666176569431;2.31367720264;2.51644672484;0
43;14:19:16:906;14:19:21:273;14:19:18:589;88.6937142857;88.1244857143;84.0848571429;86.1415142857;0.698446833937;2.10800103743;1.16328201477;2.51644672484;0
44;14:19:17:062;14:19:21:429;14:19:19:245;88.8038571429;87.5086285714;83.8548571429;86.5585142857;0.493843632462;2.10800103743;1.16328201477;2.51644672484;0
45;14:19:17:218;14:19:21:585;14:19:19:401;88.8844571429;86.9221714286;84.1287142857;86.4716571429;0.829253900905;1.99997196855;2.7406440932;0.417850594402;0
46;14:19:17:375;14:19:21:742;14:19:19:558;88.8481714286;86.4526;84.4027142857;86.3846571429;0.82926036622;1.9999692878;2.7406440932;0.417850594402;0
47;14:19:17:531;14:19:21:898;14:19:19:714;88.8118857143;85.8908857143;84.7688571429;86.1948;0.82926036622;2.31367720264;2.48151264347;0.651890577192;0
48;14:19:17:687;14:19:22:054;14:19:19:370;88.7097428571;85.1913142857;85.2728571429;86.0050857143;0.666176569431;2.31367720264;2.48151264347;0.651890577192;0
49;14:19:17:843;14:19:22:210;14:19:19:526;88.5634571429;84.4917428571;85.7245142857;85.8677142857;0.666176569431;2.31367720264;2.51644672484;0.500362074292;0
50;14:19:18:000;14:19:22:367;14:19:20:183;88.1244857143;84.0848571429;86.1415142857;85.765;2.10800103743;1.16328201477;2.51644672484;0.500362074292;0
51;14:19:18:156;14:19:22:523;14:19:20:339;87.5086285714;83.8548571429;86.5585142857;85.5915142857;2.10800103743;1.16328201477;2.51644672484;0.76855952166;0
52;14:19:18:312;14:19:22:679;14:19:20:495;86.9221714286;84.1287142857;86.4716571429;85.3710857143;1.99997196855;2.7406440932;0.417850594402;0.76855952166;0
53;14:19:18:468;14:19:22:835;14:19:20:651;86.4526;84.4027142857;86.3846571429;85.1506571429;1.9999692878;2.7406440932;0.417850594402;0.76855952166;0
54;14:19:18:625;14:19:22:992;14:19:20:808;85.8908857143;84.7688571429;86.1948;85.0330857143;2.31367720264;2.48151264347;0.651890577192;0.583370836556;0
55;14:19:18:781;14:19:23:148;14:19:20:464;85.1913142857;85.2728571429;86.0050857143;84.9153714286;2.31367720264;2.48151264347;0.651890577192;0.583370836556;0
56;14:19:18:937;14:19:23:304;14:19:20:620;84.4917428571;85.7245142857;85.8677142857;84.9492285714;2.31367720264;2.51644672484;0.500362074292;0.943665631322;0
57;14:19:19:093;14:19:23:460;14:19:21:276;84.0848571429;86.1415142857;85.765;84.9832285714;1.16328201477;2.51644672484;0.500362074292;0.943665631322;0
58;14:19:19:250;14:19:23:617;14:19:21:433;83.8548571429;86.5585142857;85.5915142857;85.088;1.16328201477;2.51644672484;0.76855952166;0.741743413044;0
59;14:19:19:406;14:19:23:773;14:19:21:589;84.1287142857;86.4716571429;85.3710857143;85.2397142857;2.7406440932;0.417850594402;0.76855952166;0.741743413044;0
60;14:19:19:562;14:19:23:929;14:19:21:745;84.4027142857;86.3846571429;85.1506571429;85.3239714286;2.7406440932;0.417850594402;0.76855952166;1.11411218965;0
61;14:19:19:718;14:19:24:085;14:19:21:401;84.7688571429;86.1948;85.0330857143;85.3074;2.48151264347;0.651890577192;0.583370836556;1.11411218965;0
62;14:19:19:875;14:19:24:242;14:19:21:558;85.2728571429;86.0050857143;84.9153714286;85.2908285714;2.48151264347;0.651890577192;0.583370836556;1.11411218965;0
63;14:19:20:031;14:19:24:398;14:19:22:214;85.7245142857;85.8677142857;84.9492285714;85.1226857143;2.51644672484;0.500362074292;0.943665631322;0.831301798592;0
64;14:19:20:187;14:19:24:554;14:19:22:370;86.1415142857;85.765;84.9832285714;84.9544;2.51644672484;0.500362074292;0.943665631322;0.831301798592;0
65;14:19:20:343;14:19:24:710;14:19:22:526;86.5585142857;85.5915142857;85.088;84.7198285714;2.51644672484;0.76855952166;0.741743413044;0.896376675228;0
66;14:19:20:500;14:19:24:867;14:19:22:683;86.4716571429;85.3710857143;85.2397142857;84.4854;0.417850594402;0.76855952166;0.741743413044;0.896376675228;0
67;14:19:20:656;14:19:25:023;14:19:22:339;86.3846571429;85.1506571429;85.3239714286;84.3184285714;0.417850594402;0.76855952166;1.11411218965;0.335303539423;0
68;14:19:20:812;14:19:25:179;14:19:22:495;86.1948;85.0330857143;85.3074;84.2522857143;0.651890577192;0.583370836556;1.11411218965;0.335303539423;0
69;14:19:20:968;14:19:25:335;14:19:22:651;86.0050857143;84.9153714286;85.2908285714;84.1469142857;0.651890577192;0.583370836556;1.11411218965;0.602367176039;0
70;14:19:21:125;14:19:25:492;14:19:23:308;85.8677142857;84.9492285714;85.1226857143;83.9830571429;0.500362074292;0.943665631322;0.831301798592;0.602367176039;0
71;14:19:21:281;14:19:25:648;14:19:23:464;85.765;84.9832285714;84.9544;83.8192;0.500362074292;0.943665631322;0.831301798592;0.602367176039;0
72;14:19:21:437;14:19:25:804;14:19:23:620;85.5915142857;85.088;84.7198285714;83.7216285714;0.76855952166;0.741743413044;0.896376675228;0.500417576849;0
73;14:19:21:593;14:19:25:960;14:19:23:776;85.3710857143;85.2397142857;84.4854;83.6239142857;0.76855952166;0.741743413044;0.896376675228;0.500417576849;0
74;14:19:21:750;14:19:26:117;14:19:23:433;85.1506571429;85.3239714286;84.3184285714;83.7509714286;0.76855952166;1.11411218965;0.335303539423;1.49073255973;0
75;14:19:21:906;14:19:26:273;14:19:23:589;85.0330857143;85.3074;84.2522857143;83.9344;0.583370836556;1.11411218965;0.335303539423;1.49073255973;0
76;14:19:22:062;14:19:26:429;14:19:24:245;84.9153714286;85.2908285714;84.1469142857;84.1570571429;0.583370836556;1.11411218965;0.602367176039;1.40423139597;0
77;14:19:22:218;14:19:26:585;14:19:24:401;84.9492285714;85.1226857143;83.9830571429;84.4382;0.943665631322;0.831301798592;0.602367176039;1.40423139597;0
78;14:19:22:375;14:19:26:742;14:19:24:558;84.9832285714;84.9544;83.8192;84.7533142857;0.943665631322;0.831301798592;0.602367176039;1.46310338603;0
79;14:19:22:531;14:19:26:898;14:19:24:714;85.088;84.7198285714;83.7216285714;85.1197428571;0.741743413044;0.896376675228;0.500417576849;1.46310338603;0
80;14:19:22:687;14:19:27:054;14:19:24:370;85.2397142857;84.4854;83.6239142857;85.4861714286;0.741743413044;0.896376675228;0.500417576849;1.46310338603;0
81;14:19:22:843;14:19:27:210;14:19:24:526;85.3239714286;84.3184285714;83.7509714286;85.6278285714;1.11411218965;0.335303539423;1.49073255973;0.410859714221;0
82;14:19:23:000;14:19:27:367;14:19:25:183;85.3074;84.2522857143;83.9344;85.7131142857;1.11411218965;0.335303539423;1.49073255973;0.410859714221;0
83;14:19:23:156;14:19:27:523;14:19:25:339;85.2908285714;84.1469142857;84.1570571429;85.7436285714;1.11411218965;0.602367176039;1.40423139597;0.529966130263;0
84;14:19:23:312;14:19:27:679;14:19:25:495;85.1226857143;83.9830571429;84.4382;85.7606285714;0.831301798592;0.602367176039;1.40423139597;0.529966130263;0
85;14:19:23:468;14:19:27:835;14:19:25:651;84.9544;83.8192;84.7533142857;85.7436571429;0.831301798592;0.602367176039;1.46310338603;0.33475124265;0
86;14:19:23:625;14:19:27:992;14:19:25:808;84.7198285714;83.7216285714;85.1197428571;85.6753714286;0.896376675228;0.500417576849;1.46310338603;0.33475124265;0
87;14:19:23:781;14:19:28:148;14:19:25:464;84.4854;83.6239142857;85.4861714286;85.6205428571;0.896376675228;0.500417576849;1.46310338603;0.371875091046;0
88;14:19:23:937;14:19:28:304;14:19:25:620;84.3184285714;83.7509714286;85.6278285714;85.5862571429;0.335303539423;1.49073255973;0.410859714221;0.371875091046;0
89;14:19:24:093;14:19:28:460;14:19:26:276;84.2522857143;83.9344;85.7131142857;85.5519714286;0.335303539423;1.49073255973;0.410859714221;0.371875091046;0
90;14:19:24:250;14:19:28:617;14:19:26:433;84.1469142857;84.1570571429;85.7436285714;85.5724571429;0.602367176039;1.40423139597;0.529966130263;0.161965085389;0
91;14:19:24:406;14:19:28:773;14:19:26:589;83.9830571429;84.4382;85.7606285714;85.6064571429;0.602367176039;1.40423139597;0.529966130263;0.161965085389;0
92;14:19:24:562;14:19:28:929;14:19:26:745;83.8192;84.7533142857;85.7436571429;85.5323142857;0.602367176039;1.46310338603;0.33475124265;0.685157780872;0
93;14:19:24:718;14:19:29:085;14:19:26:401;83.7216285714;85.1197428571;85.6753714286;85.4313142857;0.500417576849;1.46310338603;0.33475124265;0.685157780872;0
94;14:19:24:875;14:19:29:242;14:19:26:558;83.6239142857;85.4861714286;85.6205428571;85.3168571429;0.500417576849;1.46310338603;0.371875091046;0.665739059846;0
95;14:19:25:031;14:19:29:398;14:19:27:214;83.7509714286;85.6278285714;85.5862571429;85.1818571429;1.49073255973;0.410859714221;0.371875091046;0.665739059846;0
96;14:19:25:187;14:19:29:554;14:19:27:370;83.9344;85.7131142857;85.5519714286;85.1559714286;1.49073255973;0.410859714221;0.371875091046;1.4796802718;0
97;14:19:25:343;14:19:29:710;14:19:27:526;84.1570571429;85.7436285714;85.5724571429;85.2941142857;1.40423139597;0.529966130263;0.161965085389;1.4796802718;0
98;14:19:25:500;14:19:29:867;14:19:27:683;84.4382;85.7606285714;85.6064571429;85.4322571429;1.40423139597;0.529966130263;0.161965085389;1.4796802718;0
99;14:19:25:656;14:19:30:023;14:19:27:339;84.7533142857;85.7436571429;85.5323142857;85.6785428571;1.46310338603;0.33475124265;0.685157780872;1.32145571661;0
100;14:19:25:812;14:19:30:179;14:19:27:495;85.1197428571;85.6753714286;85.4313142857;85.9516857143;1.46310338603;0.33475124265;0.685157780872;1.32145571661;0
101;14:19:25:968;14:19:30:335;14:19:27:651;85.4861714286;85.6205428571;85.3168571429;86.2596857143;1.46310338603;0.371875091046;0.665739059846;1.33137479029;0
102;14:19:26:125;14:19:30:492;14:19:28:308;85.6278285714;85.5862571429;85.1818571429;86.5678285714;0.410859714221;0.371875091046;0.665739059846;1.33137479029;0
103;14:19:26:281;14:19:30:648;14:19:28:464;85.7131142857;85.5519714286;85.1559714286;86.7668571429;0.410859714221;0.371875091046;1.4796802718;0.162214738175;0
104;14:19:26:437;14:19:30:804;14:19:28:620;85.7436285714;85.5724571429;85.2941142857;86.8018571429;0.529966130263;0.161965085389;1.4796802718;0.162214738175;0
105;14:19:26:593;14:19:30:960;14:19:28:776;85.7606285714;85.6064571429;85.4322571429;86.8052571429;0.529966130263;0.161965085389;1.4796802718;0.299490724359;0
106;14:19:26:750;14:19:31:117;14:19:28:433;85.7436571429;85.5323142857;85.6785428571;86.7878285714;0.33475124265;0.685157780872;1.32145571661;0.299490724359;0
107;14:19:26:906;14:19:31:273;14:19:28:589;85.6753714286;85.4313142857;85.9516857143;86.7704;0.33475124265;0.685157780872;1.32145571661;0.299490724359;0
108;14:19:27:062;14:19:31:429;14:19:29:245;85.6205428571;85.3168571429;86.2596857143;86.7181142857;0.371875091046;0.665739059846;1.33137479029;0.251755978471;0
109;14:19:27:218;14:19:31:585;14:19:29:401;85.5862571429;85.1818571429;86.5678285714;86.6656857143;0.371875091046;0.665739059846;1.33137479029;0.251755978471;0
110;14:19:27:375;14:19:31:742;14:19:29:558;85.5519714286;85.1559714286;86.7668571429;86.5266857143;0.371875091046;1.4796802718;0.162214738175;0.487507417409;0
111;14:19:27:531;14:19:31:898;14:19:29:714;85.5724571429;85.2941142857;86.8018571429;86.3878285714;0.161965085389;1.4796802718;0.162214738175;0.487507417409;0
112;14:19:27:687;14:19:32:054;14:19:29:370;85.6064571429;85.4322571429;86.8052571429;86.2805714286;0.161965085389;1.4796802718;0.299490724359;0.417471447326;0
113;14:19:27:843;14:19:32:210;14:19:29:526;85.5323142857;85.6785428571;86.7878285714;86.1941428571;0.685157780872;1.32145571661;0.299490724359;0.417471447326;0
114;14:19:28:000;14:19:32:367;14:19:30:183;85.4313142857;85.9516857143;86.7704;86.1594285714;0.685157780872;1.32145571661;0.299490724359;0.58557441815;0
115;14:19:28:156;14:19:32:523;14:19:30:339;85.3168571429;86.2596857143;86.7181142857;86.1594285714;0.665739059846;1.33137479029;0.251755978471;0.58557441815;0
116;14:19:28:312;14:19:32:679;14:19:30:495;85.1818571429;86.5678285714;86.6656857143;86.1594285714;0.665739059846;1.33137479029;0.251755978471;0.58557441815;0
117;14:19:28:468;14:19:32:835;14:19:30:651;85.1559714286;86.7668571429;86.5266857143;86.246;1.4796802718;0.162214738175;0.487507417409;0.410627556137;0
118;14:19:28:625;14:19:32:992;14:19:30:808;85.2941142857;86.8018571429;86.3878285714;86.3322857143;1.4796802718;0.162214738175;0.487507417409;0.410641614178;0
119;14:19:28:781;14:19:33:148;14:19:30:464;85.4322571429;86.8052571429;86.2805714286;86.4187142857;1.4796802718;0.299490724359;0.417471447326;0.410655671738;0
120;14:19:28:937;14:19:33:304;14:19:30:620;85.6785428571;86.7878285714;86.1941428571;86.5051428571;1.32145571661;0.299490724359;0.417471447326;0.410655671738;0
121;14:19:29:093;14:19:33:460;14:19:31:276;85.9516857143;86.7704;86.1594285714;86.5398571429;1.32145571661;0.299490724359;0.58557441815;0.00480529620739;0
122;14:19:29:250;14:19:33:617;14:19:31:433;86.2596857143;86.7181142857;86.1594285714;86.5398571429;1.33137479029;0.251755978471;0.58557441815;0.00480529620739;0
123;14:19:29:406;14:19:33:773;14:19:31:589;86.5678285714;86.6656857143;86.1594285714;86.4431428571;1.33137479029;0.251755978471;0.58557441815;0.58336200444;0
124;14:19:29:562;14:19:33:929;14:19:31:745;86.7668571429;86.5266857143;86.246;86.3224285714;0.162214738175;0.487507417409;0.410627556137;0.58336200444;0
125;14:19:29:718;14:19:34:085;14:19:31:401;86.8018571429;86.3878285714;86.3322857143;86.2018571429;0.162214738175;0.487507417409;0.410641614178;0.583352108755;0
126;14:19:29:875;14:19:34:242;14:19:31:558;86.8052571429;86.2805714286;86.4187142857;86.0811428571;0.299490724359;0.417471447326;0.410655671738;0.583342212901;0
127;14:19:30:031;14:19:34:398;14:19:32:214;86.7878285714;86.1941428571;86.5051428571;85.9366285714;0.299490724359;0.417471447326;0.410655671738;0.824682551688;0
128;14:19:30:187;14:19:34:554;14:19:32:370;86.7704;86.1594285714;86.5398571429;85.6976285714;0.299490724359;0.58557441815;0.00480529620739;0.824690120099;0
129;14:19:30:343;14:19:34:710;14:19:32:526;86.7181142857;86.1594285714;86.5398571429;85.4586285714;0.251755978471;0.58557441815;0.00480529620739;0.824690120099;0
130;14:19:30:500;14:19:34:867;14:19:32:683;86.6656857143;86.1594285714;86.4431428571;85.3163428571;0.251755978471;0.58557441815;0.58336200444;0.582945672285;0
131;14:19:30:656;14:19:35:023;14:19:32:339;86.5266857143;86.246;86.3224285714;85.2115142857;0.487507417409;0.410627556137;0.58336200444;0.670346315708;0
132;14:19:30:812;14:19:35:179;14:19:32:495;86.3878285714;86.3322857143;86.2018571429;84.5153428571;0.487507417409;0.410641614178;0.583352108755;4.28023286967;0
133;14:19:30:968;14:19:35:335;14:19:32:651;86.2805714286;86.4187142857;86.0811428571;83.6580571429;0.417471447326;0.410655671738;0.583342212901;4.28023286967;0
134;14:19:31:125;14:19:35:492;14:19:33:308;86.1941428571;86.5051428571;85.9366285714;82.8245714286;0.417471447326;0.410655671738;0.824682551688;4.24035142941;0
135;14:19:31:281;14:19:35:648;14:19:33:464;86.1594285714;86.5398571429;85.6976285714;82.0855714286;0.58557441815;0.00480529620739;0.824690120099;4.24034995747;0
136;14:19:31:437;14:19:35:804;14:19:33:620;86.1594285714;86.5398571429;85.4586285714;81.5144857143;0.58557441815;0.00480529620739;0.824690120099;6.10046516273;0
137;14:19:31:593;14:19:35:960;14:19:33:776;86.1594285714;86.4431428571;85.3163428571;81.6157714286;0.58557441815;0.58336200444;0.582945672285;6.10046615237;0
138;14:19:31:750;14:19:36:117;14:19:33:433;86.246;86.3224285714;85.2115142857;81.7036;0.410627556137;0.58336200444;0.670346315708;6.09148165474;0
139;14:19:31:906;14:19:36:273;14:19:33:589;86.3322857143;86.2018571429;84.5153428571;82.3827714286;0.410641614178;0.583352108755;4.28023286967;4.38578607713;0
140;14:19:32:062;14:19:36:429;14:19:34:245;86.4187142857;86.0811428571;83.6580571429;83.2230571429;0.410655671738;0.583342212901;4.28023286967;4.38578607713;0
141;14:19:32:218;14:19:36:585;14:19:34:401;86.5051428571;85.9366285714;82.8245714286;84.036;0.410655671738;0.824682551688;4.24035142941;4.38905577643;0
142;14:19:32:375;14:19:36:742;14:19:34:558;86.5398571429;85.6976285714;82.0855714286;84.8422857143;0.00480529620739;0.824690120099;4.24034995747;4.38905577643;0
143;14:19:32:531;14:19:36:898;14:19:34:714;86.5398571429;85.4586285714;81.5144857143;85.4806571429;0.00480529620739;0.824690120099;6.10046516273;0.169420095546;0
144;14:19:32:687;14:19:37:054;14:19:34:370;86.4431428571;85.3163428571;81.6157714286;85.4466571429;0.58336200444;0.582945672285;6.10046615237;0.169384456892;0
145;14:19:32:843;14:19:37:210;14:19:34:526;86.3224285714;85.2115142857;81.7036;85.4261428571;0.58336200444;0.670346315708;6.09148165474;0.369175801704;0
146;14:19:33:000;14:19:37:367;14:19:35:183;86.2018571429;84.5153428571;82.3827714286;85.4602857143;0.583352108755;4.28023286967;4.38578607713;0.369191973295;0
147;14:19:33:156;14:19:37:523;14:19:35:339;86.0811428571;83.6580571429;83.2230571429;85.4944285714;0.583342212901;4.28023286967;4.38578607713;0.369191973295;0
148;14:19:33:312;14:19:37:679;14:19:35:495;85.9366285714;82.8245714286;84.036;85.5559142857;0.824682551688;4.24035142941;4.38905577643;0.328042099293;0
149;14:19:33:468;14:19:37:835;14:19:35:651;85.6976285714;82.0855714286;84.8422857143;85.6240571429;0.824690120099;4.24034995747;4.38905577643;0.328042099293;0
150;14:19:33:625;14:19:37:992;14:19:35:808;85.4586285714;81.5144857143;85.4806571429;85.8450857143;0.824690120099;6.10046516273;0.169420095546;0.965226673843;0
151;14:19:33:781;14:19:38:148;14:19:35:464;85.3163428571;81.6157714286;85.4466571429;86.1045142857;0.582945672285;6.10046615237;0.169384456892;0.965226673843;0
152;14:19:33:937;14:19:38:304;14:19:35:620;85.2115142857;81.7036;85.4261428571;86.3504571429;0.670346315708;6.09148165474;0.369175801704;0.907779077514;0
153;14:19:34:093;14:19:38:460;14:19:36:276;84.5153428571;82.3827714286;85.4602857143;86.5417428571;4.28023286967;4.38578607713;0.369191973295;0.907772500679;0
154;14:19:34:250;14:19:38:617;14:19:36:433;83.6580571429;83.2230571429;85.4944285714;86.7328857143;4.28023286967;4.38578607713;0.369191973295;0.907784864374;0
155;14:19:34:406;14:19:38:773;14:19:36:589;82.8245714286;84.036;85.5559142857;86.9241714286;4.24035142941;4.38905577643;0.328042099293;0.907784864374;0
156;14:19:34:562;14:19:38:929;14:19:36:745;82.0855714286;84.8422857143;85.6240571429;87.1154571429;4.24034995747;4.38905577643;0.328042099293;0.907784864374;0
157;14:19:34:718;14:19:39:085;14:19:36:401;81.5144857143;85.4806571429;85.8450857143;87.1538571429;6.10046516273;0.169420095546;0.965226673843;0.00473782614415;1
158;14:19:34:875;14:19:39:242;14:19:36:558;81.6157714286;85.4466571429;86.1045142857;87.1538571429;6.10046615237;0.169384456892;0.965226673843;0.00473782614415;1
159;14:19:35:031;14:19:39:398;14:19:37:214;81.7036;85.4261428571;86.3504571429;87.3328571429;6.09148165474;0.369175801704;0.907779077514;0.825016253144;1
160;14:19:35:187;14:19:39:554;14:19:37:370;82.3827714286;85.4602857143;86.5417428571;87.512;4.38578607713;0.369191973295;0.907772500679;0.825016253144;1
