14:19:10:343;1522.478;8.577;33.68;89.178;672.8117;68.745
14:19:10:351;1550.255;8.58;33.682;89.178;672.8117;68.745
14:19:10:359;1526.936;8.581;33.68;89.178;672.8117;68.745
14:19:10:367;1547.995;8.581;33.682;89.178;672.8117;68.745
14:19:10:375;1527.498;8.584;33.679;89.178;672.8117;68.745
14:19:10:382;1482.913;8.583;33.684;89.178;672.8117;68.745
14:19:10:390;1526.924;8.585;33.684;89.178;672.8117;68.745
14:19:10:398;1593.386;8.585;33.684;89.178;672.8117;68.745
14:19:10:406;1547.457;8.586;33.682;89.178;672.8117;68.745
14:19:10:414;1490.767;8.586;33.685;89.178;672.8117;68.745
14:19:10:421;1497.706;8.589;33.686;89.178;672.8117;68.745
14:19:10:429;1517.897;8.588;33.686;89.178;672.8117;68.745
14:19:10:437;1524.334;8.588;33.682;89.178;672.8117;68.745
14:19:10:445;1530.075;8.59;33.687;89.178;672.8117;68.745
14:19:10:453;1508.577;8.592;33.683;89.178;672.8117;68.745
14:19:10:460;1558.145;8.592;33.685;89.178;672.8117;68.745
14:19:10:468;1509.493;8.593;33.681;89.178;672.8117;68.745
14:19:10:476;1513.878;8.594;33.682;89.178;672.8117;68.745
14:19:10:484;1516.859;8.595;33.683;89.178;672.8117;68.745
14:19:10:492;1503.764;8.594;33.682;89.178;672.8117;68.745
14:19:10:500;1507.184;8.595;33.683;89.178;672.8117;68.046
14:19:10:507;1506.83;8.596;33.684;89.178;672.8117;68.046
14:19:10:515;1511.948;8.597;33.684;89.178;672.8117;68.046
14:19:10:523;1532.86;8.599;33.687;89.178;672.8117;68.046
14:19:10:531;1560.381;8.599;33.686;89.178;672.8117;68.046
14:19:10:539;1535.792;8.6;33.688;89.178;672.8117;68.046
14:19:10:546;1509.224;8.601;33.685;89.178;672.8117;68.046
14:19:10:554;1491.513;8.602;33.688;89.178;672.8117;68.046
14:19:10:562;1521.476;8.602;33.69;89.178;672.8117;68.046
14:19:10:570;1615.202;8.603;33.69;89.178;672.8117;68.046
14:19:10:578;1677.84;8.603;33.689;89.178;672.8117;68.046
14:19:10:585;1645.397;8.603;33.692;89.178;672.8117;68.046
14:19:10:593;1596.757;8.605;33.692;89.178;672.8117;68.046
14:19:10:601;1610.536;8.605;33.69;89.178;672.8117;68.046
14:19:10:609;1558.976;8.605;33.688;89.178;672.8117;68.046
14:19:10:617;1529.721;8.606;33.691;89.178;672.8117;68.046
14:19:10:625;1517.946;8.606;33.69;89.178;672.8117;68.046
