median(time1,time2);stress/non-stress14:19:12:523;0
14:19:12:679;0
14:19:12:835;0
14:19:12:992;0
14:19:13:148;0
14:19:13:304;0
14:19:13:460;0
14:19:13:617;0
14:19:13:773;0
14:19:13:929;0
14:19:14:085;0
14:19:14:242;0
14:19:14:398;0
14:19:14:554;0
14:19:14:710;0
14:19:14:867;0
14:19:15:023;0
14:19:15:179;0
14:19:15:335;0
14:19:15:492;0
14:19:15:648;0
14:19:15:804;0
14:19:15:960;0
14:19:16:117;0
14:19:16:273;0
14:19:16:429;0
14:19:16:585;0
14:19:16:742;0
14:19:16:898;0
14:19:17:054;0
14:19:17:210;0
14:19:17:367;0
14:19:17:523;0
14:19:17:679;0
14:19:17:835;0
14:19:17:992;0
14:19:18:148;0
14:19:18:304;0
14:19:18:460;0
14:19:18:617;0
14:19:18:773;0
14:19:18:929;0
14:19:19:085;0
14:19:19:242;0
14:19:19:398;0
14:19:19:554;0
14:19:19:710;0
14:19:19:867;0
14:19:20:023;0
14:19:20:179;0
14:19:20:335;0
14:19:20:492;0
14:19:20:648;0
14:19:20:804;0
14:19:20:960;0
14:19:21:117;0
14:19:21:273;0
14:19:21:429;0
14:19:21:585;0
14:19:21:742;0
14:19:21:898;0
14:19:22:054;0
14:19:22:210;0
14:19:22:367;0
14:19:22:523;0
14:19:22:679;0
14:19:22:835;0
14:19:22:992;0
14:19:23:148;0
14:19:23:304;0
14:19:23:460;0
14:19:23:617;0
14:19:23:773;0
14:19:23:929;0
14:19:24:085;0
14:19:24:242;0
14:19:24:398;0
14:19:24:554;0
14:19:24:710;0
14:19:24:867;0
14:19:25:023;0
14:19:25:179;0
14:19:25:335;0
14:19:25:492;0
14:19:25:648;0
14:19:25:804;0
14:19:25:960;0
14:19:26:117;0
14:19:26:273;0
14:19:26:429;0
14:19:26:585;0
14:19:26:742;0
14:19:26:898;0
14:19:27:054;0
14:19:27:210;0
14:19:27:367;0
14:19:27:523;0
14:19:27:679;0
14:19:27:835;0
14:19:27:992;0
14:19:28:148;0
14:19:28:304;0
14:19:28:460;0
14:19:28:617;0
14:19:28:773;0
14:19:28:929;0
14:19:29:085;0
14:19:29:242;0
14:19:29:398;0
14:19:29:554;0
14:19:29:710;0
14:19:29:867;0
14:19:30:023;0
14:19:30:179;0
14:19:30:335;0
14:19:30:492;0
14:19:30:648;0
14:19:30:804;0
14:19:30:960;0
14:19:31:117;0
14:19:31:273;0
14:19:31:429;0
14:19:31:585;0
14:19:31:742;0
14:19:31:898;0
14:19:32:054;0
14:19:32:210;0
14:19:32:367;0
14:19:32:523;0
14:19:32:679;0
14:19:32:835;0
14:19:32:992;0
14:19:33:148;0
14:19:33:304;0
14:19:33:460;0
14:19:33:617;0
14:19:33:773;0
14:19:33:929;0
14:19:34:085;0
14:19:34:242;0
14:19:34:398;0
14:19:34:554;0
14:19:34:710;0
14:19:34:867;0
14:19:35:023;0
14:19:35:179;0
14:19:35:335;0
14:19:35:492;0
14:19:35:648;0
14:19:35:804;0
14:19:35:960;0
14:19:36:117;0
14:19:36:273;0
14:19:36:429;0
14:19:36:585;0
14:19:36:742;0
14:19:36:898;1
14:19:37:054;1
14:19:37:210;1
14:19:37:367;1
14:19:37:523;1
14:19:37:679;0
14:19:37:835;0
14:19:37:992;0
14:19:38:148;0
14:19:38:304;0
14:19:38:460;0
14:19:38:617;0
14:19:38:773;0
14:19:38:929;0
14:19:39:085;0
14:19:39:242;0
14:19:39:398;0
14:19:39:554;0
14:19:39:710;0
14:19:39:867;0
14:19:40:023;0
14:19:40:179;0
14:19:40:335;0
14:19:40:492;0
14:19:40:648;0
14:19:40:804;0
14:19:40:960;0
14:19:41:117;0

