Time_Accel;AccelX;AccelY;AccelZ
15:19:10:293;-0.49799395;11.109096;0.40222588
15:19:10:293;-0.49799395;11.109096;0.40222588
15:19:10:293;-0.49799395;11.109096;0.40222588
15:19:10:293;-0.49799395;11.109096;0.40222588
15:19:10:293;-0.49799395;11.109096;0.40222588
15:19:10:293;-0.49799395;11.109096;0.40222588
15:19:10:293;-0.49799395;11.109096;0.40222588
15:19:10:395;0.22984336;10.381259;0.17238252
15:19:10:395;0.22984336;10.381259;0.17238252
15:19:10:395;0.22984336;10.381259;0.17238252
15:19:10:395;0.22984336;10.381259;0.17238252
15:19:10:395;0.22984336;10.381259;0.17238252
15:19:10:395;0.22984336;10.381259;0.17238252
15:19:10:395;0.22984336;10.381259;0.17238252
15:19:10:395;0.22984336;10.381259;0.17238252
15:19:10:395;0.22984336;10.381259;0.17238252
15:19:10:395;0.22984336;10.381259;0.17238252
15:19:10:395;0.22984336;10.381259;0.17238252
15:19:10:395;0.22984336;10.381259;0.17238252
15:19:10:395;0.22984336;10.381259;0.17238252
15:19:10:395;0.22984336;10.381259;0.17238252
15:19:10:395;0.22984336;10.381259;0.17238252
15:19:10:513;0.51714754;8.925584;0.93852705
15:19:10:513;0.51714754;8.925584;0.93852705
15:19:10:513;0.51714754;8.925584;0.93852705
15:19:10:513;0.51714754;8.925584;0.93852705
15:19:10:513;0.51714754;8.925584;0.93852705
15:19:10:513;0.51714754;8.925584;0.93852705
15:19:10:513;0.51714754;8.925584;0.93852705
15:19:10:513;0.51714754;8.925584;0.93852705
15:19:10:513;0.51714754;8.925584;0.93852705
15:19:10:513;0.51714754;8.925584;0.93852705
15:19:10:513;0.51714754;8.925584;0.93852705
15:19:10:513;0.51714754;8.925584;0.93852705
15:19:10:513;0.51714754;8.925584;0.93852705
15:19:10:513;0.51714754;8.925584;0.93852705
15:19:10:513;0.51714754;8.925584;0.93852705
15:19:10:513;0.51714754;8.925584;0.93852705
15:19:10:633;-0.05746084;11.166556;0.22984336
15:19:10:633;-0.05746084;11.166556;0.22984336
15:19:10:633;-0.05746084;11.166556;0.22984336
15:19:10:633;-0.05746084;11.166556;0.22984336
15:19:10:633;-0.05746084;11.166556;0.22984336
15:19:10:633;-0.05746084;11.166556;0.22984336
15:19:10:633;-0.05746084;11.166556;0.22984336
15:19:10:633;-0.05746084;11.166556;0.22984336
15:19:10:633;-0.05746084;11.166556;0.22984336
15:19:10:633;-0.05746084;11.166556;0.22984336
15:19:10:633;-0.05746084;11.166556;0.22984336
15:19:10:633;-0.05746084;11.166556;0.22984336
15:19:10:633;-0.05746084;11.166556;0.22984336
15:19:10:737;-0.05746084;9.270349;-0.038307227
15:19:10:737;-0.05746084;9.270349;-0.038307227
15:19:10:737;-0.05746084;9.270349;-0.038307227
15:19:10:737;-0.05746084;9.270349;-0.038307227
15:19:10:737;-0.05746084;9.270349;-0.038307227
15:19:10:737;-0.05746084;9.270349;-0.038307227
15:19:10:737;-0.05746084;9.270349;-0.038307227
15:19:10:737;-0.05746084;9.270349;-0.038307227
15:19:10:737;-0.05746084;9.270349;-0.038307227
15:19:10:737;-0.05746084;9.270349;-0.038307227
15:19:10:737;-0.05746084;9.270349;-0.038307227
15:19:10:737;-0.05746084;9.270349;-0.038307227
15:19:10:737;-0.05746084;9.270349;-0.038307227
15:19:10:737;-0.05746084;9.270349;-0.038307227
15:19:10:737;-0.05746084;9.270349;-0.038307227
15:19:10:855;0.19153613;8.255207;0.82360536
15:19:10:855;0.19153613;8.255207;0.82360536
15:19:10:855;0.19153613;8.255207;0.82360536
15:19:10:855;0.19153613;8.255207;0.82360536
15:19:10:855;0.19153613;8.255207;0.82360536
15:19:10:855;0.19153613;8.255207;0.82360536
15:19:10:855;0.19153613;8.255207;0.82360536
15:19:10:855;0.19153613;8.255207;0.82360536
15:19:10:855;0.19153613;8.255207;0.82360536
15:19:10:855;0.19153613;8.255207;0.82360536
15:19:10:855;0.19153613;8.255207;0.82360536
15:19:10:855;0.19153613;8.255207;0.82360536
15:19:10:855;0.19153613;8.255207;0.82360536
15:19:10:855;0.19153613;8.255207;0.82360536
15:19:10:855;0.19153613;8.255207;0.82360536
15:19:10:973;-0.05746084;10.304645;0.38307226
15:19:10:973;-0.05746084;10.304645;0.38307226
15:19:10:973;-0.05746084;10.304645;0.38307226
15:19:10:973;-0.05746084;10.304645;0.38307226
15:19:10:973;-0.05746084;10.304645;0.38307226
15:19:10:973;-0.05746084;10.304645;0.38307226
15:19:10:973;-0.05746084;10.304645;0.38307226
15:19:10:973;-0.05746084;10.304645;0.38307226
15:19:10:973;-0.05746084;10.304645;0.38307226
15:19:10:973;-0.05746084;10.304645;0.38307226
15:19:10:973;-0.05746084;10.304645;0.38307226
15:19:10:973;-0.05746084;10.304645;0.38307226
15:19:10:973;-0.05746084;10.304645;0.38307226
15:19:10:973;-0.05746084;10.304645;0.38307226
15:19:10:973;-0.05746084;10.304645;0.38307226
15:19:11:089;-0.076614454;10.5919485;0.5746084
15:19:11:089;-0.076614454;10.5919485;0.5746084
15:19:11:089;-0.076614454;10.5919485;0.5746084
15:19:11:089;-0.076614454;10.5919485;0.5746084
15:19:11:089;-0.076614454;10.5919485;0.5746084
15:19:11:089;-0.076614454;10.5919485;0.5746084
15:19:11:089;-0.076614454;10.5919485;0.5746084
15:19:11:089;-0.076614454;10.5919485;0.5746084
15:19:11:089;-0.076614454;10.5919485;0.5746084
15:19:11:089;-0.076614454;10.5919485;0.5746084
15:19:11:089;-0.076614454;10.5919485;0.5746084
15:19:11:089;-0.076614454;10.5919485;0.5746084
15:19:11:089;-0.076614454;10.5919485;0.5746084
15:19:11:192;-0.15322891;10.419566;0.38307226
15:19:11:192;-0.15322891;10.419566;0.38307226
15:19:11:192;-0.15322891;10.419566;0.38307226
15:19:11:192;-0.15322891;10.419566;0.38307226
15:19:11:192;-0.15322891;10.419566;0.38307226
15:19:11:192;-0.15322891;10.419566;0.38307226
15:19:11:192;-0.15322891;10.419566;0.38307226
15:19:11:192;-0.15322891;10.419566;0.38307226
15:19:11:192;-0.15322891;10.419566;0.38307226
15:19:11:192;-0.15322891;10.419566;0.38307226
15:19:11:192;-0.15322891;10.419566;0.38307226
15:19:11:192;-0.15322891;10.419566;0.38307226
15:19:11:192;-0.15322891;10.419566;0.38307226
15:19:11:192;-0.15322891;10.419566;0.38307226
15:19:11:192;-0.15322891;10.419566;0.38307226
15:19:11:307;-0.15322891;11.166556;-0.038307227
15:19:11:307;-0.15322891;11.166556;-0.038307227
15:19:11:307;-0.15322891;11.166556;-0.038307227
15:19:11:307;-0.15322891;11.166556;-0.038307227
15:19:11:307;-0.15322891;11.166556;-0.038307227
15:19:11:307;-0.15322891;11.166556;-0.038307227
15:19:11:307;-0.15322891;11.166556;-0.038307227
15:19:11:307;-0.15322891;11.166556;-0.038307227
15:19:11:307;-0.15322891;11.166556;-0.038307227
15:19:11:307;-0.15322891;11.166556;-0.038307227
15:19:11:307;-0.15322891;11.166556;-0.038307227
15:19:11:307;-0.15322891;11.166556;-0.038307227
15:19:11:307;-0.15322891;11.166556;-0.038307227
15:19:11:307;-0.15322891;11.166556;-0.038307227
15:19:11:307;-0.15322891;11.166556;-0.038307227
15:19:11:424;-0.019153614;9.768343;0.36391866
15:19:11:424;-0.019153614;9.768343;0.36391866
15:19:11:424;-0.019153614;9.768343;0.36391866
15:19:11:424;-0.019153614;9.768343;0.36391866
15:19:11:424;-0.019153614;9.768343;0.36391866
15:19:11:424;-0.019153614;9.768343;0.36391866
15:19:11:424;-0.019153614;9.768343;0.36391866
15:19:11:424;-0.019153614;9.768343;0.36391866
