ECG;SCR;Temp;HR;HRV_LF
1068.446;1.993;34.158;85.764;69.424
1054.301;1.993;34.158;85.764;69.424
1064.464;1.993;34.157;85.764;69.154
1059.981;1.993;34.157;85.764;69.154
1074.517;1.993;34.155;85.764;69.154
1056.5;1.993;34.154;85.764;69.154
889.46;1.992;34.152;85.764;69.154
869.403;1.992;34.151;85.764;69.154
1335.551;1.992;34.147;85.764;69.154
2012.702;1.992;34.147;85.764;69.154
2875.496;1.992;34.146;61.379;69.154
3290.758;1.992;34.145;61.379;69.154
2096.68;1.992;34.144;61.379;69.154
1029.969;1.992;34.142;61.379;69.154
1105.983;1.992;34.14;61.384;69.154
1159.081;1.992;34.14;61.384;69.154
1094.928;1.992;34.137;61.384;69.154
1081.15;1.991;34.134;61.384;69.154
1058.124;1.991;34.131;61.384;69.154
1076.85;1.991;34.132;61.384;69.154
1065.295;1.991;34.131;61.384;69.154
1040.461;1.991;34.129;61.384;69.154
1030.067;1.991;34.129;61.384;69.154
1026.402;1.991;34.125;61.384;69.154
1074.187;1.991;34.124;61.384;69.154
1083.08;1.991;34.124;61.384;69.154
1060.018;1.99;34.123;61.384;69.154
1056.72;1.99;34.121;61.384;69.154
1045.482;1.99;34.119;61.384;69.154
1048.89;1.99;34.117;61.384;69.154
1062.229;1.99;34.115;61.384;69.154
1059.957;1.99;34.117;61.384;69.154
1079;1.99;34.115;61.384;69.154
1108.792;1.99;34.113;61.384;69.154
1089.419;1.99;34.109;61.384;68.898
1101.988;1.99;34.11;61.384;68.898
1131.219;1.99;34.109;61.384;68.898
1120.384;1.99;34.107;61.384;68.898
1168.01;1.989;34.107;61.384;68.898
1175.572;1.989;34.104;61.384;68.898
1189.008;1.989;34.104;61.384;68.898
1240.922;1.989;34.1;61.384;68.898
1270.739;1.989;34.1;61.384;68.898
1292.994;1.989;34.1;61.384;68.898
1348.121;1.989;34.099;61.384;68.898
1397.823;1.989;34.099;61.384;68.898
1444.754;1.989;34.096;61.384;68.898
1456.956;1.989;34.094;61.384;68.898
1465.983;1.989;34.092;61.384;68.898
1482.51;1.989;34.093;61.384;68.898
1513.512;1.989;34.09;61.384;68.898
1451.533;1.988;34.091;61.384;68.898
1407.608;1.988;34.087;61.384;68.898
1337.017;1.988;34.085;61.384;68.898
1252.892;1.988;34.085;61.384;68.898
1274.708;1.988;34.085;61.384;68.898
1248.324;1.988;34.085;61.384;68.898
1152.778;1.988;34.081;61.384;68.898
1148.308;1.988;34.08;61.384;68.898
1156.602;1.988;34.079;61.384;68.898
1141.626;1.988;34.077;61.384;68.898
1166.691;1.988;34.078;61.384;68.898
1170.075;1.988;34.074;61.384;68.898
1184.66;1.988;34.073;61.384;68.898
1148.735;1.988;34.069;61.384;68.898
1167.326;1.988;34.068;61.384;68.898
1173.971;1.988;34.068;61.384;68.666
1172.542;1.988;34.065;61.384;68.666
1183.45;1.987;34.066;61.384;68.666
1142.835;1.987;34.062;61.384;68.666
1157.396;1.987;34.063;61.384;68.666
1200.625;1.987;34.059;61.384;68.666
1187.994;1.987;34.061;61.384;68.666
1173.3;1.987;34.06;61.384;68.666
1168.377;1.987;34.059;61.384;68.666
1147.819;1.987;34.057;61.384;68.666
1196.484;1.987;34.055;61.384;68.666
1189.203;1.987;34.055;61.384;68.666
1214.928;1.987;34.055;61.384;68.666
1193.027;1.987;34.054;61.384;68.666
1191.036;1.987;34.053;61.384;68.666
1139.501;1.987;34.05;61.384;68.666
1142.041;1.987;34.048;61.384;68.666
1162.025;1.987;34.046;61.384;68.666
1161.793;1.987;34.044;61.384;68.666
1143.422;1.987;34.043;61.384;68.666
1145.816;1.987;34.043;61.384;68.666
1229.22;1.987;34.043;61.384;68.666
1141.125;1.987;34.042;61.384;68.666
1130.535;1.987;34.039;61.384;68.666
1136.655;1.987;34.036;61.384;68.666
1160.303;1.986;34.036;61.384;68.666
1147.685;1.986;34.035;61.384;68.666
1138.084;1.986;34.034;61.384;68.666
1137.607;1.986;34.033;61.384;68.666
1145.877;1.986;34.035;61.384;68.666
1149.285;1.986;34.033;61.384;68.666
1148.625;1.986;34.032;61.384;68.666
1142.335;1.986;34.03;61.384;68.463
1202.2;1.986;34.029;61.384;68.463
1179.297;1.986;34.026;61.384;68.463
1112.163;1.986;34.025;61.384;68.463
1137.729;1.986;34.025;61.384;68.463
1191.427;1.986;34.022;61.384;68.463
1177.233;1.986;34.022;61.384;68.463
1119.663;1.986;34.02;61.384;68.463
1129.497;1.986;34.022;61.384;68.463
1174.802;1.986;34.021;61.384;68.463
1200.979;1.986;34.021;61.384;68.463
1265.046;1.986;34.02;61.384;68.463
1286.948;1.986;34.019;61.384;68.463
1274.403;1.986;34.015;61.384;68.463
1248.801;1.986;34.014;61.384;68.463
1229.44;1.986;34.012;61.384;68.463
1178.906;1.986;34.011;61.384;68.463
1144.216;1.986;34.012;61.384;68.463
1116.036;1.986;34.009;61.384;68.463
1126.907;1.986;34.007;61.384;68.463
1104.993;1.986;34.008;61.384;68.463
1135.726;1.986;34.007;61.384;68.463
1126.479;1.986;34.006;61.384;68.463
1107.913;1.986;34.004;61.384;68.463
