TripNo.;Intertrip_Time;Trip_Time;Trip_Distance
1;00:00:00:0000;0:2:48:430;1.27354057184
2;-10:0:0:8;9:21:52:0;18.931183801
3;0:0:0:8;0:0:34:0;0.177622452936
4;0:0:0:7;0:3:22:532;1.6587403519
