TripNo.;Intertrip_Time;Trip_Time;Trip_Distance
1;00:00:00:0000;0:4:8:172;1.24069242972
2;0:0:0:8;0:24:52:39;18.984280756
3;0:0:0:8;-1:0:35:945;0.171570282463
4;0:0:0:8;0:3:41:805;1.62015805709
