Time_Biotrace;Time_Accel;AccelX;AccelY;AccelZ
11:31:32:867;11:31:32:834;-0.095768064;9.5385;-0.095768064
11:31:32:875;11:31:32:834;-0.095768064;9.5385;-0.095768064
11:31:32:882;11:31:32:834;-0.095768064;9.5385;-0.095768064
11:31:32:890;11:31:32:834;-0.095768064;9.5385;-0.095768064
11:31:32:898;11:31:32:834;-0.095768064;9.5385;-0.095768064
11:31:32:906;11:31:32:834;-0.095768064;9.5385;-0.095768064
11:31:32:914;11:31:32:834;-0.095768064;9.5385;-0.095768064
11:31:32:921;11:31:32:834;-0.095768064;9.5385;-0.095768064
11:31:32:929;11:31:32:834;-0.095768064;9.5385;-0.095768064
11:31:32:937;11:31:32:834;-0.095768064;9.5385;-0.095768064
11:31:32:945;11:31:32:834;-0.095768064;9.5385;-0.095768064
11:31:32:953;11:31:32:950;0.19153613;10.70687;-0.38307226
11:31:32:960;11:31:32:950;0.19153613;10.70687;-0.38307226
11:31:32:968;11:31:32:950;0.19153613;10.70687;-0.38307226
11:31:32:976;11:31:32:950;0.19153613;10.70687;-0.38307226
11:31:32:984;11:31:32:950;0.19153613;10.70687;-0.38307226
11:31:32:992;11:31:32:950;0.19153613;10.70687;-0.38307226
11:31:33:000;11:31:32:950;0.19153613;10.70687;-0.38307226
11:31:33:007;11:31:32:950;0.19153613;10.70687;-0.38307226
11:31:33:015;11:31:32:950;0.19153613;10.70687;-0.38307226
11:31:33:023;11:31:32:950;0.19153613;10.70687;-0.38307226
11:31:33:031;11:31:32:950;0.19153613;10.70687;-0.38307226
11:31:33:039;11:31:32:950;0.19153613;10.70687;-0.38307226
11:31:33:046;11:31:32:950;0.19153613;10.70687;-0.38307226
11:31:33:054;11:31:32:950;0.19153613;10.70687;-0.38307226
11:31:33:062;11:31:32:950;0.19153613;10.70687;-0.38307226
11:31:33:070;11:31:33:070;0.21068975;10.611102;-0.842759
11:31:33:078;11:31:33:070;0.21068975;10.611102;-0.842759
11:31:33:085;11:31:33:070;0.21068975;10.611102;-0.842759
11:31:33:093;11:31:33:070;0.21068975;10.611102;-0.842759
11:31:33:101;11:31:33:070;0.21068975;10.611102;-0.842759
11:31:33:109;11:31:33:070;0.21068975;10.611102;-0.842759
11:31:33:117;11:31:33:070;0.21068975;10.611102;-0.842759
11:31:33:125;11:31:33:070;0.21068975;10.611102;-0.842759
11:31:33:132;11:31:33:070;0.21068975;10.611102;-0.842759
11:31:33:140;11:31:33:070;0.21068975;10.611102;-0.842759
11:31:33:148;11:31:33:070;0.21068975;10.611102;-0.842759
11:31:33:156;11:31:33:070;0.21068975;10.611102;-0.842759
11:31:33:164;11:31:33:070;0.21068975;10.611102;-0.842759
11:31:33:171;11:31:33:070;0.21068975;10.611102;-0.842759
11:31:33:179;11:31:33:174;-1.1109096;8.63828;1.2449849
11:31:33:187;11:31:33:174;-1.1109096;8.63828;1.2449849
11:31:33:195;11:31:33:174;-1.1109096;8.63828;1.2449849
11:31:33:203;11:31:33:174;-1.1109096;8.63828;1.2449849
11:31:33:210;11:31:33:174;-1.1109096;8.63828;1.2449849
11:31:33:218;11:31:33:174;-1.1109096;8.63828;1.2449849
11:31:33:226;11:31:33:174;-1.1109096;8.63828;1.2449849
11:31:33:234;11:31:33:174;-1.1109096;8.63828;1.2449849
11:31:33:242;11:31:33:174;-1.1109096;8.63828;1.2449849
11:31:33:250;11:31:33:174;-1.1109096;8.63828;1.2449849
11:31:33:257;11:31:33:174;-1.1109096;8.63828;1.2449849
11:31:33:265;11:31:33:174;-1.1109096;8.63828;1.2449849
11:31:33:273;11:31:33:174;-1.1109096;8.63828;1.2449849
11:31:33:281;11:31:33:279;-0.6703765;9.691729;0.21068975
11:31:33:289;11:31:33:279;-0.6703765;9.691729;0.21068975
11:31:33:296;11:31:33:279;-0.6703765;9.691729;0.21068975
11:31:33:304;11:31:33:279;-0.6703765;9.691729;0.21068975
11:31:33:312;11:31:33:279;-0.6703765;9.691729;0.21068975
11:31:33:320;11:31:33:279;-0.6703765;9.691729;0.21068975
11:31:33:328;11:31:33:279;-0.6703765;9.691729;0.21068975
11:31:33:335;11:31:33:279;-0.6703765;9.691729;0.21068975
11:31:33:343;11:31:33:279;-0.6703765;9.691729;0.21068975
11:31:33:351;11:31:33:279;-0.6703765;9.691729;0.21068975
11:31:33:359;11:31:33:279;-0.6703765;9.691729;0.21068975
11:31:33:367;11:31:33:279;-0.6703765;9.691729;0.21068975
11:31:33:375;11:31:33:279;-0.6703765;9.691729;0.21068975
11:31:33:382;11:31:33:279;-0.6703765;9.691729;0.21068975
11:31:33:390;11:31:33:279;-0.6703765;9.691729;0.21068975
11:31:33:398;11:31:33:397;-1.3215994;9.32781;0.19153613
11:31:33:406;11:31:33:397;-1.3215994;9.32781;0.19153613
11:31:33:414;11:31:33:397;-1.3215994;9.32781;0.19153613
11:31:33:421;11:31:33:397;-1.3215994;9.32781;0.19153613
11:31:33:429;11:31:33:397;-1.3215994;9.32781;0.19153613
11:31:33:437;11:31:33:397;-1.3215994;9.32781;0.19153613
11:31:33:445;11:31:33:397;-1.3215994;9.32781;0.19153613
11:31:33:453;11:31:33:397;-1.3215994;9.32781;0.19153613
11:31:33:460;11:31:33:397;-1.3215994;9.32781;0.19153613
11:31:33:468;11:31:33:397;-1.3215994;9.32781;0.19153613
11:31:33:476;11:31:33:397;-1.3215994;9.32781;0.19153613
11:31:33:484;11:31:33:397;-1.3215994;9.32781;0.19153613
11:31:33:492;11:31:33:397;-1.3215994;9.32781;0.19153613
11:31:33:500;11:31:33:397;-1.3215994;9.32781;0.19153613
11:31:33:507;11:31:33:397;-1.3215994;9.32781;0.19153613
11:31:33:515;11:31:33:397;-1.3215994;9.32781;0.19153613
11:31:33:523;11:31:33:397;-1.3215994;9.32781;0.19153613
11:31:33:531;11:31:33:397;-1.3215994;9.32781;0.19153613
11:31:33:539;11:31:33:397;-1.3215994;9.32781;0.19153613
11:31:33:546;11:31:33:541;-0.90021986;9.5385;0.6512229
11:31:33:554;11:31:33:541;-0.90021986;9.5385;0.6512229
11:31:33:562;11:31:33:541;-0.90021986;9.5385;0.6512229
11:31:33:570;11:31:33:541;-0.90021986;9.5385;0.6512229
11:31:33:578;11:31:33:541;-0.90021986;9.5385;0.6512229
11:31:33:585;11:31:33:541;-0.90021986;9.5385;0.6512229
11:31:33:593;11:31:33:541;-0.90021986;9.5385;0.6512229
11:31:33:601;11:31:33:541;-0.90021986;9.5385;0.6512229
