ECG;SCR;Temp;HR;HRV_LF
-12166.078;5.867;34.366;130.451;93.465
-12367.492;5.868;34.362;130.451;93.465
-12613.759;5.868;34.366;130.451;93.465
-12657.317;5.869;34.364;130.451;93.465
-12527.154;5.868;34.367;130.451;93.465
-12589.902;5.868;34.367;130.451;93.465
-12940.069;5.868;34.368;130.451;93.465
-12698.701;5.868;34.367;130.451;93.465
-12565.143;5.869;34.368;130.451;93.465
-12609.739;5.869;34.365;130.451;93.465
-12490.753;5.869;34.364;130.451;93.465
-12298.941;5.869;34.364;130.451;93.465
-13205.392;5.869;34.363;130.451;93.465
-12858.511;5.869;34.363;130.451;93.465
-11349.812;5.869;34.367;130.451;93.465
-10334.378;5.869;34.366;130.451;93.465
-12028.122;5.869;34.364;127.205;93.465
-13701.076;5.87;34.36;127.205;93.465
-13109.064;5.87;34.362;127.205;93.465
-12807.366;5.87;34.361;127.205;93.465
-12616.177;5.87;34.362;127.21;93.465
-12658.038;5.871;34.368;127.21;93.465
-12892.224;5.871;34.366;127.21;93.465
-12737.044;5.871;34.364;127.21;93.465
-12286.115;5.871;34.364;127.21;93.465
-12415.265;5.871;34.364;127.21;93.465
-12985.717;5.871;34.365;127.21;93.465
-13070.819;5.872;34.368;127.21;93.465
-12930.054;5.872;34.369;127.21;93.465
-12749.626;5.872;34.365;127.21;93.465
-12643.111;5.872;34.367;127.21;93.465
-12517.821;5.873;34.365;127.21;93.465
-12597.121;5.873;34.366;127.21;93.316
-12562.675;5.873;34.366;127.21;93.316
-12442.271;5.873;34.365;127.21;93.316
-12163.685;5.874;34.365;127.21;93.316
-11993.542;5.874;34.366;127.21;93.316
-12377.618;5.874;34.366;127.21;93.316
-12368.542;5.875;34.365;127.21;93.316
-12082.821;5.875;34.365;127.21;93.316
-12457.395;5.875;34.363;127.21;93.316
-12459.287;5.875;34.364;127.21;93.316
-12481.482;5.876;34.362;127.21;93.316
-12500.77;5.877;34.362;127.21;93.316
-12493.355;5.877;34.364;127.21;93.316
-12401.242;5.877;34.365;127.21;93.316
-12543.168;5.877;34.367;127.21;93.316
