TripNo.;Intertrip_Time;Trip_Time;Trip_Distance
1;00:00:00:0000;0:2:13:235;1.21720340111
2;0:0:0:8;0:2:0:39;3.17921723272
3;0:0:0:7;0:20:31:32;15.7918741056
4;0:0:0:7;0:0:38:24;0.0773013566299
