Serial_no.;time1;time2;median(time1,time2);mean(HR1);mean(HR2);mean(HR3);mean(HR4);RMSSD1;RMSSD2;RMSSD3;RMSSD4;stress/non-stress
1;14:50:47:007;14:50:51:375;14:50:49:187;70.0;85.9328571428571;90.12127142857129;91.71272857142824;0.0;13.5787573527112;1.5184526564153489;0.16281346995852466;1
2;14:50:47:164;14:50:51:531;14:50:49:343;71.47953571428569;87.08303571428564;90.57298571428554;91.71662857142836;13.477731134726788;1.6533041776469013;1.5184526564153489;0.37197039720392727;1
3;14:50:47:320;14:50:51:687;14:50:49:500;73.75596428571421;87.45211428571422;91.00890714285694;91.67777142857142;13.477731134726788;2.169339788475751;0.5771291499616975;0.37197039720392727;1
4;14:50:47:476;14:50:51:843;14:50:49:656;76.03239285714282;88.12186428571427;91.14415714285693;91.6389142857145;13.477731134726788;2.1693420012898237;0.5771208322694547;0.37197039720392727;1
5;14:50:47:632;14:50:52:000;14:50:49:812;78.30882142857142;88.79172142857146;91.30459999999975;91.57475714285738;13.477731134726788;2.1693420012898237;0.5996471304353281;0.3344454370986574;1
6;14:50:47:789;14:50:52:156;14:50:49:968;80.67342857142859;89.37339999999998;91.47888571428543;91.47254285714304;13.5787573527112;1.4045034762276103;0.5996471304353281;0.5350807694142341;1
7;14:50:47:945;14:50:52:312;14:50:50:125;83.30314285714286;89.68997142857133;91.65317142857106;91.29825714285718;13.5787573527112;1.4045034762276103;0.5996471304353281;0.5350807694142341;1
8;14:50:48:101;14:50:52:468;14:50:50:281;85.9328571428571;90.12127142857129;91.71272857142824;91.12397142857131;13.5787573527112;1.5184526564153489;0.16281346995852466;0.5350807694142341;0
9;14:50:48:257;14:50:52:625;14:50:50:437;87.08303571428564;90.57298571428554;91.71662857142836;90.9849285714284;1.6533041776469013;1.5184526564153489;0.37197039720392727;0.4176813132051955;0
10;14:50:48:414;14:50:52:781;14:50:50:593;87.45211428571422;91.00890714285694;91.67777142857142;90.87919999999983;2.169339788475751;0.5771291499616975;0.37197039720392727;0.9303542870216991;0
11;14:50:48:570;14:50:52:937;14:50:50:750;88.12186428571427;91.14415714285693;91.6389142857145;90.59466428571425;2.1693420012898237;0.5771208322694547;0.37197039720392727;0.9303597578703584;0
12;14:50:48:726;14:50:53:093;14:50:50:906;88.79172142857146;91.30459999999975;91.57475714285738;90.31023571428578;2.1693420012898237;0.5996471304353281;0.3344454370986574;0.9303597578703584;0
13;14:50:48:882;14:50:53:250;14:50:51:062;89.37339999999998;91.47888571428543;91.47254285714304;90.05002142857158;1.4045034762276103;0.5996471304353281;0.5350807694142341;0.8313312213936003;0
14;14:50:49:039;14:50:53:406;14:50:51:218;89.68997142857133;91.65317142857106;91.29825714285718;89.86187857142872;1.4045034762276103;0.5996471304353281;0.5350807694142341;0.8313312213936003;0
15;14:50:49:195;14:50:53:562;14:50:51:375;90.12127142857129;91.71272857142824;91.12397142857131;89.66161428571439;1.5184526564153489;0.16281346995852466;0.5350807694142341;0.8357358820111777;0
16;14:50:49:351;14:50:53:718;14:50:51:531;90.57298571428554;91.71662857142836;90.9849285714284;89.45504285714283;1.5184526564153489;0.37197039720392727;0.4176813132051955;0.8357358820111777;0
17;14:50:49:507;14:50:53:875;14:50:51:687;91.00890714285694;91.67777142857142;90.87919999999983;89.25791428571415;0.5771291499616975;0.37197039720392727;0.9303542870216991;0.08574989505628457;0
