Time_Biotrace;Time_Light;Lightning
11:31:11:703;11:31:11:700;500.0494
11:31:11:710;11:31:11:700;500.0494
11:31:11:718;11:31:11:700;500.0494
11:31:11:726;11:31:11:700;500.0494
11:31:11:734;11:31:11:700;500.0494
11:31:11:742;11:31:11:700;500.0494
11:31:11:750;11:31:11:700;500.0494
11:31:11:757;11:31:11:700;500.0494
11:31:11:765;11:31:11:700;500.0494
11:31:11:773;11:31:11:700;500.0494
11:31:11:781;11:31:11:700;500.0494
11:31:11:789;11:31:11:700;500.0494
11:31:11:796;11:31:11:700;500.0494
11:31:11:804;11:31:11:700;500.0494
11:31:11:812;11:31:11:805;514.0613
11:31:11:820;11:31:11:805;514.0613
11:31:11:828;11:31:11:805;514.0613
11:31:11:835;11:31:11:805;514.0613
11:31:11:843;11:31:11:805;514.0613
11:31:11:851;11:31:11:805;514.0613
11:31:11:859;11:31:11:805;514.0613
11:31:11:867;11:31:11:805;514.0613
11:31:11:875;11:31:11:805;514.0613
11:31:11:882;11:31:11:805;514.0613
11:31:11:890;11:31:11:805;514.0613
11:31:11:898;11:31:11:805;514.0613
11:31:11:906;11:31:11:805;514.0613
11:31:11:914;11:31:11:805;514.0613
11:31:11:921;11:31:11:805;514.0613
11:31:11:929;11:31:11:805;514.0613
11:31:11:937;11:31:11:805;514.0613
11:31:11:945;11:31:11:805;514.0613
11:31:11:953;11:31:11:805;514.0613
11:31:11:960;11:31:11:956;500.0494
11:31:11:968;11:31:11:956;500.0494
11:31:11:976;11:31:11:956;500.0494
11:31:11:984;11:31:11:956;500.0494
11:31:11:992;11:31:11:956;500.0494
11:31:12:000;11:31:11:956;500.0494
11:31:12:007;11:31:11:956;500.0494
11:31:12:015;11:31:11:956;500.0494
11:31:12:023;11:31:11:956;500.0494
11:31:12:031;11:31:11:956;500.0494
11:31:12:039;11:31:11:956;500.0494
11:31:12:046;11:31:11:956;500.0494
11:31:12:054;11:31:11:956;500.0494
11:31:12:062;11:31:11:956;500.0494
11:31:12:070;11:31:11:956;500.0494
11:31:12:078;11:31:11:956;500.0494
11:31:12:085;11:31:11:956;500.0494
11:31:12:093;11:31:12:091;486.41916
11:31:12:101;11:31:12:091;486.41916
11:31:12:109;11:31:12:091;486.41916
11:31:12:117;11:31:12:091;486.41916
11:31:12:125;11:31:12:091;486.41916
11:31:12:132;11:31:12:091;486.41916
11:31:12:140;11:31:12:091;486.41916
11:31:12:148;11:31:12:091;486.41916
11:31:12:156;11:31:12:091;486.41916
11:31:12:164;11:31:12:091;486.41916
11:31:12:171;11:31:12:091;486.41916
11:31:12:179;11:31:12:091;486.41916
11:31:12:187;11:31:12:091;486.41916
11:31:12:195;11:31:12:091;486.41916
11:31:12:203;11:31:12:091;486.41916
11:31:12:210;11:31:12:091;486.41916
11:31:12:218;11:31:12:211;476.91132
11:31:12:226;11:31:12:211;476.91132
11:31:12:234;11:31:12:211;476.91132
11:31:12:242;11:31:12:211;476.91132
11:31:12:250;11:31:12:211;476.91132
11:31:12:257;11:31:12:211;476.91132
11:31:12:265;11:31:12:211;476.91132
11:31:12:273;11:31:12:211;476.91132
11:31:12:281;11:31:12:211;476.91132
11:31:12:289;11:31:12:211;476.91132
11:31:12:296;11:31:12:211;476.91132
11:31:12:304;11:31:12:211;476.91132
11:31:12:312;11:31:12:211;476.91132
11:31:12:320;11:31:12:211;476.91132
11:31:12:328;11:31:12:211;476.91132
11:31:12:335;11:31:12:211;476.91132
11:31:12:343;11:31:12:339;496.11658
11:31:12:351;11:31:12:339;496.11658
11:31:12:359;11:31:12:339;496.11658
11:31:12:367;11:31:12:339;496.11658
11:31:12:375;11:31:12:339;496.11658
11:31:12:382;11:31:12:339;496.11658
11:31:12:390;11:31:12:339;496.11658
11:31:12:398;11:31:12:339;496.11658
11:31:12:406;11:31:12:339;496.11658
11:31:12:414;11:31:12:339;496.11658
11:31:12:421;11:31:12:339;496.11658
11:31:12:429;11:31:12:339;496.11658
11:31:12:437;11:31:12:339;496.11658
11:31:12:445;11:31:12:339;496.11658
11:31:12:453;11:31:12:339;496.11658
11:31:12:460;11:31:12:339;496.11658
11:31:12:468;11:31:12:339;496.11658
11:31:12:476;11:31:12:471;500.0494
11:31:12:484;11:31:12:471;500.0494
11:31:12:492;11:31:12:471;500.0494
11:31:12:500;11:31:12:471;500.0494
11:31:12:507;11:31:12:471;500.0494
11:31:12:515;11:31:12:471;500.0494
11:31:12:523;11:31:12:471;500.0494
11:31:12:531;11:31:12:471;500.0494
11:31:12:539;11:31:12:471;500.0494
11:31:12:546;11:31:12:471;500.0494
11:31:12:554;11:31:12:471;500.0494
11:31:12:562;11:31:12:471;500.0494
11:31:12:570;11:31:12:471;500.0494
11:31:12:578;11:31:12:471;500.0494
11:31:12:585;11:31:12:471;500.0494
11:31:12:593;11:31:12:471;500.0494
11:31:12:601;11:31:12:471;500.0494
11:31:12:609;11:31:12:471;500.0494
11:31:12:617;11:31:12:471;500.0494
11:31:12:625;11:31:12:471;500.0494
11:31:12:632;11:31:12:471;500.0494
11:31:12:640;11:31:12:471;500.0494
11:31:12:648;11:31:12:471;500.0494
11:31:12:656;11:31:12:649;498.07898
11:31:12:664;11:31:12:649;498.07898
11:31:12:671;11:31:12:649;498.07898
11:31:12:679;11:31:12:649;498.07898
11:31:12:687;11:31:12:649;498.07898
11:31:12:695;11:31:12:649;498.07898
11:31:12:703;11:31:12:649;498.07898
11:31:12:710;11:31:12:649;498.07898
11:31:12:718;11:31:12:649;498.07898
11:31:12:726;11:31:12:649;498.07898
11:31:12:734;11:31:12:649;498.07898
11:31:12:742;11:31:12:649;498.07898
11:31:12:750;11:31:12:649;498.07898
11:31:12:757;11:31:12:752;504.0134
11:31:12:765;11:31:12:752;504.0134
11:31:12:773;11:31:12:752;504.0134
11:31:12:781;11:31:12:752;504.0134
11:31:12:789;11:31:12:752;504.0134
11:31:12:796;11:31:12:752;504.0134
11:31:12:804;11:31:12:752;504.0134
11:31:12:812;11:31:12:752;504.0134
11:31:12:820;11:31:12:752;504.0134
11:31:12:828;11:31:12:752;504.0134
11:31:12:835;11:31:12:752;504.0134
11:31:12:843;11:31:12:752;504.0134
11:31:12:851;11:31:12:752;504.0134
