ECG;SCR;Temp;HR;HRV_LF
2766.539;6.776;36.927;70;56.923
2710.13;6.777;36.93;70;56.923
2473.061;6.777;36.927;70;56.923
2566.823;6.777;36.929;70;56.923
2754.629;6.778;36.928;70;56.923
2556.66;6.779;36.929;70;56.923
2570.805;6.779;36.929;70;56.923
2370.65;6.78;36.928;70;56.923
2684.527;6.78;36.927;70;56.923
2540.573;6.781;36.926;70;56.923
2435.036;6.783;36.929;70;56.923
2518.147;6.784;36.928;70;56.923
2506.567;6.784;36.927;70;56.923
2710.875;6.786;36.926;70;56.923
2546.314;6.786;36.925;70;56.923
2668;6.788;36.926;70;56.923
2667.438;6.789;36.927;70;56.923
2059.217;6.791;36.928;70;56.923
2175.858;6.792;36.925;70;56.923
2295.76;6.794;36.927;70;56.923
2199.714;6.796;36.928;70;56.923
2261.986;6.797;36.927;70;56.923
2190.516;6.799;36.927;70;56.923
2622.157;6.801;36.928;70;56.923
2192.824;6.803;36.927;70;56.923
2025.32;6.805;36.929;70;56.923
2175.504;6.807;36.928;70;56.923
3048.241;6.809;36.925;70;56.923
3542.826;6.811;36.924;70;56.923
2812.65;6.813;36.925;70;56.923
2046.379;6.816;36.926;70;56.923
1681.847;6.82;36.926;70;53.833
1651.04;6.822;36.927;70;53.833
1978.402;6.824;36.924;70;53.833
1942.356;6.827;36.923;70;53.833
2333.896;6.83;36.925;70;53.833
1998.252;6.833;36.925;70;53.833
1949.38;6.836;36.924;70;53.833
2243.297;6.839;36.927;70;53.833
2326.896;6.842;36.928;70;53.833
1449.652;6.846;36.924;70;53.833
2312.483;6.848;36.925;70;53.833
1925.951;6.852;36.926;70;53.833
1969.4;6.856;36.926;70;53.833
2174.661;6.859;36.924;70;53.833
2003.321;6.862;36.924;70;53.833
2386.469;6.866;36.923;70;53.833
1537.636;6.87;36.924;70;53.833
2220.357;6.875;36.924;70;53.833
2049.054;6.878;36.923;70;53.833
2101.359;6.882;36.924;70;53.833
1893.191;6.887;36.923;70;53.833
2409.262;6.889;36.922;70;53.833
2645.39;6.894;36.92;70;53.833
2754.568;6.898;36.92;70;53.833
1118.405;6.902;36.922;70;53.833
2142.047;6.907;36.922;70;53.833
2167.429;6.911;36.924;70;53.833
1682.555;6.916;36.924;70;53.833
2210.707;6.919;36.926;70;53.833
1241.105;6.924;36.925;70;53.833
1885.691;6.929;36.925;70;53.833
1944.86;6.933;36.927;70;53.833
1565.987;6.937;36.926;70;50.671
1538.797;6.942;36.928;70;50.671
974.219;6.946;36.926;70;50.671
2302.075;6.951;36.923;70;50.671
901.931;6.955;36.925;70;50.671
2037.621;6.96;36.926;70;50.671
1180.494;6.965;36.926;70;50.671
870.832;6.969;36.924;70;50.671
1575.039;6.973;36.925;70;50.671
1190.413;6.978;36.925;70;50.671
1574.575;6.983;36.925;70;50.671
1230.112;6.987;36.925;70;50.671
1492.319;6.992;36.924;70;50.671
1301.728;6.997;36.926;70;50.671
906.267;7.002;36.925;70;50.671
1638.715;7.005;36.926;70;50.671
839.403;7.009;36.925;70;50.671
1523.699;7.015;36.925;70;50.671
1037.444;7.019;36.923;70;50.671
1041.146;7.023;36.924;70;50.671
1409.122;7.028;36.922;70;50.671
2061.525;7.032;36.92;70;50.671
506.19;7.036;36.922;70;50.671
1624.216;7.041;36.922;70;50.671
1041.353;7.045;36.921;70;50.671
796.235;7.05;36.92;70;50.671
1506.635;7.054;36.924;70;50.671
968.564;7.058;36.924;70;50.671
1068.422;7.062;36.926;70;50.671
1574.672;7.066;36.925;70;50.671
609.455;7.07;36.925;70;50.671
943.45;7.075;36.925;70;50.671
1230.502;7.079;36.924;70;47.512
1272.608;7.083;36.924;70;47.512
108.262;7.087;36.923;70;47.512
2231.741;7.091;36.925;70;47.512
