((time1+time2)*0.5);mean(AccX);var(AccX);kurtosis(AccX);EightythPercentile(AccX);mean(AccY);var(AccY);kurtosis(AccY);EightythPercentile(AccY);mean(AccZ);var(AccZ);kurtosis(AccZ);EightythPercentile(AccZ);mean(light);var(light);kurtosis(light);EightythPercentile(light);mean(speed);var(speed);kurtosis(speed);EightythPercentile(speed);mean(bearing);var(bearing);kurtosis(bearing);EightythPercentile(bearing);stress/non-stress
11:30:39:593;0.381054299732;0.00443953035279;-0.6219918741779638;0.4405331;-0.452880350839;0.00380112725635;-0.942806903221495;-0.40222588;9.95816879196;0.00468895211943;0.19076562209347925;10.01734;495.321440375;167.241073493;0.13181699398517344;506.00702;0.28900722;0.0;-3.0;0.28900722;0.0;0.0;-3.0;0.0;1
11:30:39:750;0.381635748696;0.00452735818606;-0.7058137006559173;0.4405331;-0.453769625393;0.00379933970072;-0.9437139038159077;-0.40222588;9.96035777679;0.00468378597865;0.1694825086109648;10.01734;494.652873375;182.054843673;-0.17663923514000057;506.00702;0.28900722;0.0;-3.0;0.28900722;0.0;0.0;-3.0;0.0;1
11:30:39:906;0.383209081161;0.00446389219294;-0.6779768309918746;0.4405331;-0.456266435964;0.00351540734063;-0.7910740985453693;-0.40222588;9.95693747857;0.00491906652436;0.0603570927802064;10.01734;493.851548161;188.718948282;-0.27267739820893633;502.02734;0.28900722;0.0;-3.0;0.28900722;0.0;0.0;-3.0;0.0;1
11:30:40:062;0.386047920071;0.00443212760608;-0.6898817378077267;0.4405331;-0.455035132107;0.00376358120671;-0.8303257058294902;-0.40222588;9.95587718571;0.00485864175001;0.12624548772807387;10.01734;493.853020125;186.788805755;-0.23888369363322726;502.02734;0.28900722;0.0;-3.0;0.28900722;0.0;0.0;-3.0;0.0;1
11:30:40:218;0.385979514143;0.00417441719129;-0.5924228116521668;0.4405331;-0.452777741679;0.00375713768401;-0.8521764443947442;-0.40222588;9.956834875;0.00480773739875;0.11932492531401406;10.01734;493.874176893;196.978794155;-0.265154776164501;504.0134;0.28900722;0.0;-3.0;0.28900722;0.0;0.0;-3.0;0.0;1
11:30:40:375;0.387621252036;0.00423292772622;-0.5577370471399079;0.4405331;-0.448365569268;0.00417786127152;-0.7755257406092002;-0.36391866;9.96097342857;0.00473915858092;0.1068800840666162;10.01734;493.150384732;206.748255165;-0.3572919848569427;504.0134;0.28900722;0.0;-3.0;0.28900722;0.0;0.0;-3.0;0.0;1
11:30:40:531;0.384714007071;0.00401836195355;-0.44654370324383974;0.4405331;-0.451307016464;0.00431966412486;-0.8306217453106295;-0.36391866;9.96069979643;0.0047003753565;0.15140059387622662;10.01734;493.730329196;182.815321265;-0.3320796714625587;504.0134;0.28900722;0.0;-3.0;0.28900722;0.0;0.0;-3.0;0.0;0
11:30:40:687;0.381567342054;0.00475251423684;-0.08339955570410451;0.4405331;-0.453838028929;0.00438188063759;-0.8150363221849264;-0.36391866;9.96063138929;0.00464676325478;0.21580224630218048;10.01734;494.004764411;192.88665756;-0.39483314688271376;506.00702;0.28900722;0.0;-3.0;0.28900722;0.0;0.0;-3.0;0.0;0
11:30:40:843;0.380336038446;0.00490844880862;-0.20139195914981434;0.4405331;-0.452880348214;0.00437893265009;-0.8381034511352197;-0.36391866;9.96090502768;0.00470523505213;0.15291317329832488;10.01734;493.276833982;174.481409218;-0.25781091560388925;504.0134;0.28900722;0.0;-3.0;0.28900722;0.0;0.0;-3.0;0.0;0
11:30:41:000;0.379309952679;0.00518085710054;-0.40891117904519403;0.4405331;-0.453188174071;0.00421990618654;-0.7489893506128111;-0.40222588;9.96121284196;0.0046593070575;0.1998087201269514;10.01734;492.253214268;171.759101614;-0.18800214510108537;500.0494;0.28900722;0.0;-3.0;0.28900722;0.0;0.0;-3.0;0.0;0
11:30:41:156;0.378831112321;0.00489270764512;-0.32106923017305844;0.4405331;-0.450451943536;0.00431311882353;-0.8673830251828165;-0.38307226;9.95731372054;0.00478159765894;0.11651268296348549;9.998186;492.109225018;170.067670432;-0.15582060906818684;500.0494;0.28900722;0.0;-3.0;0.28900722;0.0;0.0;-3.0;0.0;0
11:30:41:312;0.381054299464;0.00485093861304;-0.22736962316927567;0.4405331;-0.44976788575;0.00439173187384;-0.942912035658074;-0.38307226;9.95560358661;0.00467818501742;0.24970508802788638;9.998186;491.678462268;172.686130148;-0.19239111984741575;500.0494;0.28900722;0.0;-3.0;0.28900722;0.0;0.0;-3.0;0.0;0
