Serial_no.;time1;time2;(time1+time2)/2;mean(HR1);mean(HR2);mean(HR3);mean(HR4);RMSSD1;RMSSD2;RMSSD3;RMSSD4;stress/non-stress
1;17:21:59:296;17:22:03:664;17:21:31:480;77.1953285714;76.8828571429;83.8655571429;64.7012714286;1.99178111155;2.83157029226;5.46354361063;44.1729695401;0
2;17:21:59:453;17:22:03:820;17:21:31:636;76.8323285714;77.3331428571;81.7893857143;67.1091571429;2.01982955968;2.81163135317;33.4201314528;29.3972168828;0
3;17:21:59:609;17:22:03:976;17:21:31:792;76.4424714286;77.8102857143;78.3781;70.8521571429;2.01982955968;2.81163135317;33.4201314528;29.3972168828;0
4;17:21:59:765;17:22:04:132;17:21:31:448;76.2878571429;78.6044285714;74.6498142857;74.5264285714;0.335439195449;6.1439932093;32.9706203253;29.6543753178;0
5;17:21:59:921;17:22:04:289;17:21:31:605;76.2338571429;80.1264142857;70.1936857143;77.5827857143;0.335439195449;6.14455691254;32.9705152756;29.65437563;0
6;17:22:00:078;17:22:04:445;17:22:2:261;76.1798571429;81.6431285714;66.1170571429;80.2649857143;0.335439195449;6.14455691254;44.1729693757;3.89687670863;1
7;17:22:00:234;17:22:04:601;17:22:2:417;76.4597142857;82.8259857143;65.4091285714;79.5784857143;2.83157029226;5.46354361063;44.1729695401;3.89687484441;0
8;17:22:00:390;17:22:04:757;17:22:2:573;76.8828571429;83.8655571429;64.7012714286;78.8919142857;2.83157029226;5.46354361063;44.1729695401;3.89687484441;0
9;17:22:00:546;17:22:04:914;17:22:2:730;77.3331428571;81.7893857143;67.1091571429;78.2053428571;2.81163135317;33.4201314528;29.3972168828;3.89687484441;0
10;17:22:00:703;17:22:05:070;17:22:2:386;77.8102857143;78.3781;70.8521571429;77.1493714286;2.81163135317;33.4201314528;29.3972168828;4.66916365886;0
11;17:22:00:859;17:22:05:226;17:22:2:542;78.6044285714;74.6498142857;74.5264285714;76.1212428571;6.1439932093;32.9706203253;29.6543753178;2.57205642173;0
12;17:22:01:015;17:22:05:382;17:22:3:198;80.1264142857;70.1936857143;77.5827857143;75.7110285714;6.14455691254;32.9705152756;29.65437563;2.5720528222;0
13;17:22:01:171;17:22:05:539;17:22:3:355;81.6431285714;66.1170571429;80.2649857143;75.3007428571;6.14455691254;44.1729693757;3.89687670863;2.5720528222;0
14;17:22:01:328;17:22:05:695;17:22:3:511;82.8259857143;65.4091285714;79.5784857143;75.0110428571;5.46354361063;44.1729695401;3.89687484441;7.49159216668;0
15;17:22:01:484;17:22:05:851;17:22:3:667;83.8655571429;64.7012714286;78.8919142857;75.8072571429;5.46354361063;44.1729695401;3.89687484441;7.49159310077;0
16;17:22:01:640;17:22:06:007;17:22:3:323;81.7893857143;67.1091571429;78.2053428571;76.6035428571;33.4201314528;29.3972168828;3.89687484441;7.49159310077;0
17;17:22:01:796;17:22:06:164;17:22:3:480;78.3781;70.8521571429;77.1493714286;77.7692285714;33.4201314528;29.3972168828;4.66916365886;7.03622849738;0
18;17:22:01:953;17:22:06:320;17:22:3:636;74.6498142857;74.5264285714;76.1212428571;78.9758;32.9706203253;29.6543753178;2.57205642173;7.03622849738;0
19;17:22:02:109;17:22:06:476;17:22:4:292;70.1936857143;77.5827857143;75.7110285714;80.0583714286;32.9705152756;29.65437563;2.5720528222;7.16065658819;0
20;17:22:02:265;17:22:06:632;17:22:4:448;66.1170571429;80.2649857143;75.3007428571;81.0172285714;44.1729693757;3.89687670863;2.5720528222;7.16065658819;0
21;17:22:02:421;17:22:06:789;17:22:4:605;65.4091285714;79.5784857143;75.0110428571;81.8555;44.1729695401;3.89687484441;7.49159216668;1.3290994328;1
22;17:22:02:578;17:22:06:945;17:22:4:761;64.7012714286;78.8919142857;75.8072571429;81.6078571429;44.1729695401;3.89687484441;7.49159310077;1.32909416773;1
23;17:22:02:734;17:22:07:101;17:22:4:417;67.1091571429;78.2053428571;76.6035428571;81.3601428571;29.3972168828;3.89687484441;7.49159310077;1.32909416773;1
24;17:22:02:890;17:22:07:257;17:22:4:573;70.8521571429;77.1493714286;77.7692285714;80.8725714286;29.3972168828;4.66916365886;7.03622849738;3.04329375733;1
25;17:22:03:046;17:22:07:414;17:22:5:230;74.5264285714;76.1212428571;78.9758;80.1454285714;29.6543753178;2.57205642173;7.03622849738;3.04329375733;1
26;17:22:03:203;17:22:07:570;17:22:5:386;77.5827857143;75.7110285714;80.0583714286;79.5422857143;29.65437563;2.5720528222;7.16065658819;2.73772635351;0
27;17:22:03:359;17:22:07:726;17:22:5:542;80.2649857143;75.3007428571;81.0172285714;79.0628571429;3.89687670863;2.5720528222;7.16065658819;2.73772635351;0
28;17:22:03:515;17:22:07:882;17:22:5:698;79.5784857143;75.0110428571;81.8555;78.5834285714;3.89687484441;7.49159216668;1.3290994328;2.73772635351;0
29;17:22:03:671;17:22:08:039;17:22:5:355;78.8919142857;75.8072571429;81.6078571429;78.104;3.89687484441;7.49159310077;1.32909416773;2.73772635351;0
30;17:22:03:828;17:22:08:195;17:22:5:511;78.2053428571;76.6035428571;81.3601428571;77.6245714286;3.89687484441;7.49159310077;1.32909416773;2.73772635351;0
31;17:22:03:984;17:22:08:351;17:22:5:667;77.1493714286;77.7692285714;80.8725714286;77.385;4.66916365886;7.03622849738;3.04329375733;0.0;0
32;17:22:04:140;17:22:08:507;17:22:6:323;76.1212428571;78.9758;80.1454285714;77.385;2.57205642173;7.03622849738;3.04329375733;0.0;0
33;17:22:04:296;17:22:08:664;17:22:6:480;75.7110285714;80.0583714286;79.5422857143;77.1248285714;2.5720528222;7.16065658819;2.73772635351;20.2404944198;0
34;17:22:04:453;17:22:08:820;17:22:6:636;75.3007428571;81.0172285714;79.0628571429;74.5231142857;2.5720528222;7.16065658819;2.73772635351;20.2404944198;0
35;17:22:04:609;17:22:08:976;17:22:6:792;75.0110428571;81.8555;78.5834285714;71.9214;7.49159216668;1.3290994328;2.73772635351;20.2404944198;0
36;17:22:04:765;17:22:09:132;17:22:6:448;75.8072571429;81.6078571429;78.104;69.3196857143;7.49159310077;1.32909416773;2.73772635351;20.2404944198;0
