time_Biotrace;accel_x;accel_y;accel_z;lightning;speed_GPS;bearing_GPS
11:25:30:796;0.61291564;0.5746084;9.921572;156.02945;5;307.61945
11:25:30:804;0.61291564;0.5746084;9.921572;156.02945;5;307.61945
11:25:30:812;0.61291564;0.5746084;9.921572;156.02945;5;307.61945
11:25:30:820;0.61291564;0.5746084;9.921572;156.02945;5;307.61945
11:25:30:828;0.61291564;0.5746084;9.921572;156.02945;5;307.61945
11:25:30:835;-0.22984336;1.2258313;9.787497;156.02945;5;307.61945
11:25:30:843;-0.22984336;1.2258313;9.787497;156.02945;5;307.61945
11:25:30:851;-0.22984336;1.2258313;9.787497;156.02945;5;307.61945
11:25:30:859;-0.22984336;1.2258313;9.787497;156.02945;5;307.61945
11:25:30:867;-0.22984336;1.2258313;9.787497;169.5169;5;307.61945
11:25:30:875;-0.22984336;1.2258313;9.787497;169.5169;5;307.61945
11:25:30:882;-0.22984336;1.2258313;9.787497;169.5169;5;307.61945
11:25:30:890;-0.22984336;1.2258313;9.787497;169.5169;5;307.61945
11:25:30:898;-0.22984336;1.2258313;9.787497;169.5169;5;307.61945
11:25:30:906;-0.22984336;1.2258313;9.787497;169.5169;5;307.61945
11:25:30:914;-0.22984336;1.2258313;9.787497;169.5169;5;307.61945
11:25:30:921;-0.22984336;1.2258313;9.787497;169.5169;5;307.61945
11:25:30:929;-0.22984336;1.2258313;9.787497;169.5169;5;307.61945
11:25:30:937;-0.22984336;1.2258313;9.787497;169.5169;5;307.61945
11:25:30:945;-0.22984336;1.2258313;9.787497;169.5169;5;307.61945
11:25:30:953;-0.38307226;0.82360536;9.80665;169.5169;5;307.61945
11:25:30:960;-0.38307226;0.82360536;9.80665;169.5169;5;307.61945
11:25:30:968;-0.38307226;0.82360536;9.80665;169.5169;5;307.61945
11:25:30:976;-0.38307226;0.82360536;9.80665;169.5169;5;307.61945
11:25:30:984;-0.38307226;0.82360536;9.80665;169.5169;5;307.61945
11:25:30:992;-0.38307226;0.82360536;9.80665;167.521;5;307.61945
11:25:31:000;-0.38307226;0.82360536;9.80665;167.521;5;307.61945
11:25:31:007;-0.38307226;0.82360536;9.80665;167.521;5;307.61945
11:25:31:015;-0.38307226;0.82360536;9.80665;167.521;5;307.61945
11:25:31:023;-0.38307226;0.82360536;9.80665;167.521;5;307.61945
11:25:31:031;-0.38307226;0.82360536;9.80665;167.521;5;307.61945
11:25:31:039;-0.38307226;0.82360536;9.80665;167.521;5;307.61945
11:25:31:046;-0.38307226;0.82360536;9.80665;167.521;5;307.61945
11:25:31:054;-0.38307226;0.82360536;9.80665;167.521;5;307.61945
11:25:31:062;-0.38307226;0.82360536;9.80665;167.521;5;307.61945
11:25:31:070;0.076614454;0.8619126;9.768343;167.521;5;307.61945
11:25:31:078;0.076614454;0.8619126;9.768343;167.521;5;307.61945
11:25:31:085;0.076614454;0.8619126;9.768343;167.521;5;307.61945
11:25:31:093;0.076614454;0.8619126;9.768343;167.521;5;307.61945
11:25:31:101;0.076614454;0.8619126;9.768343;167.521;5;307.61945
11:25:31:109;0.076614454;0.8619126;9.768343;159.76958;5;307.61945
11:25:31:117;0.076614454;0.8619126;9.768343;159.76958;5;307.61945
11:25:31:125;0.076614454;0.8619126;9.768343;159.76958;5;307.61945
11:25:31:132;0.076614454;0.8619126;9.768343;159.76958;5;307.61945
11:25:31:140;0.076614454;0.8619126;9.768343;159.76958;5;307.61945
11:25:31:148;0.076614454;0.8619126;9.768343;159.76958;5;307.61945
11:25:31:156;0.076614454;0.8619126;9.768343;159.76958;5;307.61945
11:25:31:164;0.076614454;0.8619126;9.768343;159.76958;5;307.61945
11:25:31:171;0.90021986;0.38307226;10.840945;159.76958;5;307.61945
11:25:31:179;0.90021986;0.38307226;10.840945;159.76958;5;307.61945
11:25:31:187;0.90021986;0.38307226;10.840945;159.76958;5;307.61945
11:25:31:195;0.90021986;0.38307226;10.840945;159.76958;5;307.61945
11:25:31:203;0.90021986;0.38307226;10.840945;159.76958;5;307.61945
11:25:31:210;0.90021986;0.38307226;10.840945;168.18369;5;307.61945
11:25:31:218;0.90021986;0.38307226;10.840945;168.18369;5;307.61945
11:25:31:226;0.90021986;0.38307226;10.840945;168.18369;5;307.61945
11:25:31:234;0.90021986;0.38307226;10.840945;168.18369;5;307.61945
11:25:31:242;0.90021986;0.38307226;10.840945;168.18369;5;307.61945
11:25:31:250;0.90021986;0.38307226;10.840945;168.18369;5;307.61945
11:25:31:257;0.90021986;0.38307226;10.840945;168.18369;5;307.61945
11:25:31:265;0.90021986;0.38307226;10.840945;168.18369;5;307.61945
11:25:31:273;0.90021986;0.38307226;10.840945;168.18369;5;307.61945
11:25:31:281;0.90021986;0.38307226;10.840945;168.18369;5;307.61945
11:25:31:289;-0.5363012;0.8810662;10.362105;168.18369;5;307.61945
11:25:31:296;-0.5363012;0.8810662;10.362105;168.18369;5;307.61945
11:25:31:304;-0.5363012;0.8810662;10.362105;168.18369;5;307.61945
11:25:31:312;-0.5363012;0.8810662;10.362105;168.84898;5;307.61945
11:25:31:320;-0.5363012;0.8810662;10.362105;168.84898;5;307.61945
11:25:31:328;-0.5363012;0.8810662;10.362105;168.84898;5;307.61945
11:25:31:335;-0.5363012;0.8810662;10.362105;168.84898;5;307.61945
11:25:31:343;-0.5363012;0.8810662;10.362105;168.84898;5;307.61945
11:25:31:351;-0.5363012;0.8810662;10.362105;168.84898;5;307.61945
11:25:31:359;-0.5363012;0.8810662;10.362105;168.84898;5;307.61945
11:25:31:367;-0.5363012;0.8810662;10.362105;168.84898;5;307.61945
11:25:31:375;-0.5363012;0.8810662;10.362105;168.84898;5;307.61945
11:25:31:382;-0.5363012;0.8810662;10.362105;168.84898;5;307.61945
11:25:31:390;0.21068975;0.93852705;10.0748005;168.84898;5;307.61945
11:25:31:398;0.21068975;0.93852705;10.0748005;168.84898;5;307.61945
11:25:31:406;0.21068975;0.93852705;10.0748005;168.84898;5;307.61945
11:25:31:414;0.21068975;0.93852705;10.0748005;168.84898;5;307.61945
11:25:31:421;0.21068975;0.93852705;10.0748005;168.84898;5;307.61945
11:25:31:429;0.21068975;0.93852705;10.0748005;168.84898;5;307.61945
11:25:31:437;0.21068975;0.93852705;10.0748005;168.84898;5;307.61945
11:25:31:445;0.21068975;0.93852705;10.0748005;168.84898;5;307.61945
11:25:31:453;0.21068975;0.93852705;10.0748005;168.84898;5;307.61945
11:25:31:460;0.21068975;0.93852705;10.0748005;170.18753;5;307.61945
11:25:31:468;0.21068975;0.93852705;10.0748005;170.18753;5;307.61945
11:25:31:476;0.21068975;0.93852705;10.0748005;170.18753;5;307.61945
11:25:31:484;0.21068975;0.93852705;10.0748005;170.18753;5;307.61945
11:25:31:492;0.21068975;0.93852705;10.0748005;170.18753;5;307.61945
11:25:31:500;0.17238252;0.6512229;8.944737;170.18753;5;307.61945
11:25:31:507;0.17238252;0.6512229;8.944737;170.18753;5;307.61945
11:25:31:515;0.17238252;0.6512229;8.944737;170.18753;5;307.61945
11:25:31:523;0.17238252;0.6512229;8.944737;170.18753;5;307.61945
11:25:31:531;0.17238252;0.6512229;8.944737;170.18753;5;307.61945
11:25:31:539;0.17238252;0.6512229;8.944737;170.18753;5;307.61945
11:25:31:546;0.17238252;0.6512229;8.944737;170.18753;5;307.61945
11:25:31:554;0.17238252;0.6512229;8.944737;170.18753;5;307.61945
11:25:31:562;0.17238252;0.6512229;8.944737;177.0409;5;307.61945
11:25:31:570;0.17238252;0.6512229;8.944737;177.0409;5;307.61945
11:25:31:578;0.17238252;0.6512229;8.944737;177.0409;5;307.61945
11:25:31:585;0.17238252;0.6512229;8.944737;177.0409;5;307.61945
11:25:31:593;0.17238252;0.6512229;8.944737;177.0409;5;307.61945
11:25:31:601;0.82360536;1.1875241;9.940725;177.0409;5;307.61945
11:25:31:609;0.82360536;1.1875241;9.940725;177.0409;5;307.61945
11:25:31:617;0.82360536;1.1875241;9.940725;177.0409;5;307.61945
11:25:31:625;0.82360536;1.1875241;9.940725;177.0409;5;307.61945
11:25:31:632;0.82360536;1.1875241;9.940725;177.0409;5;307.61945
11:25:31:640;0.82360536;1.1875241;9.940725;177.0409;5;307.61945
11:25:31:648;0.82360536;1.1875241;9.940725;177.0409;5;307.61945
