Serial_no.;time1;time2;(time1+time2)/2;mean(HR1);mean(HR2);mean(HR3);mean(HR4);RMSSD1;RMSSD2;RMSSD3;RMSSD4;stress/non-stress
1;11:25:30:796;11:25:35:164;11:25:32:480;64.0314;68.3050714286;71.2575285714;76.2401428571;11.6895212764;6.20627522748;2.974688261;9.43668918165;0
2;11:25:30:953;11:25:35:320;11:25:32:636;64.2540571429;69.1329285714;70.7659571429;76.3398428571;3.14192386808;6.20627522748;2.974688261;16.2048561457;0
3;11:25:31:109;11:25:35:476;11:25:33:292;64.6246285714;69.9607857143;70.9848142857;75.1629857143;3.14192386808;6.20627522748;9.89443646506;13.1736957605;0
4;11:25:31:265;11:25:35:632;11:25:33:448;64.9952;70.7599571429;71.9430714286;73.2754142857;3.14192386808;6.24206214642;9.87189876977;13.1736957605;0
5;11:25:31:421;11:25:35:789;11:25:33:605;65.3657714286;71.4926714286;72.9677857143;71.3878428571;3.14192386808;6.24206214642;9.87189876977;13.1736957605;0
6;11:25:31:578;11:25:35:945;11:25:33:761;66.3157;71.6460285714;73.9925;69.5002714286;6.9562588934;0.667448605186;9.87189876977;13.1736957605;0
7;11:25:31:734;11:25:36:101;11:25:33:417;67.4771428571;71.5508857143;75.0172142857;67.8820428571;6.20627796536;0.667448605186;9.87189876977;14.8568885743;0
8;11:25:31:890;11:25:36:257;11:25:33:573;68.3050714286;71.2575285714;76.2401428571;66.8927571429;6.20627522748;2.974688261;9.43668918165;14.8568885743;0
9;11:25:32:046;11:25:36:414;11:25:34:230;69.1329285714;70.7659571429;76.3398428571;67.2249142857;6.20627522748;2.974688261;16.2048561457;6.86883382522;0
10;11:25:32:203;11:25:36:570;11:25:34:386;69.9607857143;70.9848142857;75.1629857143;68.1232;6.20627522748;9.89443646506;13.1736957605;6.86883382522;0
11;11:25:32:359;11:25:36:726;11:25:34:542;70.7599571429;71.9430714286;73.2754142857;69.0214857143;6.24206214642;9.87189876977;13.1736957605;6.86883382522;0
12;11:25:32:515;11:25:36:882;11:25:34:698;71.4926714286;72.9677857143;71.3878428571;69.9197714286;6.24206214642;9.87189876977;13.1736957605;6.86883382522;0
13;11:25:32:671;11:25:37:039;11:25:34:355;71.6460285714;73.9925;69.5002714286;70.4702142857;0.667448605186;9.87189876977;13.1736957605;7.77804052922;0
14;11:25:32:828;11:25:37:195;11:25:34:511;71.5508857143;75.0172142857;67.8820428571;70.6024428571;0.667448605186;9.87189876977;14.8568885743;3.64925147882;0
15;11:25:32:984;11:25:37:351;11:25:34:667;71.2575285714;76.2401428571;66.8927571429;70.1057285714;2.974688261;9.43668918165;14.8568885743;3.64925147882;0
16;11:25:33:140;11:25:37:507;11:25:35:323;70.7659571429;76.3398428571;67.2249142857;69.6090142857;2.974688261;16.2048561457;6.86883382522;3.64925147882;0
17;11:25:33:296;11:25:37:664;11:25:35:480;70.9848142857;75.1629857143;68.1232;69.1123;9.89443646506;13.1736957605;6.86883382522;3.64925147882;0
18;11:25:33:453;11:25:37:820;11:25:35:636;71.9430714286;73.2754142857;69.0214857143;68.6252714286;9.87189876977;13.1736957605;6.86883382522;3.72342207431;0
19;11:25:33:609;11:25:37:976;11:25:35:792;72.9677857143;71.3878428571;69.9197714286;68.2260571429;9.87189876977;13.1736957605;6.86883382522;3.72342598885;0
20;11:25:33:765;11:25:38:132;11:25:35:448;73.9925;69.5002714286;70.4702142857;68.1747571429;9.87189876977;13.1736957605;7.77804052922;0.739503034976;0
21;11:25:33:921;11:25:38:289;11:25:35:605;75.0172142857;67.8820428571;70.6024428571;68.2723285714;9.87189876977;14.8568885743;3.64925147882;0.739503034976;0
22;11:25:34:078;11:25:38:445;11:25:36:261;76.2401428571;66.8927571429;70.1057285714;68.3699;9.43668918165;14.8568885743;3.64925147882;0.739503034976;0
23;11:25:34:234;11:25:38:601;11:25:36:417;76.3398428571;67.2249142857;69.6090142857;68.4674714286;16.2048561457;6.86883382522;3.64925147882;0.739503034976;0
