Time_Biotrace;Time_Light;Lightning
14:04:36:328;15:04:36:309;498.07898
14:04:36:335;15:04:36:309;498.07898
14:04:36:343;15:04:36:309;498.07898
14:04:36:351;15:04:36:309;498.07898
14:04:36:359;15:04:36:309;498.07898
14:04:36:367;15:04:36:309;498.07898
14:04:36:375;15:04:36:309;498.07898
14:04:36:382;15:04:36:309;498.07898
14:04:36:390;15:04:36:309;498.07898
14:04:36:398;15:04:36:309;498.07898
14:04:36:406;15:04:36:309;498.07898
14:04:36:414;15:04:36:412;500.0494
14:04:36:421;15:04:36:412;500.0494
14:04:36:429;15:04:36:412;500.0494
14:04:36:437;15:04:36:412;500.0494
14:04:36:445;15:04:36:412;500.0494
14:04:36:453;15:04:36:412;500.0494
14:04:36:460;15:04:36:412;500.0494
14:04:36:468;15:04:36:412;500.0494
14:04:36:476;15:04:36:412;500.0494
14:04:36:484;15:04:36:412;500.0494
14:04:36:492;15:04:36:412;500.0494
14:04:36:500;15:04:36:412;500.0494
14:04:36:507;15:04:36:412;500.0494
14:04:36:515;15:04:36:412;500.0494
14:04:36:523;15:04:36:516;500.0494
14:04:36:531;15:04:36:516;500.0494
14:04:36:539;15:04:36:516;500.0494
14:04:36:546;15:04:36:516;500.0494
14:04:36:554;15:04:36:516;500.0494
14:04:36:562;15:04:36:516;500.0494
14:04:36:570;15:04:36:516;500.0494
14:04:36:578;15:04:36:516;500.0494
14:04:36:585;15:04:36:516;500.0494
14:04:36:593;15:04:36:516;500.0494
14:04:36:601;15:04:36:516;500.0494
14:04:36:609;15:04:36:516;500.0494
14:04:36:617;15:04:36:516;500.0494
14:04:36:625;15:04:36:516;500.0494
14:04:36:632;15:04:36:516;500.0494
14:04:36:640;15:04:36:638;488.3432
14:04:36:648;15:04:36:638;488.3432
14:04:36:656;15:04:36:638;488.3432
14:04:36:664;15:04:36:638;488.3432
14:04:36:671;15:04:36:638;488.3432
14:04:36:679;15:04:36:638;488.3432
14:04:36:687;15:04:36:638;488.3432
14:04:36:695;15:04:36:638;488.3432
14:04:36:703;15:04:36:638;488.3432
14:04:36:710;15:04:36:638;488.3432
14:04:36:718;15:04:36:638;488.3432
14:04:36:726;15:04:36:638;488.3432
14:04:36:734;15:04:36:638;488.3432
14:04:36:742;15:04:36:638;488.3432
14:04:36:750;15:04:36:638;488.3432
14:04:36:757;15:04:36:638;488.3432
14:04:36:765;15:04:36:638;488.3432
14:04:36:773;15:04:36:638;488.3432
14:04:36:781;15:04:36:638;488.3432
14:04:36:789;15:04:36:783;498.07898
14:04:36:796;15:04:36:783;498.07898
14:04:36:804;15:04:36:783;498.07898
14:04:36:812;15:04:36:783;498.07898
14:04:36:820;15:04:36:783;498.07898
14:04:36:828;15:04:36:783;498.07898
14:04:36:835;15:04:36:783;498.07898
14:04:36:843;15:04:36:783;498.07898
14:04:36:851;15:04:36:783;498.07898
14:04:36:859;15:04:36:783;498.07898
14:04:36:867;15:04:36:783;498.07898
14:04:36:875;15:04:36:783;498.07898
14:04:36:882;15:04:36:783;498.07898
14:04:36:890;15:04:36:887;506.00702
14:04:36:898;15:04:36:887;506.00702
14:04:36:906;15:04:36:887;506.00702
14:04:36:914;15:04:36:887;506.00702
14:04:36:921;15:04:36:887;506.00702
14:04:36:929;15:04:36:887;506.00702
14:04:36:937;15:04:36:887;506.00702
14:04:36:945;15:04:36:887;506.00702
14:04:36:953;15:04:36:887;506.00702
14:04:36:960;15:04:36:887;506.00702
14:04:36:968;15:04:36:887;506.00702
14:04:36:976;15:04:36:887;506.00702
14:04:36:984;15:04:36:887;506.00702
14:04:36:992;15:04:36:887;506.00702
14:04:37:000;15:04:36:997;526.384
14:04:37:007;15:04:36:997;526.384
14:04:37:015;15:04:36:997;526.384
14:04:37:023;15:04:36:997;526.384
14:04:37:031;15:04:36:997;526.384
14:04:37:039;15:04:36:997;526.384
14:04:37:046;15:04:36:997;526.384
14:04:37:054;15:04:36:997;526.384
14:04:37:062;15:04:36:997;526.384
14:04:37:070;15:04:36:997;526.384
14:04:37:078;15:04:36:997;526.384
14:04:37:085;15:04:36:997;526.384
14:04:37:093;15:04:36:997;526.384
14:04:37:101;15:04:37:101;547.5812
14:04:37:109;15:04:37:101;547.5812
14:04:37:117;15:04:37:101;547.5812
14:04:37:125;15:04:37:101;547.5812
14:04:37:132;15:04:37:101;547.5812
14:04:37:140;15:04:37:101;547.5812
14:04:37:148;15:04:37:101;547.5812
14:04:37:156;15:04:37:101;547.5812
14:04:37:164;15:04:37:101;547.5812
14:04:37:171;15:04:37:101;547.5812
14:04:37:179;15:04:37:101;547.5812
14:04:37:187;15:04:37:101;547.5812
14:04:37:195;15:04:37:101;547.5812
14:04:37:203;15:04:37:101;547.5812
14:04:37:210;15:04:37:207;554.10547
14:04:37:218;15:04:37:207;554.10547
14:04:37:226;15:04:37:207;554.10547
14:04:37:234;15:04:37:207;554.10547
14:04:37:242;15:04:37:207;554.10547
14:04:37:250;15:04:37:207;554.10547
14:04:37:257;15:04:37:207;554.10547
14:04:37:265;15:04:37:207;554.10547
14:04:37:273;15:04:37:207;554.10547
14:04:37:281;15:04:37:207;554.10547
14:04:37:289;15:04:37:207;554.10547
14:04:37:296;15:04:37:207;554.10547
14:04:37:304;15:04:37:207;554.10547
14:04:37:312;15:04:37:207;554.10547
14:04:37:320;15:04:37:317;530.55676
14:04:37:328;15:04:37:317;530.55676
14:04:37:335;15:04:37:317;530.55676
14:04:37:343;15:04:37:317;530.55676
14:04:37:351;15:04:37:317;530.55676
14:04:37:359;15:04:37:317;530.55676
14:04:37:367;15:04:37:317;530.55676
14:04:37:375;15:04:37:317;530.55676
14:04:37:382;15:04:37:317;530.55676
14:04:37:390;15:04:37:317;530.55676
14:04:37:398;15:04:37:317;530.55676
14:04:37:406;15:04:37:317;530.55676
14:04:37:414;15:04:37:317;530.55676
14:04:37:421;15:04:37:317;530.55676
14:04:37:429;15:04:37:317;530.55676
14:04:37:437;15:04:37:317;530.55676
14:04:37:445;15:04:37:317;530.55676
14:04:37:453;15:04:37:446;576.419
14:04:37:460;15:04:37:446;576.419
14:04:37:468;15:04:37:446;576.419
14:04:37:476;15:04:37:446;576.419
14:04:37:484;15:04:37:446;576.419
14:04:37:492;15:04:37:446;576.419
14:04:37:500;15:04:37:446;576.419
14:04:37:507;15:04:37:446;576.419
14:04:37:515;15:04:37:446;576.419
14:04:37:523;15:04:37:446;576.419
14:04:37:531;15:04:37:446;576.419
14:04:37:539;15:04:37:446;576.419
14:04:37:546;15:04:37:446;576.419
14:04:37:554;15:04:37:446;576.419
14:04:37:562;15:04:37:561;571.88556
14:04:37:570;15:04:37:561;571.88556
14:04:37:578;15:04:37:561;571.88556
14:04:37:585;15:04:37:561;571.88556
14:04:37:593;15:04:37:561;571.88556
14:04:37:601;15:04:37:561;571.88556
14:04:37:609;15:04:37:561;571.88556
14:04:37:617;15:04:37:561;571.88556
14:04:37:625;15:04:37:561;571.88556
14:04:37:632;15:04:37:561;571.88556
14:04:37:640;15:04:37:561;571.88556
14:04:37:648;15:04:37:561;571.88556
14:04:37:656;15:04:37:561;571.88556
14:04:37:664;15:04:37:561;571.88556
14:04:37:671;15:04:37:561;571.88556
14:04:37:679;15:04:37:561;571.88556
14:04:37:687;15:04:37:561;571.88556
14:04:37:695;15:04:37:561;571.88556
14:04:37:703;15:04:37:561;571.88556
14:04:37:710;15:04:37:561;571.88556
14:04:37:718;15:04:37:561;571.88556
14:04:37:726;15:04:37:561;571.88556
14:04:37:734;15:04:37:561;571.88556
14:04:37:742;15:04:37:561;571.88556
14:04:37:750;15:04:37:561;571.88556
14:04:37:757;15:04:37:561;571.88556
14:04:37:765;15:04:37:561;571.88556
14:04:37:773;15:04:37:561;571.88556
14:04:37:781;15:04:37:561;571.88556
14:04:37:789;15:04:37:561;571.88556
14:04:37:796;15:04:37:561;571.88556
14:04:37:804;15:04:37:561;571.88556
14:04:37:812;15:04:37:561;571.88556
14:04:37:820;15:04:37:561;571.88556
14:04:37:828;15:04:37:561;571.88556
14:04:37:835;15:04:37:561;571.88556
14:04:37:843;15:04:37:561;571.88556
14:04:37:851;15:04:37:561;571.88556
14:04:37:859;15:04:37:561;571.88556
14:04:37:867;15:04:37:865;594.9154
14:04:37:875;15:04:37:865;594.9154
14:04:37:882;15:04:37:865;594.9154
14:04:37:890;15:04:37:865;594.9154
14:04:37:898;15:04:37:865;594.9154
14:04:37:906;15:04:37:865;594.9154
14:04:37:914;15:04:37:865;594.9154
14:04:37:921;15:04:37:865;594.9154
14:04:37:929;15:04:37:865;594.9154
14:04:37:937;15:04:37:865;594.9154
14:04:37:945;15:04:37:865;594.9154
14:04:37:953;15:04:37:865;594.9154
14:04:37:960;15:04:37:865;594.9154
14:04:37:968;15:04:37:968;597.2686
14:04:37:976;15:04:37:968;597.2686
14:04:37:984;15:04:37:968;597.2686
14:04:37:992;15:04:37:968;597.2686
14:04:38:000;15:04:37:968;597.2686
14:04:38:007;15:04:37:968;597.2686
14:04:38:015;15:04:37:968;597.2686
14:04:38:023;15:04:37:968;597.2686
14:04:38:031;15:04:37:968;597.2686
14:04:38:039;15:04:37:968;597.2686
14:04:38:046;15:04:37:968;597.2686
14:04:38:054;15:04:37:968;597.2686
14:04:38:062;15:04:37:968;597.2686
14:04:38:070;15:04:37:968;597.2686
14:04:38:078;15:04:37:968;597.2686
14:04:38:085;15:04:37:968;597.2686
14:04:38:093;15:04:37:968;597.2686
14:04:38:101;15:04:38:101;626.24603
14:04:38:109;15:04:38:101;626.24603
14:04:38:117;15:04:38:101;626.24603
14:04:38:125;15:04:38:101;626.24603
14:04:38:132;15:04:38:101;626.24603
14:04:38:140;15:04:38:101;626.24603
14:04:38:148;15:04:38:101;626.24603
14:04:38:156;15:04:38:101;626.24603
14:04:38:164;15:04:38:101;626.24603
14:04:38:171;15:04:38:101;626.24603
14:04:38:179;15:04:38:101;626.24603
14:04:38:187;15:04:38:101;626.24603
14:04:38:195;15:04:38:101;626.24603
14:04:38:203;15:04:38:101;626.24603
14:04:38:210;15:04:38:207;606.7755
14:04:38:218;15:04:38:207;606.7755
14:04:38:226;15:04:38:207;606.7755
14:04:38:234;15:04:38:207;606.7755
14:04:38:242;15:04:38:207;606.7755
14:04:38:250;15:04:38:207;606.7755
14:04:38:257;15:04:38:207;606.7755
14:04:38:265;15:04:38:207;606.7755
14:04:38:273;15:04:38:207;606.7755
14:04:38:281;15:04:38:207;606.7755
14:04:38:289;15:04:38:207;606.7755
14:04:38:296;15:04:38:207;606.7755
14:04:38:304;15:04:38:207;606.7755
14:04:38:312;15:04:38:310;616.4337
14:04:38:320;15:04:38:310;616.4337
14:04:38:328;15:04:38:310;616.4337
14:04:38:335;15:04:38:310;616.4337
14:04:38:343;15:04:38:310;616.4337
14:04:38:351;15:04:38:310;616.4337
14:04:38:359;15:04:38:310;616.4337
14:04:38:367;15:04:38:310;616.4337
14:04:38:375;15:04:38:310;616.4337
14:04:38:382;15:04:38:310;616.4337
14:04:38:390;15:04:38:310;616.4337
14:04:38:398;15:04:38:310;616.4337
14:04:38:406;15:04:38:310;616.4337
14:04:38:414;15:04:38:310;616.4337
14:04:38:421;15:04:38:416;567.3877
14:04:38:429;15:04:38:416;567.3877
14:04:38:437;15:04:38:416;567.3877
14:04:38:445;15:04:38:416;567.3877
14:04:38:453;15:04:38:416;567.3877
14:04:38:460;15:04:38:416;567.3877
14:04:38:468;15:04:38:416;567.3877
14:04:38:476;15:04:38:416;567.3877
14:04:38:484;15:04:38:416;567.3877
14:04:38:492;15:04:38:416;567.3877
14:04:38:500;15:04:38:416;567.3877
14:04:38:507;15:04:38:416;567.3877
14:04:38:515;15:04:38:416;567.3877
14:04:38:523;15:04:38:416;567.3877
14:04:38:531;15:04:38:416;567.3877
14:04:38:539;15:04:38:536;590.23615
14:04:38:546;15:04:38:536;590.23615
14:04:38:554;15:04:38:536;590.23615
14:04:38:562;15:04:38:536;590.23615
14:04:38:570;15:04:38:536;590.23615
14:04:38:578;15:04:38:536;590.23615
14:04:38:585;15:04:38:536;590.23615
14:04:38:593;15:04:38:536;590.23615
14:04:38:601;15:04:38:536;590.23615
14:04:38:609;15:04:38:536;590.23615
14:04:38:617;15:04:38:536;590.23615
14:04:38:625;15:04:38:536;590.23615
14:04:38:632;15:04:38:536;590.23615
14:04:38:640;15:04:38:536;590.23615
14:04:38:648;15:04:38:642;567.3877
14:04:38:656;15:04:38:642;567.3877
14:04:38:664;15:04:38:642;567.3877
14:04:38:671;15:04:38:642;567.3877
14:04:38:679;15:04:38:642;567.3877
14:04:38:687;15:04:38:642;567.3877
14:04:38:695;15:04:38:642;567.3877
14:04:38:703;15:04:38:642;567.3877
14:04:38:710;15:04:38:642;567.3877
14:04:38:718;15:04:38:642;567.3877
14:04:38:726;15:04:38:642;567.3877
14:04:38:734;15:04:38:642;567.3877
14:04:38:742;15:04:38:642;567.3877
14:04:38:750;15:04:38:642;567.3877
14:04:38:757;15:04:38:642;567.3877
14:04:38:765;15:04:38:642;567.3877
14:04:38:773;15:04:38:766;549.74744
14:04:38:781;15:04:38:766;549.74744
14:04:38:789;15:04:38:766;549.74744
14:04:38:796;15:04:38:766;549.74744
14:04:38:804;15:04:38:766;549.74744
14:04:38:812;15:04:38:766;549.74744
14:04:38:820;15:04:38:766;549.74744
14:04:38:828;15:04:38:766;549.74744
14:04:38:835;15:04:38:766;549.74744
14:04:38:843;15:04:38:766;549.74744
14:04:38:851;15:04:38:766;549.74744
14:04:38:859;15:04:38:766;549.74744
14:04:38:867;15:04:38:766;549.74744
14:04:38:875;15:04:38:766;549.74744
14:04:38:882;15:04:38:880;476.91132
14:04:38:890;15:04:38:880;476.91132
14:04:38:898;15:04:38:880;476.91132
14:04:38:906;15:04:38:880;476.91132
14:04:38:914;15:04:38:880;476.91132
14:04:38:921;15:04:38:880;476.91132
14:04:38:929;15:04:38:880;476.91132
14:04:38:937;15:04:38:880;476.91132
14:04:38:945;15:04:38:880;476.91132
14:04:38:953;15:04:38:880;476.91132
14:04:38:960;15:04:38:880;476.91132
14:04:38:968;15:04:38:880;476.91132
14:04:38:976;15:04:38:880;476.91132
14:04:38:984;15:04:38:880;476.91132
14:04:38:992;15:04:38:987;415.36194
14:04:39:000;15:04:38:987;415.36194
14:04:39:007;15:04:38:987;415.36194
14:04:39:015;15:04:38:987;415.36194
14:04:39:023;15:04:38:987;415.36194
14:04:39:031;15:04:38:987;415.36194
14:04:39:039;15:04:38:987;415.36194
14:04:39:046;15:04:38:987;415.36194
14:04:39:054;15:04:38:987;415.36194
14:04:39:062;15:04:38:987;415.36194
14:04:39:070;15:04:38:987;415.36194
14:04:39:078;15:04:38:987;415.36194
14:04:39:085;15:04:38:987;415.36194
14:04:39:093;15:04:38:987;415.36194
14:04:39:101;15:04:38:987;415.36194
14:04:39:109;15:04:39:107;335.6128
14:04:39:117;15:04:39:107;335.6128
14:04:39:125;15:04:39:107;335.6128
14:04:39:132;15:04:39:107;335.6128
14:04:39:140;15:04:39:107;335.6128
14:04:39:148;15:04:39:107;335.6128
14:04:39:156;15:04:39:107;335.6128
14:04:39:164;15:04:39:107;335.6128
14:04:39:171;15:04:39:107;335.6128
14:04:39:179;15:04:39:107;335.6128
14:04:39:187;15:04:39:107;335.6128
14:04:39:195;15:04:39:107;335.6128
14:04:39:203;15:04:39:107;335.6128
14:04:39:210;15:04:39:107;335.6128
14:04:39:218;15:04:39:212;260.67792
14:04:39:226;15:04:39:212;260.67792
14:04:39:234;15:04:39:212;260.67792
14:04:39:242;15:04:39:212;260.67792
14:04:39:250;15:04:39:212;260.67792
14:04:39:257;15:04:39:212;260.67792
14:04:39:265;15:04:39:212;260.67792
14:04:39:273;15:04:39:212;260.67792
14:04:39:281;15:04:39:212;260.67792
14:04:39:289;15:04:39:212;260.67792
14:04:39:296;15:04:39:212;260.67792
14:04:39:304;15:04:39:212;260.67792
14:04:39:312;15:04:39:212;260.67792
14:04:39:320;15:04:39:212;260.67792
14:04:39:328;15:04:39:212;260.67792
14:04:39:335;15:04:39:212;260.67792
14:04:39:343;15:04:39:343;237.1122
14:04:39:351;15:04:39:343;237.1122
14:04:39:359;15:04:39:343;237.1122
14:04:39:367;15:04:39:343;237.1122
14:04:39:375;15:04:39:343;237.1122
14:04:39:382;15:04:39:343;237.1122
14:04:39:390;15:04:39:343;237.1122
