median(time1,time1+559);mean(AccX);var(AccX);kurtosis(AccX);EightythPercentile(AccX);mean(AccY);var(AccY);kurtosis(AccY);EightythPercentile(AccY);mean(AccZ);var(AccZ);kurtosis(AccZ);EightythPercentile(AccZ);mean(light);var(light);kurtosis(light);EightythPercentile(light);mean(speed);var(speed);kurtosis(speed);EightythPercentile(speed);mean(bearing);var(bearing);kurtosis(bearing);EightythPercentile(bearing);stressOrNonStress
14:04:38:507;0.749419333989;0.0997992686984;1.5983426541082713;0.9959879;-0.460986437071;0.111796556709;0.2540452245152056;-0.19153613;10.0521240616;0.33261189677;2.347346290649506;10.477027;483.042030089;14353.310007;0.04364160125686123;571.88556;27.5478102;0.142155298031;-1.336591487710204;27.877228;349.485323857;1.75517700221;-1.4372817496430308;351.23544;1
14:04:38:664;0.750377014775;0.0890918443516;2.22295215681927;0.9959879;-0.477301212071;0.11348933375;0.25309313007771594;-0.19153613;10.0648133134;0.329903512445;2.154900353006366;10.477027;486.713781196;14834.6011583;0.009724923546504893;576.419;27.5170841286;0.148913446085;-1.5517535587893148;27.877228;349.393918857;1.66081986881;-1.3725433532917557;350.3893;1
14:04:38:820;0.735703978325;0.0949301984576;1.6881153221083585;0.9959879;-0.481713382804;0.117140919769;0.0060864702319585184;-0.19153613;10.1054805429;0.387521946202;1.5605332523655413;10.496181;489.820723161;15185.587858;-0.0005166247149825942;590.23615;27.4863580571;0.153783411209;-1.701980855714057;27.877228;349.302513857;1.54975298736;-1.2690590919451015;350.3893;1
14:04:38:976;0.715900510139;0.111788743071;0.929899322196559;0.9959879;-0.455513974804;0.113936140767;-0.030700099094533417;-0.17238252;10.081230725;0.330560723024;1.3098927893783134;10.496181;493.767826125;15606.3034289;0.0023353520738282896;594.9154;27.4556319857;0.156765193401;-1.798541142972723;27.877228;349.211108857;1.42197635786;-1.127906194795562;350.3893;1
14:04:39:132;0.711214714175;0.116487657127;0.6779230621055667;0.9959879;-0.457497742446;0.113723403509;-0.022347879660999936;-0.187705408;10.0879002946;0.328227352287;1.309924838431555;10.496181;497.396181732;16021.0721829;-0.0009875624152950735;594.9154;27.4101091107;0.190876883613;0.8545726759835262;27.877228;349.071300143;1.53676370142;1.109868047403208;350.3893;0
14:04:39:289;0.701432688532;0.122097695262;0.3319489520271177;0.9959879;-0.475283240589;0.117431318751;-0.12915437391876416;-0.19153613;10.1023339196;0.291697645778;1.775941832303947;10.496181;500.627299018;16457.4782555;-0.020166956460418106;597.2686;27.3300603607;0.293039778928;2.0957885673053545;27.877228;348.818549429;2.16762684845;2.40803777998015;350.3893;0
14:04:39:445;0.702561382389;0.123561234948;0.28705633389752894;0.9959879;-0.489135406018;0.151439667506;0.6769727877638001;-0.19153613;10.1282597268;0.32531180609;1.2127195918174598;10.496181;503.329702321;16927.0634302;-0.0584100233841931;602.0033;27.2500116107;0.38238706949;1.3607423467684745;27.877228;348.565798714;2.67072414833;1.826148367488683;350.3893;0
14:04:39:601;0.684091827568;0.123848219385;0.11200641419644697;0.9768343;-0.460404986054;0.16846659959;0.45001905897076355;-0.15322891;10.1365026125;0.331886455909;1.0489358833778573;10.496181;506.796494946;17500.2841932;-0.09419746985203714;606.7755;27.1694359321;0.458186078399;0.6188668604459058;27.877228;348.331179571;3.13636011792;1.020907626309298;350.3893;0
14:04:39:757;0.674754441514;0.122080007106;0.11381190736586211;0.9576807;-0.477403819089;0.179965487204;0.12681127880310772;-0.15322891;10.1317826232;0.333139750532;1.034434473507841;10.496181;509.582499286;18043.6514757;-0.13494912531698855;607.255592;27.0885089679;0.520454837414;0.0315451808939855;27.644972;348.108648143;3.55741355059;0.33445889715170773;348.8825;0
14:04:39:914;0.656797928925;0.128488813336;-0.21368811440849367;0.9576807;-0.484586425518;0.180484824954;0.09386436261965025;-0.15322891;10.1191275607;0.344615321733;0.9301113595158421;10.496181;511.898343143;18477.5966743;-0.1688133806272205;616.4337;27.0075820036;0.569625249332;-0.41930074118414584;27.644972;347.886116714;3.87942650986;-0.19137634375390133;348.8825;0
